record_id,timestamp,plant_id,store_id,sku,qty_in,qty_out,balance_before,balance_after,movement_type,reason_code,expiry_date,route_id,qty out 
INV_506526,2025-05-24 16:36:00,Willowvale_Plant,,Wholegrain Brown,0,22,42101,42079,stock_adjustment,Expired Waste,2025-05-29,,22
INV_501328,2025-07-21 02:25:13,Shepperton_Plant,,Family Loaf,0,45,-6315,-6360,stock_adjustment,Dispatch to Store,2025-07-28,,45
INV_501315,2025-04-20 13:34:01,,STORE_192,Wholegrain Brown,0,292,0,-292,store_sale,Expired Waste,2025-04-25,,292
INV_501870,2025-05-14 13:37:17,,STORE_135,Whole Wheat,0,67,0,-67,store_sale,Return from Store,2025-05-20,,67
INV_507110,2025-02-11 10:48:31,Willowvale_Plant,,Wholegrain Brown,0,1411,44860,43449,dispatch,Expired Waste,2025-02-16,RT_071,1411
INV_516873,2025-02-19 12:46:05,,STORE_155,High Energy Brown,108,0,-461,-353,return_from_store,Manual Correction,2025-02-24,,0
INV_507578,2025-05-12 13:13:35,,STORE_116,Family Loaf,90,0,-416,-326,return_from_store,Return from Store,2025-05-19,,0
INV_500290,2025-03-17 09:00:40,,STORE_197,High Energy Brown,0,85,0,-85,store_sale,Damaged,2025-03-22,,85
INV_500960,2025-03-17 08:47:14,,STORE_133,High Energy Brown,61,0,0,61,return_from_store,Shrinkage,2025-03-22,,0
INV_506433,2025-04-14 02:38:40,Shepperton_Plant,,High Energy Brown,0,816,18932,18116,dispatch,Damaged,2025-04-19,RT_049,816
INV_509245,2025-07-07 20:22:18,,STORE_032,Soft White,0,216,-114,-330,store_sale,Dispatch to Store,2025-07-12,,216
INV_516851,2025-05-28 14:45:15,Shepperton_Plant,,Seed Loaf,0,61,37353,37292,waste,Expired Waste,2025-06-03,,61
INV_502388,2025-04-09 12:35:58,Shepperton_Plant,,Wholegrain Brown,0,916,8190,7274,dispatch,Damaged,2025-04-14,RT_011,916
INV_513693,2025-06-01 20:54:58,Willowvale_Plant,,Seed Loaf,0,1383,24965,23582,dispatch,Expired Waste,2025-06-07,RT_060,1383
INV_509453,2025-06-09 21:02:12,Willowvale_Plant,,High Energy Brown,0,913,46266,45353,dispatch,Expired Waste,2025-06-14,RT_023,913
INV_511155,2025-01-03 19:42:41,Shepperton_Plant,,Family Loaf,0,656,73565,72909,dispatch,Dispatch to Store,2025-01-10,RT_059,656
INV_513837,2025-01-25 13:08:30,,STORE_173,Whole Wheat,45,0,93,138,return_from_store,Manual Correction,2025-01-31,,0
INV_508147,2025-07-14 17:29:43,,STORE_112,High Energy Brown,71,0,51,122,return_from_store,Sale,2025-07-19,,0
INV_515182,2025-06-21 23:19:32,,STORE_007,High Energy Brown,89,0,75,164,return_from_store,Dispatch to Store,2025-06-26,,0
INV_516986,2025-03-05 13:16:09,,STORE_095,Family Loaf,18,0,175,193,return_from_store,Shrinkage,2025-03-12,,0
INV_508626,2025-02-04 16:02:33,Shepperton_Plant,,Family Loaf,1030,0,43611,44641,production,Manual Correction,2025-02-11,,0
INV_507317,2025-04-02 13:14:51,Willowvale_Plant,,Seed Loaf,0,108,-1584,-1692,waste,Production,2025-04-08,,108
INV_501453,2025-04-19 00:09:55,Willowvale_Plant,,Family Loaf,0,32,2933,2901,waste,Sale,2025-04-26,,32
INV_505194,2025-04-13 02:25:49,,STORE_095,Family Loaf,82,0,93,175,return_from_store,Return from Store,2025-04-20,,0
INV_503571,2025-01-09 22:59:12,Shepperton_Plant,,Seed Loaf,0,96,7751,7655,waste,Dispatch to Store,2025-01-15,,96
INV_510342,2025-04-05 16:53:40,Shepperton_Plant,,Whole Wheat,37,0,41021,41058,stock_adjustment,Damaged,2025-04-11,,0
INV_507949,2025-06-25 21:02:33,,STORE_073,Soft White,119,0,-51,68,return_from_store,Dispatch to Store,2025-06-30,,0
INV_506013,2025-02-14 00:24:34,Willowvale_Plant,,Whole Wheat,0,31,-2044,-2075,stock_adjustment,Production,2025-02-20,,31
INV_501163,2025-03-24 13:15:08,Willowvale_Plant,,High Energy White,0,135,1399,1264,waste,Manual Correction,2025-03-29,,135
INV_516680,2025-07-04 04:01:35,Shepperton_Plant,,Whole Wheat,0,163,58706,58543,waste,Production,2025-07-10,,163
INV_505359,2025-07-28 03:54:36,Willowvale_Plant,,Family Loaf,30,0,-182,-152,stock_adjustment,Manual Correction,2025-08-04,,0
INV_512993,2025-03-01 13:59:44,Shepperton_Plant,,High Energy Brown,0,59,42341,42282,waste,Dispatch to Store,2025-03-06,,59
INV_509272,2025-01-16 12:22:02,,STORE_097,Whole Wheat,16,0,178,194,return_from_store,Dispatch to Store,2025-01-22,,0
INV_504230,2025-03-31 21:27:04,Willowvale_Plant,,Whole Wheat,0,613,-11791,-12404,dispatch,Dispatch to Store,2025-04-06,RT_074,613
INV_502718,2025-04-05 08:41:25,Shepperton_Plant,,Soft White,50,0,6612,6662,stock_adjustment,,2025-04-10,,0
INV_516425,2025-07-11 02:30:18,Shepperton_Plant,,Whole Wheat,0,654,60772,60118,dispatch,Damaged,2025-07-17,RT_026,654
INV_515067,2025-04-23 14:25:32,Willowvale_Plant,,High Energy White,27,0,50979,51006,stock_adjustment,Manual Correction,2025-04-28,,0
INV_515660,2025-03-24 08:29:35,,STORE_071,Family Loaf,0,64,-99,-163,store_sale,Expired Waste,2025-03-31,,64
INV_511689,2025-02-06 06:03:16,,STORE_118,Family Loaf,0,261,-106,-367,store_sale,Production,2025-02-13,,261
INV_509902,2025-02-22 03:46:11,Willowvale_Plant,,Whole Wheat,1667,0,1211,2878,production,Expired Waste,2025-02-28,,0
INV_500708,2025-03-09 23:12:34,Shepperton_Plant,,Family Loaf,0,50,-3986,-4036,stock_adjustment,Shrinkage,2025-03-16,,50
INV_506015,2025-05-26 01:53:54,,STORE_010,Family Loaf,25,0,0,25,return_from_store,Manual Correction,2025-06-02,,0
INV_502585,2025-04-18 01:21:17,Shepperton_Plant,,Soft White,1578,0,5786,7364,production,Dispatch to Store,2025-04-23,,0
INV_511396,2025-03-18 19:55:11,Shepperton_Plant,,Whole Wheat,1379,0,50809,52188,production,Expired Waste,2025-03-24,,0
INV_513939,2025-06-16 01:14:48,Shepperton_Plant,,Seed Loaf,45,0,44985,45030,stock_adjustment,Manual Correction,2025-06-22,,0
INV_504032,2025-03-23 00:57:17,Shepperton_Plant,,Seed Loaf,0,9,7801,7792,stock_adjustment,Manual Correction,2025-03-29,,9
INV_507750,2025-01-24 01:09:27,,STORE_149,Seed Loaf,85,0,0,85,return_from_store,Return from Store,2025-01-30,,0
INV_504665,2025-06-24 12:50:13,Shepperton_Plant,,Seed Loaf,826,0,9539,10365,production,Damaged,2025-06-30,,0
INV_501632,2025-06-18 14:07:59,Shepperton_Plant,,Seed Loaf,11,0,-2478,-2467,stock_adjustment,Shrinkage,2025-06-24,,0
INV_508692,2025-06-16 02:39:57,Shepperton_Plant,,Seed Loaf,0,899,26841,25942,dispatch,Production,2025-06-22,RT_021,899
INV_508454,2025-03-05 08:10:46,Shepperton_Plant,,Family Loaf,14,0,39257,39271,stock_adjustment,Manual Correction,2025-03-12,,0
INV_507792,2025-03-15 17:19:13,,STORE_078,High Energy Brown,116,0,-11,105,return_from_store,Shrinkage,2025-03-20,,0
INV_503886,2025-04-24 23:33:38,,STORE_028,Family Loaf,27,0,0,27,return_from_store,Damaged,2025-05-01,,0
INV_514278,2025-05-13 13:15:53,,STORE_139,High Energy White,20,0,52,72,return_from_store,Expired Waste,2025-05-18,,0
INV_502360,2025-05-23 02:19:45,,STORE_012,Soft White,114,0,-156,-42,return_from_store,Sale,2025-05-28,,0
INV_505271,2025-06-10 07:00:14,Shepperton_Plant,,High Energy Brown,0,826,13818,12992,dispatch,Manual Correction,2025-06-15,RT_013,826
INV_512603,2025-01-21 02:59:06,Shepperton_Plant,,Wholegrain Brown,0,1039,47307,46268,dispatch,Return from Store,2025-01-26,RT_074,1039
INV_512463,2025-06-11 10:52:31,Shepperton_Plant,,Seed Loaf,8,0,31022,31030,stock_adjustment,Sale,2025-06-17,,0
INV_503669,2025-07-13 05:12:12,Willowvale_Plant,,Family Loaf,0,1127,8896,7769,dispatch,Sale,2025-07-20,RT_053,1127
INV_502281,2025-02-02 00:08:51,Willowvale_Plant,,High Energy Brown,0,320,8837,8517,dispatch,Production,2025-02-07,RT_073,320
INV_516059,2025-06-14 13:58:58,Willowvale_Plant,,Whole Wheat,0,1447,45952,44505,dispatch,Manual Correction,2025-06-20,RT_021,1447
INV_501087,2025-03-14 03:18:59,Willowvale_Plant,,Whole Wheat,0,964,-7259,-8223,dispatch,Sale,2025-03-20,RT_022,964
INV_510753,2025-01-13 14:04:22,Willowvale_Plant,,Soft White,0,190,60011,59821,waste,Return from Store,2025-01-18,,190
INV_510786,2025-01-13 05:53:00,Shepperton_Plant,,Seed Loaf,0,1156,26886,25730,dispatch,Shrinkage,2025-01-19,RT_056,1156
INV_500200,2025-01-24 10:59:53,Willowvale_Plant,,High Energy Brown,31,0,-696,-665,stock_adjustment,Sale,2025-01-29,,0
INV_507298,2025-04-10 13:17:42,Shepperton_Plant,,Soft White,1555,0,30041,31596,production,Shrinkage,2025-04-15,,0
INV_502202,2025-03-10 08:32:30,Shepperton_Plant,,Seed Loaf,548,0,-3518,-2970,production,Manual Correction,2025-03-16,,0
INV_509515,2025-05-11 20:30:07,Willowvale_Plant,,Family Loaf,846,0,6472,7318,production,Production,2025-05-18,,0
INV_514129,2025-02-01 06:07:43,,STORE_057,Soft White,114,0,-34,80,return_from_store,Shrinkage,2025-02-06,,0
INV_502715,2025-06-03 16:07:27,Willowvale_Plant,,Family Loaf,0,138,9113,8975,waste,Shrinkage,2025-06-10,,138
INV_512778,2025-01-27 12:40:07,,STORE_101,Soft White,0,180,-48,-228,store_sale,Dispatch to Store,2025-02-01,,180
INV_509543,2025-01-03 16:55:25,Willowvale_Plant,,Seed Loaf,0,1053,11181,10128,dispatch,Shrinkage,2025-01-09,RT_059,1053
INV_506110,2025-06-16 09:15:53,,STORE_138,Wholegrain Brown,50,0,-37,13,return_from_store,Sale,2025-06-21,,0
INV_508574,2025-04-04 02:43:41,Shepperton_Plant,,Soft White,0,51,26073,26022,waste,Shrinkage,2025-04-09,,51
INV_515940,2025-06-17 07:05:52,,STORE_196,High Energy White,115,0,78,193,return_from_store,Expired Waste,2025-06-22,,0
INV_508794,2025-03-24 07:31:45,,STORE_195,Family Loaf,47,0,-256,-209,return_from_store,Production,2025-03-31,,0
INV_517252,2025-05-10 03:53:39,Willowvale_Plant,,Soft White,26,0,71422,71448,stock_adjustment,Dispatch to Store,2025-05-15,,0
INV_500322,2025-01-20 01:25:11,Shepperton_Plant,,Seed Loaf,0,934,1778,844,dispatch,Manual Correction,2025-01-26,RT_043,934
INV_512309,2025-03-31 13:11:39,,STORE_020,High Energy White,104,0,99,203,return_from_store,Production,2025-04-05,,0
INV_505019,2025-01-30 00:42:44,,STORE_118,High Energy Brown,0,63,-168,-231,store_sale,Manual Correction,2025-02-04,,63
INV_506690,2025-01-04 12:35:43,,STORE_059,Family Loaf,115,0,-55,60,return_from_store,Shrinkage,2025-01-11,,0
INV_501429,2025-05-29 17:50:24,Willowvale_Plant,,Seed Loaf,16,0,3395,3411,stock_adjustment,Production,2025-06-04,,0
INV_512586,2025-02-08 04:27:28,Shepperton_Plant,,Seed Loaf,0,47,31974,31927,stock_adjustment,Return from Store,2025-02-14,,47
INV_510821,2025-01-11 12:22:53,Willowvale_Plant,,High Energy White,0,1129,38219,37090,dispatch,Manual Correction,2025-01-16,RT_057,1129
INV_509922,2025-01-02 01:40:47,Shepperton_Plant,,Seed Loaf,0,19,27073,27054,stock_adjustment,Damaged,2025-01-08,,19
INV_515556,2025-01-15 08:20:13,,STORE_159,Seed Loaf,30,0,-189,-159,return_from_store,Manual Correction,2025-01-21,,0
INV_503234,2025-02-08 16:57:30,Willowvale_Plant,,High Energy Brown,25,0,12818,12843,stock_adjustment,Shrinkage,2025-02-13,,0
INV_504450,2025-01-14 17:40:37,Willowvale_Plant,,Soft White,1340,0,28695,30035,production,Expired Waste,2025-01-19,,0
INV_503595,2025-01-24 07:26:57,Shepperton_Plant,,Soft White,0,8,20059,20051,stock_adjustment,Manual Correction,2025-01-29,,8
INV_501355,2025-02-10 08:31:09,Shepperton_Plant,,Family Loaf,0,19,-6409,-6428,stock_adjustment,Dispatch to Store,2025-02-17,,19
INV_516597,2025-04-03 17:42:59,,STORE_050,Seed Loaf,88,0,137,225,return_from_store,Expired Waste,2025-04-09,,0
INV_509808,2025-02-11 20:16:23,,STORE_015,Family Loaf,0,172,66,-106,store_sale,Dispatch to Store,2025-02-18,,172
INV_505598,2025-07-20 06:42:21,Willowvale_Plant,,Wholegrain Brown,0,1060,31637,30577,dispatch,Return from Store,2025-07-25,RT_006,1060
INV_504904,2025-03-30 12:33:12,Shepperton_Plant,,Wholegrain Brown,0,1310,14020,12710,dispatch,Production,2025-04-04,RT_070,1310
INV_509791,2025-07-13 05:28:55,,STORE_118,Whole Wheat,97,0,-222,-125,return_from_store,Manual Correction,2025-07-19,,0
INV_512114,2025-04-01 08:46:44,Shepperton_Plant,,Wholegrain Brown,891,0,38889,39780,production,Sale,2025-04-06,,0
INV_509690,2025-02-27 04:22:40,,STORE_080,High Energy White,0,289,34,-255,store_sale,Expired Waste,2025-03-04,,289
INV_509693,2025-01-23 08:18:39,Shepperton_Plant,,High Energy White,0,5,17187,17182,stock_adjustment,Shrinkage,2025-01-28,,5
INV_515232,2025-03-28 05:30:42,Shepperton_Plant,,Wholegrain Brown,0,40,45503,45463,waste,Sale,2025-04-02,,40
INV_515575,2025-01-25 11:08:05,Willowvale_Plant,,Family Loaf,0,1148,42941,41793,dispatch,Manual Correction,2025-02-01,RT_023,1148
INV_510579,2025-07-15 16:35:25,Shepperton_Plant,,Seed Loaf,0,815,23157,22342,dispatch,Shrinkage,2025-07-21,RT_050,815
INV_508255,2025-05-26 19:19:49,,STORE_108,Wholegrain Brown,0,199,-89,-288,store_sale,Dispatch to Store,2025-05-31,,199
INV_508925,2025-04-03 08:33:53,Shepperton_Plant,,Soft White,0,1426,24333,22907,dispatch,Dispatch to Store,2025-04-08,RT_003,1426
INV_516894,2025-06-05 16:35:12,Willowvale_Plant,,Whole Wheat,0,347,45440,45093,dispatch,Expired Waste,2025-06-11,RT_060,347
INV_513534,2025-06-14 15:40:03,,STORE_047,Wholegrain Brown,118,0,-622,-504,return_from_store,Manual Correction,2025-06-19,,0
INV_501347,2025-05-14 15:14:41,,STORE_052,Whole Wheat,0,95,0,-95,store_sale,Sale,2025-05-20,,95
INV_506584,2025-07-19 18:28:06,,STORE_022,Soft White,64,0,143,207,return_from_store,Damaged,2025-07-24,,0
INV_516262,2025-01-31 16:19:46,Shepperton_Plant,,Family Loaf,0,100,105998,105898,waste,Shrinkage,2025-02-07,,100
INV_505250,2025-07-24 22:21:20,Willowvale_Plant,,Family Loaf,0,608,1368,760,dispatch,Production,2025-07-31,RT_064,608
INV_512023,2025-02-02 01:11:07,Shepperton_Plant,,Wholegrain Brown,0,982,40447,39465,dispatch,Expired Waste,2025-02-07,RT_026,982
INV_500351,2025-02-11 19:30:10,Shepperton_Plant,,Whole Wheat,0,1372,-1144,-2516,dispatch,Shrinkage,2025-02-17,RT_009,1372
INV_515063,2025-01-13 16:53:04,Shepperton_Plant,,Family Loaf,0,537,98691,98154,dispatch,Production,2025-01-20,RT_043,537
INV_513867,2025-03-03 18:56:18,Shepperton_Plant,,Wholegrain Brown,0,5,51311,51306,stock_adjustment,Sale,2025-03-08,,5
INV_515690,2025-01-18 13:06:48,Willowvale_Plant,,Seed Loaf,0,40,43956,43916,stock_adjustment,Shrinkage,2025-01-24,,40
INV_502405,2025-05-15 15:23:52,Shepperton_Plant,,Soft White,1736,0,2834,4570,production,Dispatch to Store,2025-05-20,,0
INV_515169,2025-04-20 04:22:21,Willowvale_Plant,,Seed Loaf,46,0,42597,42643,stock_adjustment,Sale,2025-04-26,,0
INV_510924,2025-01-03 01:43:02,Willowvale_Plant,,Family Loaf,0,96,15333,15237,waste,Shrinkage,2025-01-10,,96
INV_514628,2025-04-28 07:11:23,Shepperton_Plant,,Family Loaf,0,42,92879,92837,stock_adjustment,Shrinkage,2025-05-05,,42
INV_516830,2025-03-10 00:13:41,,STORE_048,Seed Loaf,0,185,-21,-206,store_sale,,2025-03-16,,185
INV_515462,2025-03-30 12:31:13,,STORE_037,Wholegrain Brown,87,0,-640,-553,return_from_store,Return from Store,2025-04-04,,0
INV_515467,2025-05-24 01:05:01,,STORE_132,Whole Wheat,93,0,-264,-171,return_from_store,Damaged,2025-05-30,,0
INV_517972,2025-05-02 10:34:34,Willowvale_Plant,,Wholegrain Brown,35,0,78785,78820,stock_adjustment,Shrinkage,2025-05-07,,0
INV_508452,2025-04-01 16:19:27,Shepperton_Plant,,Whole Wheat,0,721,31613,30892,dispatch,Shrinkage,2025-04-07,RT_009,721
INV_508663,2025-06-20 08:50:31,Shepperton_Plant,,Family Loaf,0,70,46626,46556,waste,Expired Waste,2025-06-27,,70
INV_516890,2025-05-13 18:36:59,Willowvale_Plant,,Whole Wheat,1862,0,43578,45440,production,Shrinkage,2025-05-19,,0
INV_509167,2025-01-04 23:21:15,,STORE_138,High Energy Brown,17,0,-53,-36,return_from_store,Dispatch to Store,2025-01-09,,0
INV_516687,2025-07-04 10:55:34,Shepperton_Plant,,Seed Loaf,0,45,37019,36974,waste,Dispatch to Store,2025-07-10,,45
INV_502425,2025-06-06 20:55:46,Willowvale_Plant,,Whole Wheat,0,1489,-7091,-8580,dispatch,Shrinkage,2025-06-12,RT_075,1489
INV_509880,2025-01-16 20:54:02,Willowvale_Plant,,High Energy White,0,41,35144,35103,stock_adjustment,Expired Waste,2025-01-21,,41
INV_508471,2025-04-23 06:22:35,Shepperton_Plant,,High Energy Brown,0,361,26114,25753,dispatch,Damaged,2025-04-28,RT_010,361
INV_501290,2025-01-23 12:46:33,,STORE_109,Seed Loaf,80,0,0,80,return_from_store,Return from Store,2025-01-29,,0
INV_508176,2025-04-28 21:29:23,Shepperton_Plant,,High Energy White,1688,0,24876,26564,production,Expired Waste,2025-05-03,,0
INV_501026,2025-06-07 03:59:33,,STORE_179,Soft White,76,0,0,76,return_from_store,Return from Store,2025-06-12,,0
INV_515322,2025-04-26 13:12:16,Willowvale_Plant,,Soft White,0,17,66674,66657,stock_adjustment,Damaged,2025-05-01,,17
INV_503222,2025-03-01 07:02:44,,STORE_096,Whole Wheat,0,235,19,-216,store_sale,Production,2025-03-07,,235
INV_513811,2025-07-02 00:51:17,Willowvale_Plant,,Wholegrain Brown,0,24,71984,71960,stock_adjustment,Damaged,2025-07-07,,24
INV_507530,2025-04-28 22:48:00,Willowvale_Plant,,Whole Wheat,0,122,-4328,-4450,waste,Damaged,2025-05-04,,122
INV_509228,2025-06-03 00:20:59,Willowvale_Plant,,Family Loaf,0,132,8700,8568,waste,Dispatch to Store,2025-06-10,,132
INV_513028,2025-02-19 12:02:57,Shepperton_Plant,,Family Loaf,0,1030,91356,90326,dispatch,Dispatch to Store,2025-02-26,RT_011,1030
INV_503501,2025-06-08 00:58:07,,STORE_061,Seed Loaf,17,0,0,17,return_from_store,Manual Correction,2025-06-14,,0
INV_508239,2025-04-07 05:27:32,,STORE_189,Wholegrain Brown,0,258,12,-246,store_sale,Production,2025-04-12,,258
INV_513798,2025-01-19 13:38:33,Shepperton_Plant,,Family Loaf,0,44,87340,87296,stock_adjustment,Manual Correction,2025-01-26,,44
INV_514533,2025-05-21 11:59:27,Willowvale_Plant,,Whole Wheat,0,194,37219,37025,waste,Dispatch to Store,2025-05-27,,194
INV_508888,2025-02-16 02:23:47,Shepperton_Plant,,High Energy Brown,18,0,26580,26598,stock_adjustment,Production,2025-02-21,,0
INV_515308,2025-01-03 20:36:08,Shepperton_Plant,,High Energy White,982,0,33184,34166,production,Return from Store,2025-01-08,,0
INV_504935,2025-02-01 20:38:10,Willowvale_Plant,,Soft White,873,0,28013,28886,production,Damaged,2025-02-06,,0
INV_504367,2025-03-20 18:28:17,Willowvale_Plant,,Whole Wheat,0,35,-12344,-12379,waste,Expired Waste,2025-03-26,,35
INV_514198,2025-05-25 01:09:34,,STORE_077,Whole Wheat,95,0,-2,93,return_from_store,Production,2025-05-31,,0
INV_509882,2025-02-16 17:16:29,Willowvale_Plant,,Whole Wheat,0,34,1728,1694,stock_adjustment,Expired Waste,2025-02-22,,34
INV_513455,2025-03-02 20:00:29,Shepperton_Plant,,High Energy Brown,0,547,40423,39876,dispatch,Sale,2025-03-07,RT_065,547
INV_510056,2025-05-12 09:11:54,,STORE_189,Seed Loaf,23,0,-694,-671,return_from_store,Manual Correction,2025-05-18,,0
INV_507558,2025-07-19 17:13:01,,STORE_125,Family Loaf,86,0,-234,-148,return_from_store,Return from Store,2025-07-26,,0
INV_501704,2025-06-30 02:17:23,Willowvale_Plant,,Seed Loaf,1298,0,-1345,-47,production,Production,2025-07-06,,0
INV_513077,2025-05-14 12:48:09,Shepperton_Plant,,Wholegrain Brown,1091,0,50806,51897,production,Production,2025-05-19,,0
INV_501838,2025-04-06 00:48:00,,STORE_149,High Energy White,61,0,0,61,return_from_store,Sale,2025-04-11,,0
INV_512227,2025-01-22 09:55:23,,STORE_194,Seed Loaf,0,188,-50,-238,store_sale,Expired Waste,2025-01-28,,188
INV_511370,2025-05-29 17:32:21,Shepperton_Plant,,Whole Wheat,714,0,49733,50447,production,Expired Waste,2025-06-04,,0
INV_507316,2025-02-03 05:25:41,Shepperton_Plant,,Wholegrain Brown,0,1264,36145,34881,dispatch,Return from Store,2025-02-08,RT_047,1264
INV_511127,2025-01-01 11:56:56,Shepperton_Plant,,Whole Wheat,0,1282,48536,47254,dispatch,Expired Waste,2025-01-07,RT_066,1282
INV_513495,2025-02-15 10:58:46,Shepperton_Plant,,Soft White,1382,0,22342,23724,production,Dispatch to Store,2025-02-20,,0
INV_515669,2025-04-12 13:36:52,Shepperton_Plant,,Family Loaf,1671,0,102462,104133,production,Dispatch to Store,2025-04-19,,0
INV_506933,2025-07-18 14:53:45,Willowvale_Plant,,High Energy Brown,48,0,24018,24066,stock_adjustment,Shrinkage,2025-07-23,,0
INV_503208,2025-06-19 10:30:13,Shepperton_Plant,,High Energy White,1038,0,6102,7140,production,Return from Store,2025-06-24,,0
INV_512303,2025-06-18 15:36:58,Willowvale_Plant,,Soft White,0,179,59772,59593,waste,Manual Correction,2025-06-23,,179
INV_510110,2025-01-25 09:00:40,,STORE_060,Seed Loaf,0,155,-385,-540,store_sale,Dispatch to Store,2025-01-31,,155
INV_509925,2025-05-20 09:40:55,Shepperton_Plant,,Soft White,0,1438,23950,22512,dispatch,Sale,2025-05-25,RT_009,1438
INV_516172,2025-02-10 00:18:54,Willowvale_Plant,,Family Loaf,0,72,46185,46113,waste,Damaged,2025-02-17,,72
INV_505023,2025-07-10 19:57:49,Willowvale_Plant,,High Energy White,1921,0,14086,16007,production,Dispatch to Store,2025-07-15,,0
INV_510708,2025-03-13 04:22:38,,STORE_133,Soft White,23,0,0,23,return_from_store,Production,2025-03-18,,0
INV_517772,2025-07-26 06:44:25,Willowvale_Plant,,Family Loaf,0,34,53973,53939,waste,Sale,2025-08-02,,34
INV_511455,2025-03-29 17:22:29,,STORE_155,High Energy White,0,165,-395,-560,store_sale,Sale,2025-04-03,,165
INV_509975,2025-01-24 09:54:22,Shepperton_Plant,,High Energy Brown,0,37,35611,35574,stock_adjustment,Damaged,2025-01-29,,37
