route_id,route_name,vehicle_id,driver_id,estimated_time_min,distance_km,stops_list,region,trip_start_window,trip_end_window,load_capacity_kg
RT_004,Harare - Eastlea Express,TRUCK_008,DRIVER_013,189,57.7,"STORE_131,STORE_021,STORE_048,STORE_018,STORE_153,STORE_173",Harare North,03:00-05:00,Same Day,4500
RT_004,Masvingo - Mucheke Loop,TRUCK_114,DRIVER_146,103,67.9,"STORE_108,STORE_169,STORE_150,STORE_145,STORE_134,STORE_081,STORE_067",Masvingo,03:00-05:00,Same Day,3000
RT_005,Mutare - Sakubva Market Loop,TRUCK_034,DRIVER_102,73,77.2,"STORE_081,STORE_193,STORE_019,STORE_003,STORE_118,STORE_160,STORE_145,STORE_026,STORE_138,STORE_055,STORE_130,STORE_068,STORE_034,STORE_090,STORE_018,STORE_063,STORE_095,STORE_073,STORE_041",Mutare,04:00-06:00,Same Day,5000
RT_005,Bindura - Astra Mine Route,TRUCK_079,DRIVER_136,42,76.8,"STORE_035,STORE_068,STORE_030,STORE_028,STORE_191,STORE_142,STORE_040,STORE_070",Bindura,04:00-06:00,Same Day,5000
RT_005,Bulawayo - Pumula Route,TRUCK_044,DRIVER_053,215,73.4,"STORE_065,STORE_014,STORE_024,STORE_163,STORE_109,STORE_071,STORE_012,STORE_001,STORE_086,STORE_198,STORE_034,STORE_164,STORE_068,STORE_042,STORE_190,STORE_114,STORE_142,STORE_181,STORE_110,STORE_144",Bulawayo,03:00-05:00,Same Day,5000
RT_005,Harare - CBD Loop,TRUCK_114,DRIVER_039,179,13.6,"STORE_111,STORE_033,STORE_011,STORE_079,STORE_094,STORE_092,STORE_054,STORE_175,STORE_064",Harare South,05:00-07:00,Same Day,5000
RT_006,Mutare - Yeovil Loop,TRUCK_080,DRIVER_040,100,96.5,"STORE_007,STORE_046,STORE_189,STORE_086,STORE_106,STORE_172,STORE_064,STORE_069,STORE_041,STORE_180,STORE_028,STORE_098,STORE_010,STORE_121,STORE_057,STORE_052,STORE_118,STORE_090",Mutare,04:00-06:00,Same Day,4500
RT_006,Bulawayo - Nkulumane Loop,TRUCK_004,DRIVER_050,142,42.8,"STORE_090,STORE_165,STORE_131,STORE_103,STORE_174,STORE_138,STORE_085,STORE_008,STORE_030,STORE_067,STORE_046,STORE_149,STORE_068",Bulawayo,03:00-05:00,Same Day,3000
RT_007,Masvingo - Rujeko Run,TRUCK_094,DRIVER_081,151,70.6,"STORE_148,STORE_049,STORE_066,STORE_012,STORE_182,STORE_112,STORE_001,STORE_134,STORE_138,STORE_176,STORE_185,STORE_190,STORE_189,STORE_172,STORE_051,STORE_094,STORE_111",Masvingo,03:00-05:00,Same Day,3000
RT_007,Mutare - Yeovil Loop,TRUCK_085,DRIVER_032,116,60.7,"STORE_104,STORE_179,STORE_076,STORE_142,STORE_033,STORE_050,STORE_108,STORE_171,STORE_098,STORE_174,STORE_192,STORE_045,STORE_158,STORE_146,STORE_078",Mutare,04:00-06:00,Same Day,7000
RT_008,Harare - Eastlea Express,TRUCK_037,DRIVER_054,150,88.6,"STORE_114,STORE_173,STORE_055,STORE_131,STORE_122,STORE_189,STORE_044,STORE_169,STORE_022,STORE_073,STORE_132,STORE_170,STORE_163,STORE_159,STORE_086,STORE_024,STORE_193,STORE_061,STORE_080",Harare North,03:00-05:00,Same Day,5000
RT_008,Bulawayo - Nkulumane Loop,TRUCK_004,DRIVER_012,102,108.4,"STORE_107,STORE_162,STORE_148,STORE_050,STORE_184,STORE_179,STORE_099,STORE_127,STORE_103,STORE_063,STORE_038,STORE_168,STORE_177,STORE_002,STORE_193,STORE_198,STORE_028,STORE_109,STORE_057",Bulawayo,03:00-05:00,Same Day,3000
RT_008,Bindura - Astra Mine Route,TRUCK_007,DRIVER_143,103,101.7,"STORE_035,STORE_119,STORE_171,STORE_136,STORE_144,STORE_153,STORE_082,STORE_194,STORE_114,STORE_157,STORE_185,STORE_130,STORE_110,STORE_141,STORE_115,STORE_041,STORE_191,STORE_122,STORE_116",Bindura,04:00-06:00,Same Day,3000
RT_008,Bulawayo - Pumula Route,TRUCK_036,DRIVER_134,164,72.7,"STORE_020,STORE_183,STORE_074,STORE_061,STORE_070,STORE_086,STORE_082,STORE_139,STORE_021,STORE_036,STORE_039,STORE_060,STORE_099,STORE_178,STORE_040,STORE_181,STORE_055,STORE_017,STORE_107",Bulawayo,04:00-06:00,Same Day,5000
RT_009,Bindura - Astra Mine Route,TRUCK_054,DRIVER_016,92,93.3,"STORE_196,STORE_148,STORE_098,STORE_123,STORE_002",Bindura,04:00-06:00,Same Day,7000
RT_009,Gweru - Southdowns Loop,TRUCK_110,DRIVER_108,177,84.8,"STORE_057,STORE_070,STORE_112,STORE_125,STORE_008,STORE_100,STORE_087,STORE_172,STORE_174,STORE_104,STORE_186,STORE_043,STORE_120,STORE_033,STORE_160,STORE_137,STORE_007,STORE_101,STORE_152,STORE_145",Gweru,05:00-07:00,Same Day,4500
RT_009,Harare - CBD Loop,TRUCK_083,DRIVER_110,74,96.7,"STORE_067,STORE_098,STORE_084,STORE_055,STORE_117,STORE_087",Harare North,04:00-06:00,Same Day,4500
RT_010,Masvingo - Rujeko Run,TRUCK_107,DRIVER_021,160,11.9,"STORE_058,STORE_167,STORE_018,STORE_011,STORE_194,STORE_008,STORE_064,STORE_052,STORE_006,STORE_160,STORE_040,STORE_062,STORE_033,STORE_122,STORE_172,STORE_030",Masvingo,05:00-07:00,Same Day,3000
RT_010,Bulawayo - City Center Run,TRUCK_090,DRIVER_066,134,26.8,"STORE_080,STORE_028,STORE_149,STORE_007,STORE_148,STORE_174,STORE_097,STORE_102,STORE_184,STORE_051",Bulawayo,03:00-05:00,Same Day,3000
RT_010,Bulawayo - Nkulumane Loop,TRUCK_090,DRIVER_078,215,70,"STORE_089,STORE_137,STORE_110,STORE_170,STORE_095,STORE_018",Bulawayo,05:00-07:00,Same Day,3000
RT_011,Mutare - Sakubva Market Loop,TRUCK_109,DRIVER_108,165,20.6,"STORE_182,STORE_040,STORE_112,STORE_046,STORE_188,STORE_134,STORE_167,STORE_070,STORE_158,STORE_138,STORE_199,STORE_124,STORE_120,STORE_152,STORE_069,STORE_083,STORE_063,STORE_023,STORE_072",Mutare,04:00-06:00,Same Day,5000
RT_011,Bulawayo - City Center Run,TRUCK_073,DRIVER_098,126,12.9,"STORE_125,STORE_055,STORE_091,STORE_067,STORE_088,STORE_072,STORE_153,STORE_180,STORE_071,STORE_143",Bulawayo,03:00-05:00,Same Day,5000
RT_011,Bindura - Chiwaridzo Loop,TRUCK_011,DRIVER_062,144,58.9,"STORE_166,STORE_183,STORE_126,STORE_115,STORE_005,STORE_024,STORE_076,STORE_057,STORE_104,STORE_178,STORE_063,STORE_079,STORE_170,STORE_149,STORE_095,STORE_122,STORE_142,STORE_136,STORE_089,STORE_109",Bindura,05:00-07:00,Same Day,4500
RT_011,Bindura - Astra Mine Route,TRUCK_046,DRIVER_117,109,40.7,"STORE_185,STORE_050,STORE_081,STORE_031,STORE_191,STORE_138,STORE_196,STORE_177",Bindura,03:00-05:00,Same Day,4500
RT_012,Bulawayo - Pumula Route,TRUCK_062,DRIVER_071,190,107.7,"STORE_050,STORE_076,STORE_059,STORE_093,STORE_046,STORE_078,STORE_004,STORE_182",Bulawayo,05:00-07:00,Same Day,5000
RT_012,Chitungwiza - Seke Highway Route,TRUCK_006,DRIVER_014,181,39.2,"STORE_027,STORE_004,STORE_147,STORE_073,STORE_121,STORE_123,STORE_113,STORE_088,STORE_048,STORE_014,STORE_065,STORE_030,STORE_017,STORE_103,STORE_126,STORE_019,STORE_148,STORE_162,STORE_176,STORE_039",Chitungwiza,03:00-05:00,Same Day,4500
RT_013,Gweru - Mkoba Route,TRUCK_032,DRIVER_031,182,86.4,"STORE_116,STORE_114,STORE_077,STORE_151,STORE_110,STORE_079,STORE_146,STORE_159,STORE_016,STORE_157,STORE_190,STORE_026,STORE_196,STORE_054,STORE_161,STORE_055,STORE_068",Gweru,05:00-07:00,Same Day,4500
RT_013,Harare - Borrowdale Extension,TRUCK_031,DRIVER_045,181,17.5,"STORE_116,STORE_177,STORE_153,STORE_121,STORE_075,STORE_009,STORE_060,STORE_074,STORE_181,STORE_073,STORE_180,STORE_117,STORE_019,STORE_176,STORE_068,STORE_161,STORE_151,STORE_170",Harare South,03:00-05:00,Same Day,3000
RT_013,Masvingo - Mucheke Loop,TRUCK_070,DRIVER_058,205,24.9,"STORE_019,STORE_016,STORE_043,STORE_079,STORE_153,STORE_192,STORE_146,STORE_074,STORE_113",Masvingo,03:00-05:00,Same Day,5000
RT_013,Kwekwe - CBD Run,TRUCK_090,DRIVER_104,109,60,"STORE_021,STORE_154,STORE_011,STORE_111,STORE_189,STORE_083,STORE_155,STORE_065,STORE_007,STORE_024,STORE_059,STORE_173,STORE_148,STORE_151,STORE_006,STORE_196,STORE_069,STORE_194,STORE_045",Kwekwe,04:00-06:00,Same Day,7000
RT_014,Kwekwe - CBD Run,TRUCK_024,DRIVER_112,202,91.4,"STORE_090,STORE_105,STORE_086,STORE_083,STORE_172,STORE_027,STORE_042,STORE_085,STORE_106,STORE_178,STORE_127,STORE_074,STORE_170,STORE_103,STORE_195,STORE_141,STORE_010,STORE_117,STORE_023,STORE_081",Kwekwe,04:00-06:00,Same Day,3000
RT_014,Mutare - Sakubva Market Loop,TRUCK_099,DRIVER_104,171,92.5,"STORE_106,STORE_014,STORE_049,STORE_133,STORE_093,STORE_160,STORE_194,STORE_128,STORE_161,STORE_114,STORE_195,STORE_053,STORE_069,STORE_141,STORE_034,STORE_074,STORE_113,STORE_179,STORE_125",Mutare,03:00-05:00,Same Day,3000
RT_014,Harare - Borrowdale Extension,TRUCK_091,DRIVER_041,119,65.1,"STORE_058,STORE_030,STORE_119,STORE_031,STORE_166,STORE_040,STORE_128",Harare North,05:00-07:00,Same Day,7000
RT_014,Gweru - Southdowns Loop,TRUCK_054,DRIVER_124,160,34.4,"STORE_049,STORE_154,STORE_131,STORE_192,STORE_035,STORE_018,STORE_071,STORE_198,STORE_107,STORE_088,STORE_130,STORE_069,STORE_001,STORE_073,STORE_186,STORE_077,STORE_151",Gweru,05:00-07:00,Same Day,4500
RT_015,Kwekwe - Redcliff Loop,TRUCK_058,DRIVER_138,163,44.5,"STORE_083,STORE_049,STORE_179,STORE_062,STORE_147,STORE_099,STORE_060,STORE_199,STORE_106,STORE_012,STORE_082,STORE_191,STORE_122,STORE_181,STORE_098,STORE_170,STORE_167,STORE_039,STORE_127",Kwekwe,03:00-05:00,Same Day,7000
RT_015,Chitungwiza - Zengeza Distributor,TRUCK_076,DRIVER_085,65,97.4,"STORE_135,STORE_117,STORE_004,STORE_185,STORE_037,STORE_105,STORE_168,STORE_040",Chitungwiza,03:00-05:00,Same Day,7000
RT_015,Kwekwe - CBD Run,TRUCK_044,DRIVER_102,206,18,"STORE_082,STORE_161,STORE_184,STORE_195,STORE_125,STORE_139,STORE_010,STORE_159,STORE_018,STORE_061,STORE_162,STORE_176,STORE_074,STORE_059,STORE_192,STORE_024,STORE_112",Kwekwe,03:00-05:00,Same Day,5000
RT_015,Harare - Mt Pleasant Run,TRUCK_022,DRIVER_077,47,14.6,"STORE_092,STORE_096,STORE_111,STORE_038,STORE_063,STORE_136,STORE_106,STORE_145,STORE_175,STORE_047,STORE_044,STORE_045,STORE_021,STORE_157",Harare South,04:00-06:00,Same Day,3000
RT_016,Bulawayo - City Center Run,TRUCK_117,DRIVER_037,99,56.1,"STORE_066,STORE_171,STORE_003,STORE_120,STORE_074,STORE_174,STORE_140,STORE_041,STORE_019,STORE_114,STORE_089,STORE_151,STORE_077,STORE_164,STORE_109,STORE_177,STORE_065,STORE_117,STORE_078",Bulawayo,03:00-05:00,Same Day,5000
RT_016,Masvingo - Rujeko Run,TRUCK_014,DRIVER_061,137,67.2,"STORE_006,STORE_169,STORE_102,STORE_071,STORE_003,STORE_145,STORE_176,STORE_191,STORE_013,STORE_156,STORE_128,STORE_074,STORE_199,STORE_059",Masvingo,05:00-07:00,Same Day,5000
RT_016,Mutare - Sakubva Market Loop,TRUCK_082,DRIVER_049,198,35.1,"STORE_161,STORE_166,STORE_011,STORE_080,STORE_113,STORE_009,STORE_149,STORE_094",Mutare,05:00-07:00,Same Day,4500
RT_016,Chitungwiza - Unit L Loop,TRUCK_117,DRIVER_076,123,84.7,"STORE_034,STORE_139,STORE_094,STORE_136,STORE_129,STORE_070,STORE_043,STORE_066,STORE_124,STORE_076,STORE_192",Chitungwiza,04:00-06:00,Same Day,4500
RT_017,Kwekwe - Redcliff Loop,TRUCK_019,DRIVER_058,213,82.4,"STORE_024,STORE_102,STORE_004,STORE_068,STORE_138,STORE_032,STORE_117,STORE_095,STORE_173,STORE_192,STORE_150,STORE_098,STORE_164,STORE_096,STORE_028,STORE_060",Kwekwe,04:00-06:00,Same Day,7000
RT_017,Harare - Eastlea Express,TRUCK_118,DRIVER_057,205,16.3,"STORE_167,STORE_105,STORE_030,STORE_036,STORE_012,STORE_010,STORE_078,STORE_127,STORE_025,STORE_061,STORE_138,STORE_035,STORE_100,STORE_117",Harare North,04:00-06:00,Same Day,7000
RT_018,Bindura - Astra Mine Route,TRUCK_076,DRIVER_040,146,75.5,"STORE_072,STORE_009,STORE_177,STORE_095,STORE_056,STORE_114,STORE_061,STORE_093,STORE_026,STORE_176,STORE_140,STORE_166,STORE_092,STORE_016,STORE_102,STORE_071,STORE_049,STORE_032",Bindura,04:00-06:00,Same Day,7000
RT_018,Harare - Borrowdale Extension,TRUCK_083,DRIVER_006,52,88.7,"STORE_145,STORE_053,STORE_018,STORE_196,STORE_142,STORE_054,STORE_151,STORE_056,STORE_060",Harare South,04:00-06:00,Same Day,4500
RT_018,Chitungwiza - Zengeza Distributor,TRUCK_001,DRIVER_071,77,108.8,"STORE_029,STORE_170,STORE_007,STORE_034,STORE_004,STORE_092,STORE_061,STORE_151,STORE_083,STORE_005",Chitungwiza,03:00-05:00,Same Day,5000
RT_018,Gweru - Mkoba Route,TRUCK_017,DRIVER_108,174,21.4,"STORE_115,STORE_093,STORE_132,STORE_152,STORE_028,STORE_116,STORE_129,STORE_057,STORE_158,STORE_012,STORE_187,STORE_169,STORE_134,STORE_078,STORE_118,STORE_165,STORE_008,STORE_016,STORE_123,STORE_103",Gweru,04:00-06:00,Same Day,3000
RT_019,Harare - Mt Pleasant Run,TRUCK_092,DRIVER_114,58,99.9,"STORE_017,STORE_033,STORE_071,STORE_160,STORE_163,STORE_150,STORE_141,STORE_183,STORE_084",Harare South,04:00-06:00,Same Day,5000
RT_019,Bindura - Astra Mine Route,TRUCK_059,DRIVER_130,194,53,"STORE_111,STORE_116,STORE_059,STORE_106,STORE_087,STORE_117,STORE_103,STORE_107,STORE_187,STORE_025,STORE_081",Bindura,04:00-06:00,Same Day,3000
RT_019,Mutare - Yeovil Loop,TRUCK_048,DRIVER_040,215,102.3,"STORE_022,STORE_024,STORE_111,STORE_025,STORE_191,STORE_190,STORE_096",Mutare,03:00-05:00,Same Day,3000
RT_019,Bindura - Chiwaridzo Loop,TRUCK_076,DRIVER_144,183,43,"STORE_091,STORE_171,STORE_193,STORE_109,STORE_185,STORE_014,STORE_074,STORE_154,STORE_080,STORE_027,STORE_148,STORE_130,STORE_055,STORE_040,STORE_169,STORE_124,STORE_058,STORE_028",Bindura,04:00-06:00,Same Day,3000
RT_020,Mutare - Sakubva Market Loop,TRUCK_098,DRIVER_072,186,32.6,"STORE_156,STORE_169,STORE_178,STORE_069,STORE_008",Mutare,03:00-05:00,Same Day,7000
RT_020,Gweru - Southdowns Loop,TRUCK_118,DRIVER_087,129,10.6,"STORE_018,STORE_037,STORE_190,STORE_163,STORE_008,STORE_024,STORE_192,STORE_136,STORE_056,STORE_097,STORE_108,STORE_117,STORE_088,STORE_041,STORE_095,STORE_080,STORE_185",Gweru,04:00-06:00,Same Day,4500
RT_020,Harare - CBD Loop,TRUCK_020,DRIVER_041,198,15,"STORE_114,STORE_170,STORE_109,STORE_125,STORE_156,STORE_107,STORE_070,STORE_056,STORE_194,STORE_132,STORE_030,STORE_089,STORE_111",Harare South,03:00-05:00,Same Day,3000
RT_020,Gweru - Southdowns Loop,TRUCK_068,DRIVER_079,51,32.1,"STORE_053,STORE_078,STORE_055,STORE_197,STORE_036",Gweru,04:00-06:00,Same Day,3000
RT_021,Mutare - Sakubva Market Loop,TRUCK_001,DRIVER_128,150,27.6,"STORE_129,STORE_144,STORE_172,STORE_091,STORE_019,STORE_102,STORE_190,STORE_011,STORE_112,STORE_005,STORE_118,STORE_020",Mutare,04:00-06:00,Same Day,7000
RT_021,Masvingo - Rujeko Run,TRUCK_091,DRIVER_107,114,21.5,"STORE_044,STORE_159,STORE_118,STORE_177,STORE_093,STORE_023,STORE_112,STORE_028,STORE_063,STORE_151,STORE_103,STORE_135,STORE_021,STORE_102,STORE_080",Masvingo,05:00-07:00,Same Day,3000
RT_021,Mutare - Sakubva Market Loop,TRUCK_043,DRIVER_044,59,61,"STORE_199,STORE_090,STORE_187,STORE_166,STORE_038,STORE_061,STORE_027,STORE_066,STORE_051,STORE_045,STORE_155",Mutare,03:00-05:00,Same Day,3000
RT_022,Harare - Borrowdale Extension,TRUCK_099,DRIVER_127,158,85.4,"STORE_161,STORE_081,STORE_039,STORE_113,STORE_018,STORE_121,STORE_114,STORE_162,STORE_078,STORE_071,STORE_152,STORE_015,STORE_091,STORE_130,STORE_019",Harare South,04:00-06:00,Same Day,7000
RT_022,Kwekwe - CBD Run,TRUCK_005,DRIVER_015,134,93.2,"STORE_158,STORE_153,STORE_130,STORE_099,STORE_119,STORE_149,STORE_142",Kwekwe,05:00-07:00,Same Day,3000
RT_022,Harare - Mt Pleasant Run,TRUCK_117,DRIVER_147,206,28.8,"STORE_016,STORE_116,STORE_027,STORE_088,STORE_183,STORE_022,STORE_130,STORE_166,STORE_045",Harare North,03:00-05:00,Same Day,7000
RT_022,Bulawayo - Pumula Route,TRUCK_057,DRIVER_113,174,62.3,"STORE_096,STORE_073,STORE_100,STORE_105,STORE_199,STORE_087,STORE_174,STORE_154,STORE_014,STORE_162,STORE_166,STORE_086,STORE_017,STORE_085,STORE_025,STORE_143",Bulawayo,05:00-07:00,Same Day,4500
RT_023,Gweru - Southdowns Loop,TRUCK_093,DRIVER_039,125,18.2,"STORE_080,STORE_168,STORE_179,STORE_170,STORE_101,STORE_034,STORE_153,STORE_182,STORE_022,STORE_144,STORE_097,STORE_165,STORE_085,STORE_033,STORE_172,STORE_180",Gweru,05:00-07:00,Same Day,4500
RT_023,Bindura - Chiwaridzo Loop,TRUCK_083,DRIVER_109,170,46.2,"STORE_047,STORE_055,STORE_088,STORE_197,STORE_125,STORE_050,STORE_058,STORE_036,STORE_040,STORE_020,STORE_076,STORE_026,STORE_130,STORE_198",Bindura,05:00-07:00,Same Day,5000
RT_023,Bindura - Chiwaridzo Loop,TRUCK_085,DRIVER_087,198,23.1,"STORE_042,STORE_047,STORE_178,STORE_198,STORE_160,STORE_043,STORE_185,STORE_113,STORE_012",Bindura,04:00-06:00,Same Day,7000
RT_024,Bulawayo - City Center Run,TRUCK_079,DRIVER_073,154,33.4,"STORE_121,STORE_050,STORE_095,STORE_174,STORE_147,STORE_113,STORE_119,STORE_197,STORE_073,STORE_098,STORE_129,STORE_136,STORE_108,STORE_042",Bulawayo,03:00-05:00,Same Day,4500
RT_024,Chitungwiza - Seke Highway Route,TRUCK_007,DRIVER_124,135,65.5,"STORE_073,STORE_022,STORE_196,STORE_042,STORE_070,STORE_116,STORE_132,STORE_038",Chitungwiza,04:00-06:00,Same Day,3000
RT_024,Harare - Borrowdale Extension,TRUCK_105,DRIVER_116,129,103,"STORE_102,STORE_129,STORE_096,STORE_061,STORE_099,STORE_021",Harare South,04:00-06:00,Same Day,7000
RT_025,Harare - Eastlea Express,TRUCK_013,DRIVER_086,77,23.8,"STORE_179,STORE_036,STORE_195,STORE_181,STORE_121,STORE_115,STORE_158,STORE_002,STORE_021,STORE_005,STORE_066,STORE_056,STORE_039,STORE_141,STORE_187,STORE_156,STORE_136,STORE_109,STORE_029,STORE_199",Harare North,04:00-06:00,Same Day,5000
RT_025,Bulawayo - City Center Run,TRUCK_016,DRIVER_013,101,52,"STORE_029,STORE_128,STORE_153,STORE_138,STORE_005,STORE_162,STORE_132",Bulawayo,05:00-07:00,Same Day,7000
RT_026,Chitungwiza - Seke Highway Route,TRUCK_055,,197,45.3,"STORE_171,STORE_172,STORE_022,STORE_135,STORE_093,STORE_018,STORE_140,STORE_130,STORE_142,STORE_006",Chitungwiza,04:00-06:00,Same Day,7000
RT_026,Kwekwe - Redcliff Loop,TRUCK_082,DRIVER_100,135,35.4,"STORE_018,STORE_089,STORE_062,STORE_188,STORE_169,STORE_161,STORE_027,STORE_198,STORE_149,STORE_189,STORE_194,STORE_086,STORE_035,STORE_012,STORE_091,STORE_140",Kwekwe,04:00-06:00,Same Day,3000
RT_027,Chitungwiza - Zengeza Distributor,TRUCK_060,DRIVER_123,201,28.2,"STORE_184,STORE_199,STORE_118,STORE_010,STORE_076,STORE_052,STORE_012",Chitungwiza,03:00-05:00,Same Day,4500
RT_027,Harare - Eastlea Express,TRUCK_040,DRIVER_132,141,108.9,"STORE_010,STORE_193,STORE_166,STORE_049,STORE_074,STORE_092,STORE_013,STORE_168,STORE_085,STORE_070,STORE_032,STORE_095,STORE_112",Harare North,04:00-06:00,Same Day,7000
RT_027,Kwekwe - CBD Run,TRUCK_044,DRIVER_048,167,79.2,"STORE_022,STORE_187,STORE_109,STORE_021,STORE_111,STORE_155,STORE_047,STORE_140,STORE_076,STORE_083,STORE_027,STORE_084,STORE_170",Kwekwe,04:00-06:00,Same Day,5000
RT_027,Gweru - Southdowns Loop,TRUCK_078,DRIVER_110,82,79,"STORE_011,STORE_187,STORE_091,STORE_158,STORE_112,STORE_071,STORE_164,STORE_015,STORE_020,STORE_172,STORE_104,STORE_094,STORE_132,STORE_192,STORE_174,STORE_041,STORE_008,STORE_037,STORE_156",Gweru,05:00-07:00,Same Day,5000
RT_028,Harare - Borrowdale Extension,TRUCK_009,DRIVER_061,205,46.6,"STORE_155,STORE_040,STORE_174,STORE_116,STORE_095,STORE_096",Harare North,04:00-06:00,Same Day,7000
RT_028,Harare - Borrowdale Extension,TRUCK_068,DRIVER_094,141,41.4,"STORE_030,STORE_007,STORE_189,STORE_048,STORE_128,STORE_133,STORE_100,STORE_144,STORE_031,STORE_068,STORE_199,STORE_067",Harare South,05:00-07:00,Same Day,5000
RT_028,Kwekwe - Redcliff Loop,TRUCK_079,DRIVER_074,217,101.6,"STORE_032,STORE_035,STORE_019,STORE_116,STORE_045,STORE_183,STORE_114,STORE_023,STORE_175,STORE_082,STORE_171",Kwekwe,04:00-06:00,Same Day,7000
RT_029,Harare - Eastlea Express,TRUCK_115,DRIVER_077,80,81.2,"STORE_131,STORE_058,STORE_032,STORE_052,STORE_036,STORE_061,STORE_127,STORE_007,STORE_093,STORE_142,STORE_147,STORE_095,STORE_120,STORE_034,STORE_157,STORE_023",Harare South,03:00-05:00,Same Day,4500
RT_029,Gweru - Southdowns Loop,TRUCK_092,DRIVER_123,174,51.1,"STORE_033,STORE_082,STORE_165,STORE_019,STORE_116,STORE_120,STORE_175",Gweru,05:00-07:00,Same Day,7000
RT_029,Mutare - Sakubva Market Loop,TRUCK_113,DRIVER_142,203,68.8,"STORE_129,STORE_015,STORE_032,STORE_133,STORE_040,STORE_078,STORE_043,STORE_042,STORE_083,STORE_182,STORE_058,STORE_089,STORE_073,STORE_021,STORE_065,STORE_051,STORE_163,STORE_142",Mutare,04:00-06:00,Same Day,4500
