record_id,holiday_name,date,sku,region,qty_produced,qty_sold,demand_shift_factor,qty_leftover,sell_through_rate
HOLIDAY_REC_1863,National Youth Day,2025-02-21,Family Loaf,Chitungwiza,1354,1229,0.96,125,0.908
HOLIDAY_REC_8830,Africa Day,2025-05-25,Wholegrain Brown,Mutare,975,920,1.13,55,0.944
HOLIDAY_REC_10316,Heroes Day,2025-08-12,High Energy White,Chitungwiza,2127,2006,1.26,121,0.943
HOLIDAY_REC_9051,Africa Day,2025-05-25,Whole Wheat,Bulawayo,1077,923,1.09,154,0.857
HOLIDAY_REC_9151,Africa Day,2025-05-25,Whole Wheat,Bulawayo,613,578,1.19,35,0.943
HOLIDAY_REC_8490,Africa Day,2025-05-25,High Energy White,Masvingo,2052,1777,0.91,275,0.866
HOLIDAY_REC_6660,Easter Monday,2025-04-21,Family Loaf,Gweru,635,591,1.28,44,0.931
HOLIDAY_REC_10068,Heroes Day,2025-08-12,High Energy Brown,Bulawayo,1207,1123,1.03,84,0.93
HOLIDAY_REC_853,New Year's Day,2025-01-01,Soft White,Gweru,2786,2483,1.29,303,0.891
HOLIDAY_REC_17848,Boxing Day,2025-12-26,High Energy Brown,Chitungwiza,1032,909,1.25,123,0.881
HOLIDAY_REC_9599,Africa Day,2025-05-25,High Energy Brown,Masvingo,1515,1309,1.22,206,0.864
HOLIDAY_REC_6919,Workers Day,2025-05-01,High Energy Brown,Harare,2025,1900,1.17,125,0.938
HOLIDAY_REC_4519,Independence Day,2025-04-18,Soft White,Gweru,965,870,1.08,95,0.902
HOLIDAY_REC_12077,Defense Forces Day,2025-08-13,Family Loaf,Harare,1075,1025,1.12,50,0.953
HOLIDAY_REC_18714,Boxing Day,2025-12-26,Whole Wheat,Gweru,873,858,1.0,15,0.983
HOLIDAY_REC_14512,Unity Day,2025-12-22,Soft White,Harare,837,755,1.19,82,0.902
HOLIDAY_REC_3777,Independence Day,2025-04-18,Whole Wheat,Gweru,1697,1606,0.91,91,0.946
HOLIDAY_REC_14761,Unity Day,2025-12-22,High Energy White,Gweru,1818,1577,1.24,241,0.867
HOLIDAY_REC_17181,Christmas Day,2025-12-25,Family Loaf,Harare,893,872,1.11,21,0.976
HOLIDAY_REC_2404,National Youth Day,2025-02-21,High Energy Brown,Chitungwiza,1189,1168,0.95,21,0.982
HOLIDAY_REC_13311,Defense Forces Day,2025-08-13,Family Loaf,Mutare,685,624,1.02,61,0.911
HOLIDAY_REC_5862,Easter Monday,2025-04-21,High Energy White,Mutare,928,794,1.14,134,0.856
HOLIDAY_REC_5866,Easter Monday,2025-04-21,High Energy Brown,Chitungwiza,1254,1208,1.04,46,0.963
HOLIDAY_REC_16415,Christmas Day,2025-12-25,High Energy White,Bulawayo,1426,1308,1.3,118,0.917
HOLIDAY_REC_8396,Africa Day,2025-05-25,High Energy Brown,Mutare,775,746,0.99,29,0.963
HOLIDAY_REC_10799,Heroes Day,2025-08-12,High Energy Brown,Gweru,1585,1353,0.93,232,0.854
HOLIDAY_REC_18765,Boxing Day,2025-12-26,High Energy Brown,Bulawayo,1169,1052,1.19,117,0.9
HOLIDAY_REC_9758,Africa Day,2025-05-25,Soft White,Gweru,1163,1090,1.22,73,0.937
HOLIDAY_REC_4581,Independence Day,2025-04-18,High Energy Brown,Harare,1933,1727,1.21,206,0.893
HOLIDAY_REC_9335,Africa Day,2025-05-25,Family Loaf,Bulawayo,1423,1344,1.28,79,0.944
HOLIDAY_REC_6474,Easter Monday,2025-04-21,Whole Wheat,Masvingo,1740,1666,0.92,74,0.957
HOLIDAY_REC_13778,Defense Forces Day,2025-08-13,Whole Wheat,Masvingo,618,616,1.13,2,0.997
HOLIDAY_REC_18658,Boxing Day,2025-12-26,High Energy Brown,Harare,2369,2259,1.0,110,0.954
HOLIDAY_REC_11512,Heroes Day,2025-08-12,Soft White,Mutare,1308,1130,1.12,178,0.864
HOLIDAY_REC_7242,Workers Day,2025-05-01,Family Loaf,Chitungwiza,1651,1518,1.08,133,0.919
HOLIDAY_REC_8456,Africa Day,2025-05-25,Family Loaf,Masvingo,1872,1752,1.05,120,0.936
HOLIDAY_REC_18600,Boxing Day,2025-12-26,High Energy Brown,Mutare,1331,1286,1.2,45,0.966
HOLIDAY_REC_6481,Easter Monday,2025-04-21,Wholegrain Brown,Masvingo,839,834,1.0,5,0.994
HOLIDAY_REC_10461,Heroes Day,2025-08-12,High Energy White,Gweru,1592,1399,1.2,193,0.879
HOLIDAY_REC_15131,Unity Day,2025-12-22,Family Loaf,Mutare,846,845,1.07,1,0.999
HOLIDAY_REC_17373,Christmas Day,2025-12-25,High Energy Brown,Masvingo,2778,2533,0.95,245,0.912
HOLIDAY_REC_8254,Workers Day,2025-05-01,Soft White,Mutare,1522,1485,0.93,37,0.976
HOLIDAY_REC_11870,Heroes Day,2025-08-12,Family Loaf,Harare,2232,2202,1.02,30,0.987
HOLIDAY_REC_5526,Easter Monday,2025-04-21,Wholegrain Brown,Gweru,2178,2121,1.17,57,0.974
HOLIDAY_REC_18831,Boxing Day,2025-12-26,Seed Loaf,Gweru,1020,919,1.17,101,0.901
HOLIDAY_REC_9543,Africa Day,2025-05-25,High Energy Brown,Masvingo,791,678,0.91,113,0.857
HOLIDAY_REC_12472,Defense Forces Day,2025-08-13,Wholegrain Brown,Bulawayo,1214,1057,0.95,157,0.871
HOLIDAY_REC_9256,Africa Day,2025-05-25,High Energy White,Gweru,1968,1767,1.07,201,0.898
HOLIDAY_REC_18866,Boxing Day,2025-12-26,High Energy Brown,Chitungwiza,1498,1468,1.1,30,0.98
HOLIDAY_REC_345,New Year's Day,2025-01-01,Whole Wheat,Chitungwiza,2353,2172,1.26,181,0.923
HOLIDAY_REC_10866,Heroes Day,2025-08-12,High Energy Brown,Bulawayo,2167,2098,1.27,69,0.968
HOLIDAY_REC_3024,National Youth Day,2025-02-21,High Energy Brown,Chitungwiza,2017,1831,1.28,186,0.908
HOLIDAY_REC_6069,Easter Monday,2025-04-21,Wholegrain Brown,Chitungwiza,1360,1334,1.23,26,0.981
HOLIDAY_REC_4117,Independence Day,2025-04-18,Wholegrain Brown,Bulawayo,2225,2129,1.05,96,0.957
HOLIDAY_REC_16865,Christmas Day,2025-12-25,High Energy White,Masvingo,2781,2715,1.21,66,0.976
HOLIDAY_REC_7111,Workers Day,2025-05-01,Wholegrain Brown,Chitungwiza,613,580,1.27,33,0.946
HOLIDAY_REC_342,New Year's Day,2025-01-01,Whole Wheat,Gweru,2006,1937,1.05,69,0.966
HOLIDAY_REC_14981,Unity Day,2025-12-22,Wholegrain Brown,Gweru,1009,936,0.93,73,0.928
HOLIDAY_REC_8453,Africa Day,2025-05-25,Wholegrain Brown,Harare,1439,1284,1.13,155,0.892
HOLIDAY_REC_13135,Defense Forces Day,2025-08-13,Seed Loaf,Harare,1845,1571,0.92,274,0.851
HOLIDAY_REC_352,New Year's Day,2025-01-01,High Energy Brown,Harare,757,708,1.01,49,0.935
HOLIDAY_REC_17144,Christmas Day,2025-12-25,Seed Loaf,Chitungwiza,2063,2005,1.23,58,0.972
HOLIDAY_REC_8538,Africa Day,2025-05-25,High Energy Brown,Masvingo,730,633,1.12,97,0.867
HOLIDAY_REC_17055,Christmas Day,2025-12-25,Family Loaf,Bulawayo,2147,2134,1.13,13,0.994
HOLIDAY_REC_3927,Independence Day,2025-04-18,High Energy Brown,Bulawayo,1680,1665,1.14,15,0.991
HOLIDAY_REC_4166,Independence Day,2025-04-18,Seed Loaf,Harare,2367,2208,1.14,159,0.933
HOLIDAY_REC_12123,Defense Forces Day,2025-08-13,Whole Wheat,Harare,768,699,1.24,69,0.91
HOLIDAY_REC_12177,Defense Forces Day,2025-08-13,Whole Wheat,Masvingo,1449,1411,0.96,38,0.974
HOLIDAY_REC_3483,Independence Day,2025-04-18,Wholegrain Brown,Bulawayo,798,703,1.04,95,0.881
HOLIDAY_REC_2615,National Youth Day,2025-02-21,High Energy White,Mutare,782,668,1.28,114,0.854
HOLIDAY_REC_16629,Christmas Day,2025-12-25,Whole Wheat,Gweru,2842,2625,1.03,217,0.924
HOLIDAY_REC_2113,National Youth Day,2025-02-21,Seed Loaf,Chitungwiza,1675,1495,1.3,180,0.893
HOLIDAY_REC_2625,National Youth Day,2025-02-21,Family Loaf,Bulawayo,2019,1789,0.93,230,0.886
HOLIDAY_REC_2603,National Youth Day,2025-02-21,Wholegrain Brown,Gweru,1661,1580,1.18,81,0.951
HOLIDAY_REC_15302,Unity Day,2025-12-22,Seed Loaf,Chitungwiza,587,578,1.28,9,0.985
HOLIDAY_REC_3012,National Youth Day,2025-02-21,Seed Loaf,Chitungwiza,676,595,1.0,81,0.88
HOLIDAY_REC_2178,National Youth Day,2025-02-21,Family Loaf,Chitungwiza,573,566,1.1,7,0.988
HOLIDAY_REC_17510,Boxing Day,2025-12-26,High Energy White,Bulawayo,2230,2207,1.18,23,0.99
HOLIDAY_REC_219,New Year's Day,2025-01-01,Seed Loaf,Harare,854,742,0.95,112,0.869
HOLIDAY_REC_13161,Defense Forces Day,2025-08-13,Wholegrain Brown,Mutare,1086,924,1.25,162,0.851
HOLIDAY_REC_12026,Defense Forces Day,2025-08-13,Wholegrain Brown,Chitungwiza,688,592,1.15,96,0.86
HOLIDAY_REC_17998,Boxing Day,2025-12-26,Soft White,Masvingo,1892,1858,1.22,34,0.982
HOLIDAY_REC_16534,Christmas Day,2025-12-25,Family Loaf,Bulawayo,1426,1355,1.17,71,0.95
HOLIDAY_REC_2137,National Youth Day,2025-02-21,Family Loaf,Masvingo,1001,884,1.12,117,0.883
HOLIDAY_REC_11376,Heroes Day,2025-08-12,High Energy Brown,Bulawayo,1551,1482,1.13,69,0.956
HOLIDAY_REC_9585,Africa Day,2025-05-25,Soft White,Chitungwiza,1293,1230,1.08,63,0.951
HOLIDAY_REC_17807,Boxing Day,2025-12-26,Seed Loaf,Gweru,1989,1795,1.14,194,0.902
HOLIDAY_REC_13709,Defense Forces Day,2025-08-13,Family Loaf,Mutare,1992,1745,0.94,247,0.876
HOLIDAY_REC_17757,Boxing Day,2025-12-26,Seed Loaf,Masvingo,1817,1592,1.21,225,0.876
HOLIDAY_REC_4611,Independence Day,2025-04-18,Seed Loaf,Gweru,1617,1442,1.24,175,0.892
HOLIDAY_REC_16077,Christmas Day,2025-12-25,Family Loaf,Masvingo,2143,2041,1.24,102,0.952
HOLIDAY_REC_4025,Independence Day,2025-04-18,Whole Wheat,Masvingo,1397,1359,0.95,38,0.973
HOLIDAY_REC_10969,Heroes Day,2025-08-12,High Energy Brown,Bulawayo,1540,1461,1.26,79,0.949
HOLIDAY_REC_13742,Defense Forces Day,2025-08-13,Soft White,Chitungwiza,2110,2076,1.09,34,0.984
HOLIDAY_REC_3459,National Youth Day,2025-02-21,Seed Loaf,Bulawayo,649,630,0.92,19,0.971
HOLIDAY_REC_15414,Unity Day,2025-12-22,Wholegrain Brown,Bulawayo,1582,1356,1.25,226,0.857
HOLIDAY_REC_10200,Heroes Day,2025-08-12,High Energy White,Harare,1330,1279,1.19,51,0.962
HOLIDAY_REC_3932,Independence Day,2025-04-18,Whole Wheat,Bulawayo,1836,1575,1.14,261,0.858
HOLIDAY_REC_15273,Unity Day,2025-12-22,Family Loaf,Gweru,653,603,1.01,50,0.923
HOLIDAY_REC_14694,Unity Day,2025-12-22,Seed Loaf,Masvingo,2135,1821,1.24,314,0.853
HOLIDAY_REC_211,New Year's Day,2025-01-01,Seed Loaf,Mutare,1768,1762,1.14,6,0.997
HOLIDAY_REC_15291,Unity Day,2025-12-22,Family Loaf,Gweru,810,734,1.18,76,0.906
HOLIDAY_REC_14594,Unity Day,2025-12-22,High Energy Brown,Masvingo,1884,1608,1.12,276,0.854
HOLIDAY_REC_15539,Unity Day,2025-12-22,High Energy Brown,Harare,1666,1613,0.97,53,0.968
HOLIDAY_REC_3120,National Youth Day,2025-02-21,Wholegrain Brown,Masvingo,664,626,1.18,38,0.943
HOLIDAY_REC_10539,Heroes Day,2025-08-12,High Energy White,Gweru,1370,1229,1.29,141,0.897
HOLIDAY_REC_2268,National Youth Day,2025-02-21,Soft White,Bulawayo,2061,1897,1.1,164,0.92
HOLIDAY_REC_1711,New Year's Day,2025-01-01,Wholegrain Brown,Bulawayo,1805,1702,1.22,103,0.943
HOLIDAY_REC_18702,Boxing Day,2025-12-26,Family Loaf,Harare,2002,1954,1.28,48,0.976
HOLIDAY_REC_6955,Workers Day,2025-05-01,Whole Wheat,Gweru,1410,1290,1.15,120,0.915
HOLIDAY_REC_1625,New Year's Day,2025-01-01,High Energy Brown,Chitungwiza,2728,2639,1.14,89,0.967
HOLIDAY_REC_12999,Defense Forces Day,2025-08-13,Seed Loaf,Mutare,1759,1582,0.92,177,0.899
HOLIDAY_REC_15216,Unity Day,2025-12-22,Wholegrain Brown,Bulawayo,1959,1725,1.23,234,0.881
HOLIDAY_REC_4505,Independence Day,2025-04-18,Soft White,Harare,2251,2124,0.92,127,0.944
HOLIDAY_REC_9888,Africa Day,2025-05-25,Wholegrain Brown,Bulawayo,2309,2278,1.01,31,0.987
HOLIDAY_REC_17028,Christmas Day,2025-12-25,High Energy Brown,Harare,2762,2698,1.27,64,0.977
HOLIDAY_REC_19012,Boxing Day,2025-12-26,Seed Loaf,Bulawayo,916,838,1.3,78,0.915
HOLIDAY_REC_12137,Defense Forces Day,2025-08-13,Whole Wheat,Masvingo,2196,2186,0.94,10,0.995
HOLIDAY_REC_7908,Workers Day,2025-05-01,Wholegrain Brown,Masvingo,963,843,0.91,120,0.875
HOLIDAY_REC_16747,Christmas Day,2025-12-25,Whole Wheat,Masvingo,1209,1048,1.24,161,0.867
HOLIDAY_REC_8916,Africa Day,2025-05-25,High Energy Brown,Gweru,2052,1903,1.13,149,0.927
HOLIDAY_REC_5467,Easter Monday,2025-04-21,Wholegrain Brown,Chitungwiza,1837,1593,1.04,244,0.867
HOLIDAY_REC_5001,Independence Day,2025-04-18,Soft White,Chitungwiza,1731,1540,1.04,191,0.89
HOLIDAY_REC_13955,Unity Day,2025-12-22,Whole Wheat,Bulawayo,616,577,0.99,39,0.937
HOLIDAY_REC_19097,Boxing Day,2025-12-26,Family Loaf,Mutare,706,669,1.05,37,0.948
HOLIDAY_REC_9635,Africa Day,2025-05-25,Soft White,Masvingo,1011,871,1.11,140,0.862
HOLIDAY_REC_18639,Boxing Day,2025-12-26,Seed Loaf,Harare,967,845,1.28,122,0.874
HOLIDAY_REC_5307,Easter Monday,2025-04-21,Seed Loaf,Chitungwiza,2056,1946,1.25,110,0.946
HOLIDAY_REC_8543,Africa Day,2025-05-25,Wholegrain Brown,Bulawayo,953,858,1.21,95,0.9
HOLIDAY_REC_1730,New Year's Day,2025-01-01,Family Loaf,Bulawayo,2668,2315,1.02,353,0.868
HOLIDAY_REC_13419,Defense Forces Day,2025-08-13,Wholegrain Brown,Masvingo,2281,2162,1.05,119,0.948
HOLIDAY_REC_15606,Unity Day,2025-12-22,High Energy Brown,Gweru,2163,1862,1.12,301,0.861
HOLIDAY_REC_10497,Heroes Day,2025-08-12,High Energy White,Chitungwiza,1125,1079,1.09,46,0.959
HOLIDAY_REC_5417,Easter Monday,2025-04-21,High Energy White,Gweru,1374,1170,1.19,204,0.852
HOLIDAY_REC_1531,New Year's Day,2025-01-01,Whole Wheat,Mutare,1429,1232,1.0,197,0.862
HOLIDAY_REC_6464,Easter Monday,2025-04-21,High Energy White,Masvingo,1965,1886,1.14,79,0.96
HOLIDAY_REC_15549,Unity Day,2025-12-22,Wholegrain Brown,Gweru,1087,1013,1.07,74,0.932
HOLIDAY_REC_10421,Heroes Day,2025-08-12,Family Loaf,Bulawayo,2432,2112,0.95,320,0.868
HOLIDAY_REC_1028,New Year's Day,2025-01-01,Seed Loaf,Chitungwiza,1481,1272,1.18,209,0.859
HOLIDAY_REC_16480,Christmas Day,2025-12-25,Whole Wheat,Gweru,1206,1147,1.1,59,0.951
HOLIDAY_REC_12185,Defense Forces Day,2025-08-13,Wholegrain Brown,Mutare,1794,1542,1.13,252,0.86
HOLIDAY_REC_12431,Defense Forces Day,2025-08-13,Whole Wheat,Bulawayo,1267,1182,1.27,85,0.933
HOLIDAY_REC_11585,Heroes Day,2025-08-12,Seed Loaf,Mutare,1096,1023,1.29,73,0.933
HOLIDAY_REC_17967,Boxing Day,2025-12-26,High Energy Brown,Mutare,857,788,1.16,69,0.919
HOLIDAY_REC_12613,Defense Forces Day,2025-08-13,Family Loaf,Harare,1581,1457,1.12,124,0.922
HOLIDAY_REC_8779,Africa Day,2025-05-25,High Energy White,Chitungwiza,2267,2252,1.26,15,0.993
HOLIDAY_REC_719,New Year's Day,2025-01-01,High Energy White,Chitungwiza,2160,2088,0.99,72,0.967
HOLIDAY_REC_17522,Boxing Day,2025-12-26,Whole Wheat,Masvingo,1973,1958,1.23,15,0.992
HOLIDAY_REC_9153,Africa Day,2025-05-25,High Energy White,Harare,1803,1799,1.29,4,0.998
HOLIDAY_REC_4668,Independence Day,2025-04-18,Wholegrain Brown,Bulawayo,1085,1082,1.07,3,0.997
HOLIDAY_REC_4603,Independence Day,2025-04-18,High Energy White,Bulawayo,1890,1830,0.93,60,0.968
HOLIDAY_REC_5382,Easter Monday,2025-04-21,High Energy White,Chitungwiza,683,581,1.04,102,0.851
HOLIDAY_REC_17799,Boxing Day,2025-12-26,Seed Loaf,Masvingo,727,635,0.98,92,0.873
HOLIDAY_REC_9508,Africa Day,2025-05-25,Whole Wheat,Masvingo,1288,1126,0.92,162,0.874
HOLIDAY_REC_11718,Heroes Day,2025-08-12,Seed Loaf,Gweru,1698,1624,1.17,74,0.956
HOLIDAY_REC_7666,Workers Day,2025-05-01,Soft White,Masvingo,559,499,1.26,60,0.893
HOLIDAY_REC_12995,Defense Forces Day,2025-08-13,Soft White,Bulawayo,2137,1850,1.01,287,0.866
HOLIDAY_REC_6152,Easter Monday,2025-04-21,Wholegrain Brown,Masvingo,1024,965,1.28,59,0.942
HOLIDAY_REC_16901,Christmas Day,2025-12-25,Wholegrain Brown,Gweru,1363,1324,1.06,39,0.971
HOLIDAY_REC_11061,Heroes Day,2025-08-12,Family Loaf,Bulawayo,1870,1664,1.04,206,0.89
HOLIDAY_REC_17035,Christmas Day,2025-12-25,High Energy Brown,Chitungwiza,1125,983,0.93,142,0.874
