waste_id,timestamp,plant_id,stage,sku,qty_waste,waste_reason_code,batch_id,shift,route_id,retailer_id,temperature_at_check,handling_condition,notes,qty waste 
WST_305701,2025-07-06 08:49:13,Willowvale_Plant,post_dispatch,Wholegrain Brown,148,Crushed,,Morning,RT_055,STORE_122,25.4,Normal,,148
WST_302483,2025-03-11 09:06:16,Willowvale_Plant,production,Whole Wheat,175,Returned Unsold,BATCH_20977,Morning,,,22.0,Sun Exposure,Expired on shelf,175
WST_313944,2025-02-13 21:17:18,Shepperton_Plant,post_dispatch,Whole Wheat,64,Damaged Packaging,,Afternoon,RT_009,STORE_042,22.0,Rough Handling,,64
WST_312093,2025-05-07 19:43:33,Willowvale_Plant,production,Wholegrain Brown,159,Returned Unsold,BATCH_24489,Night,,,27.7,Sun Exposure,Expired on shelf,159
WST_311625,2025-01-05 05:41:39,Willowvale_Plant,production,Soft White,155,Stale,BATCH_18143,Afternoon,,,20.0,Condensation,,155
WST_301516,2025-07-13 13:14:11,Willowvale_Plant,production,Seed Loaf,69,Underweight,BATCH_28017,Morning,,,26.7,Rough Handling,,69
WST_311456,2025-02-14 07:12:53,Shepperton_Plant,post_dispatch,High Energy White,6,Returned Unsold,,Afternoon,RT_019,STORE_094,21.0,Normal,,6
WST_311060,2025-03-12 20:28:36,Shepperton_Plant,production,High Energy Brown,133,Burnt/Overbaked,BATCH_15016,Night,,,21.3,Sun Exposure,Expired on shelf,133
WST_306405,2025-05-25 15:44:51,Willowvale_Plant,production,Wholegrain Brown,53,Crushed,BATCH_22870,Morning,,,23.9,Rough Handling,Customer returned,53
WST_304315,2025-03-25 16:20:57,Willowvale_Plant,production,Seed Loaf,177,Quality Failure,BATCH_25360,Morning,,,22.8,Heat Damage,,177
WST_307028,2025-04-18 05:05:14,Willowvale_Plant,production,High Energy Brown,140,Mould Growth,BATCH_15757,Afternoon,,,23.0,Normal,Damaged during loading,140
WST_308197,2025-01-24 15:19:21,Willowvale_Plant,post_dispatch,Seed Loaf,67,Burnt/Overbaked,,Afternoon,RT_029,STORE_130,26.7,Sun Exposure,,67
WST_304606,2025-01-17 07:11:17,Willowvale_Plant,post_dispatch,Seed Loaf,22,Quality Failure,,Night,RT_030,STORE_058,23.2,Condensation,Damaged during loading,22
WST_303058,2025-03-12 00:00:00,Willowvale_Plant,production,High Energy White,62,Underweight,BATCH_29955,Morning,,,19.6,Condensation,Customer returned,62
WST_308720,2025-03-13 05:14:43,Willowvale_Plant,production,Soft White,72,Returned Unsold,BATCH_12200,Morning,,,25.4,Sun Exposure,,72
WST_310590,2025-01-08 09:14:53,Willowvale_Plant,post_dispatch,Whole Wheat,155,Damaged Packaging,,Night,RT_040,STORE_054,27.0,Sun Exposure,Expired on shelf,155
WST_302582,2025-07-30 01:28:06,Willowvale_Plant,production,High Energy Brown,62,Returned Unsold,BATCH_27229,Afternoon,,,20.2,Heat Damage,Damaged during loading,62
WST_312056,2025-04-21 17:10:17,Willowvale_Plant,production,High Energy White,174,Damaged Packaging,BATCH_15255,Morning,,,37.2,Rough Handling,,174
WST_301475,2025-04-14 23:20:12,Willowvale_Plant,production,Family Loaf,23,Quality Failure,BATCH_13172,Night,,,18.8,Heat Damage,,23
WST_311118,2025-02-09 15:32:45,Willowvale_Plant,production,Soft White,151,Underweight,BATCH_10686,Afternoon,,,20.3,Normal,,151
WST_310735,2025-06-30 03:29:31,Shepperton_Plant,post_dispatch,Whole Wheat,156,Returned Unsold,,Afternoon,RT_010,STORE_051,24.1,Normal,Damaged during loading,156
WST_311573,2025-02-26 13:52:42,Shepperton_Plant,production,High Energy Brown,74,Expired,BATCH_15379,Afternoon,,,18.5,Normal,,74
WST_305380,2025-07-08 13:32:49,Willowvale_Plant,post_dispatch,Whole Wheat,45,Returned Unsold,,Morning,RT_029,STORE_049,18.9,Rough Handling,,45
WST_311097,2025-07-01 15:46:24,Willowvale_Plant,post_dispatch,Seed Loaf,123,Expired,,Morning,RT_010,STORE_006,25.5,Rough Handling,,123
WST_310607,2025-04-23 11:22:22,Shepperton_Plant,post_dispatch,Whole Wheat,88,Returned Unsold,,Morning,RT_016,STORE_186,25.8,Heat Damage,,88
WST_309657,2025-03-27 16:07:52,Shepperton_Plant,production,High Energy Brown,50,Mould Growth,BATCH_27139,Afternoon,,,19.8,Rough Handling,Customer returned,50
WST_302183,2025-03-08 05:03:46,Shepperton_Plant,post_dispatch,High Energy White,43,Stale,,Morning,RT_050,STORE_109,20.6,Heat Damage,Customer returned,43
WST_312711,2025-03-06 17:50:13,Shepperton_Plant,production,Wholegrain Brown,56,Stale,BATCH_27942,Morning,,,37.2,Heat Damage,Damaged during loading,56
WST_311838,2025-07-03 19:23:43,Willowvale_Plant,post_dispatch,Whole Wheat,122,Quality Failure,,Night,RT_029,STORE_088,22.4,Heat Damage,,122
WST_306220,2025-07-16 22:54:23,Shepperton_Plant,post_dispatch,Family Loaf,28,Expired,,Night,RT_010,STORE_095,36.5,Condensation,Damaged during loading,28
WST_302342,2025-07-11 18:10:28,Willowvale_Plant,post_dispatch,Seed Loaf,146,Quality Failure,,Afternoon,RT_057,STORE_056,24.0,Rough Handling,Customer returned,146
WST_310920,2025-04-03 17:19:54,Willowvale_Plant,post_dispatch,Whole Wheat,74,Burnt/Overbaked,,Morning,RT_062,STORE_169,20.9,Normal,,74
WST_302310,2025-01-15 18:03:54,Shepperton_Plant,production,High Energy Brown,160,Expired,BATCH_17672,Night,,,20.9,Normal,,160
WST_311388,2025-05-07 15:14:39,Shepperton_Plant,production,High Energy White,130,Burnt/Overbaked,BATCH_13107,Afternoon,,,21.8,Heat Damage,Damaged during loading,130
WST_311526,2025-04-01 02:14:41,Shepperton_Plant,production,High Energy White,168,Contaminated,BATCH_13350,Night,,,24.1,Normal,Expired on shelf,168
WST_308774,2025-01-01 08:18:02,Willowvale_Plant,production,Soft White,159,Mould Growth,BATCH_22799,Morning,,,22.1,Sun Exposure,Expired on shelf,159
WST_310986,2025-02-17 17:12:38,Willowvale_Plant,post_dispatch,Seed Loaf,68,Stale,,Night,RT_050,STORE_059,23.3,Normal,,68
WST_313581,2025-02-20 10:03:52,Shepperton_Plant,post_dispatch,High Energy Brown,50,Quality Failure,,Morning,RT_052,STORE_146,39.0,Sun Exposure,Damaged during loading,50
WST_305022,2025-07-27 17:04:46,Shepperton_Plant,post_dispatch,Whole Wheat,130,Crushed,,Morning,RT_039,STORE_090,20.5,Sun Exposure,,130
WST_309436,2025-07-17 08:04:43,Willowvale_Plant,production,Seed Loaf,108,Contaminated,BATCH_29619,Morning,,,18.1,Heat Damage,Damaged during loading,108
WST_307826,2025-03-01 20:01:59,Shepperton_Plant,post_dispatch,Soft White,71,Expired,,Night,RT_046,STORE_168,34.1,Rough Handling,Expired on shelf,71
WST_313738,2025-02-16 22:56:14,Shepperton_Plant,production,Whole Wheat,107,Stale,BATCH_20707,Morning,,,30.8,Heat Damage,Customer returned,107
WST_306462,2025-01-22 11:02:45,Shepperton_Plant,production,Soft White,43,Expired,BATCH_11699,Morning,,,37.2,Rough Handling,Damaged during loading,43
WST_308543,2025-07-24 15:07:06,Shepperton_Plant,post_dispatch,Soft White,76,Damaged Packaging,,Morning,RT_061,STORE_110,25.1,Rough Handling,,76
WST_300735,2025-05-06 13:31:20,Willowvale_Plant,post_dispatch,Soft White,130,Contaminated,,Night,RT_045,STORE_086,23.1,Heat Damage,,130
WST_303613,2025-03-18 18:15:42,Willowvale_Plant,production,Seed Loaf,13,Underweight,BATCH_19029,Morning,,,18.9,Sun Exposure,,13
WST_313746,2025-07-01 14:08:25,Shepperton_Plant,post_dispatch,High Energy White,58,Returned Unsold,,Morning,RT_061,STORE_187,22.3,Heat Damage,Expired on shelf,58
WST_310963,2025-06-08 05:50:13,Willowvale_Plant,production,Family Loaf,131,Burnt/Overbaked,BATCH_27621,Night,,,32.4,Condensation,,131
WST_307434,2025-06-06 01:11:03,Willowvale_Plant,post_dispatch,Soft White,21,Contaminated,,Night,RT_049,STORE_027,25.4,Condensation,Customer returned,21
WST_310915,2025-01-01 23:12:56,Willowvale_Plant,post_dispatch,Seed Loaf,22,Contaminated,,Morning,RT_019,STORE_062,18.4,Heat Damage,Damaged during loading,22
WST_306595,2025-07-15 12:56:25,Willowvale_Plant,production,Seed Loaf,58,Burnt/Overbaked,BATCH_14666,Afternoon,,,25.1,Heat Damage,Expired on shelf,58
WST_303485,2025-05-23 07:02:01,Willowvale_Plant,post_dispatch,Soft White,59,Underweight,,Night,RT_046,STORE_011,25.1,Rough Handling,Expired on shelf,59
WST_313420,2025-04-15 07:47:58,Shepperton_Plant,production,Wholegrain Brown,20,Burnt/Overbaked,BATCH_22687,Afternoon,,,27.5,Normal,Customer returned,20
WST_301225,2025-07-26 01:29:29,Willowvale_Plant,production,Whole Wheat,80,Crushed,BATCH_26821,Morning,,,23.2,Heat Damage,Damaged during loading,80
WST_308387,2025-07-28 23:58:16,Willowvale_Plant,post_dispatch,Seed Loaf,92,Mould Growth,,Night,RT_006,STORE_087,38.1,Normal,Expired on shelf,92
WST_313531,2025-04-12 23:23:00,Willowvale_Plant,production,Whole Wheat,117,Burnt/Overbaked,BATCH_13023,Night,,,25.3,Heat Damage,,117
WST_307042,2025-01-30 20:11:45,Shepperton_Plant,production,Soft White,129,Returned Unsold,BATCH_22263,Morning,,,22.5,Sun Exposure,,129
WST_303963,2025-06-07 02:50:56,Shepperton_Plant,production,Whole Wheat,39,Burnt/Overbaked,BATCH_25100,Night,,,25.2,Condensation,,39
WST_313085,2025-04-27 07:40:01,Shepperton_Plant,production,High Energy White,90,Burnt/Overbaked,BATCH_14121,Morning,,,19.2,Sun Exposure,Damaged during loading,90
WST_310864,2025-02-10 06:41:09,Shepperton_Plant,post_dispatch,Family Loaf,120,Damaged Packaging,,Night,RT_058,STORE_193,42.0,Rough Handling,Customer returned,120
WST_303429,2025-04-13 03:25:50,Willowvale_Plant,production,Family Loaf,172,Mould Growth,BATCH_13278,Morning,,,20.6,Sun Exposure,,172
WST_308976,2025-04-23 05:23:17,Willowvale_Plant,post_dispatch,Whole Wheat,24,Returned Unsold,,Afternoon,RT_005,STORE_061,24.4,Heat Damage,Customer returned,24
WST_302323,2025-01-30 03:51:47,Willowvale_Plant,post_dispatch,Whole Wheat,98,Returned Unsold,,Morning,RT_017,STORE_123,24.7,Sun Exposure,,98
WST_304303,2025-03-17 09:35:24,Willowvale_Plant,production,Soft White,17,Mould Growth,BATCH_10858,Morning,,,32.6,Sun Exposure,Expired on shelf,17
WST_311699,2025-07-09 13:10:53,Shepperton_Plant,production,Family Loaf,132,Stale,BATCH_21363,Afternoon,,,41.0,Sun Exposure,,132
WST_308005,2025-02-13 18:36:04,Willowvale_Plant,post_dispatch,Whole Wheat,124,Crushed,,Afternoon,RT_067,STORE_197,20.7,Sun Exposure,Expired on shelf,124
WST_304313,2025-01-01 19:18:38,Shepperton_Plant,production,Family Loaf,15,Crushed,BATCH_26460,Afternoon,,,21.8,Heat Damage,Customer returned,15
WST_309384,2025-04-10 03:31:44,Willowvale_Plant,post_dispatch,Wholegrain Brown,128,Crushed,,Afternoon,RT_051,STORE_050,26.3,Heat Damage,,128
WST_305337,2025-06-23 14:30:12,Willowvale_Plant,production,Soft White,94,Burnt/Overbaked,BATCH_28532,Afternoon,,,18.6,Normal,Damaged during loading,94
WST_312995,2025-07-03 11:18:12,Shepperton_Plant,post_dispatch,High Energy Brown,48,Stale,,Night,RT_019,STORE_160,24.7,Condensation,Damaged during loading,48
WST_311822,2025-02-23 05:55:05,Willowvale_Plant,post_dispatch,Soft White,88,Expired,,Morning,RT_067,STORE_126,26.3,Normal,,88
WST_309344,2025-07-20 14:02:56,Willowvale_Plant,post_dispatch,Wholegrain Brown,171,Crushed,,Morning,RT_009,STORE_168,27.5,Normal,,171
WST_300811,2025-05-22 12:04:15,Willowvale_Plant,production,Seed Loaf,16,Returned Unsold,BATCH_19899,Morning,,,25.7,Sun Exposure,Damaged during loading,16
WST_313532,2025-04-29 14:26:06,Shepperton_Plant,production,High Energy White,102,Returned Unsold,BATCH_26107,Morning,,,20.6,Heat Damage,Damaged during loading,102
WST_311123,2025-03-07 05:24:59,Willowvale_Plant,production,Seed Loaf,43,Returned Unsold,BATCH_27743,Night,,,26.7,Rough Handling,,43
WST_307624,2025-07-09 22:56:22,Willowvale_Plant,production,Wholegrain Brown,81,Mould Growth,BATCH_22463,Afternoon,,,23.0,Normal,,81
WST_308250,2025-04-08 06:29:56,Shepperton_Plant,production,Wholegrain Brown,15,Contaminated,BATCH_16351,Afternoon,,,20.7,Normal,,15
WST_301270,2025-05-28 02:15:03,Shepperton_Plant,post_dispatch,Seed Loaf,69,Mould Growth,,Night,RT_055,STORE_001,22.8,Rough Handling,Damaged during loading,69
WST_311258,2025-06-13 01:15:05,Shepperton_Plant,post_dispatch,High Energy Brown,154,Expired,,Night,RT_049,STORE_100,18.2,Rough Handling,,154
WST_302442,2025-01-28 21:16:21,Willowvale_Plant,production,Whole Wheat,58,Stale,BATCH_25458,Morning,,,21.8,Condensation,,58
WST_307110,2025-02-11 10:48:31,Willowvale_Plant,production,Soft White,119,Expired,BATCH_14401,Afternoon,,,19.5,Heat Damage,Customer returned,119
WST_309893,2025-03-16 21:52:25,Willowvale_Plant,production,Seed Loaf,173,Crushed,BATCH_23342,Morning,,,19.1,Heat Damage,,173
WST_307791,2025-04-16 03:53:17,Shepperton_Plant,production,Wholegrain Brown,32,Mould Growth,BATCH_13267,Afternoon,,,19.3,Normal,Expired on shelf,32
WST_304165,2025-07-08 07:42:27,Shepperton_Plant,post_dispatch,Seed Loaf,93,Returned Unsold,,Afternoon,RT_051,STORE_038,38.0,Sun Exposure,,93
WST_312985,2025-04-08 04:18:39,Shepperton_Plant,post_dispatch,Seed Loaf,5,Expired,,Afternoon,RT_034,STORE_086,23.7,Normal,Expired on shelf,5
WST_309373,2025-07-27 08:50:07,Shepperton_Plant,post_dispatch,Family Loaf,63,Underweight,,Afternoon,RT_017,STORE_190,37.5,Normal,Customer returned,63
WST_303576,2025-04-29 15:06:19,Willowvale_Plant,production,Seed Loaf,122,Mould Growth,BATCH_29654,Night,,,20.1,Rough Handling,,122
WST_303910,2025-03-03 15:07:32,Shepperton_Plant,post_dispatch,Whole Wheat,375,Stale,,Morning,RT_021,STORE_184,33.1,Normal,Customer returned,375
WST_310243,2025-07-21 18:37:24,Shepperton_Plant,production,Soft White,13,Burnt/Overbaked,BATCH_18985,Night,,,41.7,Condensation,Expired on shelf,13
WST_303601,2025-05-13 20:06:37,Willowvale_Plant,production,Family Loaf,45,Contaminated,BATCH_10233,Afternoon,,,21.4,Rough Handling,Expired on shelf,45
WST_301373,2025-06-10 12:44:08,Shepperton_Plant,production,High Energy Brown,70,Expired,BATCH_22680,Morning,,,32.7,Rough Handling,Customer returned,70
WST_311909,2025-04-14 22:18:16,Willowvale_Plant,production,Family Loaf,43,Damaged Packaging,BATCH_14764,Morning,,,27.7,Rough Handling,Customer returned,43
WST_309595,2025-04-12 08:38:49,Willowvale_Plant,post_dispatch,Whole Wheat,33,Mould Growth,,Afternoon,RT_013,STORE_140,22.1,Heat Damage,,33
WST_300327,2025-02-12 18:39:21,Shepperton_Plant,production,Whole Wheat,74,Expired,BATCH_16228,Morning,,,31.1,Heat Damage,Customer returned,74
WST_307635,2025-07-14 21:21:20,Shepperton_Plant,post_dispatch,High Energy White,160,Burnt/Overbaked,,Morning,RT_015,STORE_069,42.0,Condensation,,160
WST_301683,2025-04-12 18:36:20,Shepperton_Plant,post_dispatch,Seed Loaf,136,Returned Unsold,,Morning,RT_031,STORE_016,23.6,Sun Exposure,,136
WST_312692,2025-04-20 04:29:12,Willowvale_Plant,production,Soft White,91,Underweight,BATCH_23303,Afternoon,,,25.7,Rough Handling,,91
WST_306550,2025-02-07 01:23:44,Willowvale_Plant,post_dispatch,High Energy White,131,Damaged Packaging,,Night,RT_056,STORE_132,18.3,Sun Exposure,,131
WST_305444,2025-05-11 09:32:34,Shepperton_Plant,post_dispatch,Soft White,69,Underweight,,Night,RT_024,STORE_091,19.8,Heat Damage,Damaged during loading,69
WST_300168,2025-05-16 15:01:10,Willowvale_Plant,production,Seed Loaf,27,Mould Growth,BATCH_11775,Night,,,23.8,Normal,Damaged during loading,27
WST_309961,2025-03-10 01:44:28,Willowvale_Plant,production,High Energy Brown,163,Crushed,BATCH_27551,Morning,,,26.9,Normal,Customer returned,163
WST_301720,2025-07-03 10:19:35,Shepperton_Plant,production,Whole Wheat,169,Mould Growth,BATCH_13808,Afternoon,,,22.0,Heat Damage,Damaged during loading,169
WST_306929,2025-02-13 13:21:42,Shepperton_Plant,production,Seed Loaf,14,Contaminated,BATCH_11439,Afternoon,,,27.0,Sun Exposure,,14
WST_303942,2025-06-25 14:13:05,Willowvale_Plant,production,Seed Loaf,73,Quality Failure,BATCH_26173,Night,,,35.5,Rough Handling,Expired on shelf,73
WST_312395,2025-03-23 13:52:49,Willowvale_Plant,production,High Energy White,171,Mould Growth,BATCH_20818,Afternoon,,,20.9,Sun Exposure,,171
WST_303222,2025-03-01 07:02:44,Willowvale_Plant,post_dispatch,High Energy Brown,42,Expired,,Afternoon,RT_053,STORE_155,20.8,Normal,Customer returned,42
WST_309673,2025-01-11 10:24:55,Willowvale_Plant,production,Wholegrain Brown,108,Underweight,BATCH_18461,Night,,,23.1,Sun Exposure,Customer returned,108
WST_306438,2025-03-25 21:38:47,Shepperton_Plant,post_dispatch,Seed Loaf,108,Mould Growth,,Afternoon,RT_064,STORE_044,21.3,Rough Handling,Damaged during loading,108
WST_303851,2025-01-09 02:27:13,Willowvale_Plant,production,Whole Wheat,170,Returned Unsold,BATCH_12623,Night,,,21.4,Condensation,,170
WST_308739,2025-04-18 10:16:03,Shepperton_Plant,post_dispatch,High Energy White,90,Mould Growth,,Night,RT_056,STORE_038,21.3,Heat Damage,Damaged during loading,90
WST_309638,2025-06-27 02:36:11,Shepperton_Plant,post_dispatch,Seed Loaf,83,Crushed,,Night,RT_040,STORE_175,25.9,Heat Damage,,83
WST_307981,2025-01-06 14:23:11,Shepperton_Plant,post_dispatch,Seed Loaf,73,Stale,,Afternoon,RT_046,STORE_193,19.3,Normal,,73
WST_312698,2025-01-27 16:56:36,Willowvale_Plant,production,Seed Loaf,154,Underweight,BATCH_20946,Afternoon,,,18.1,Sun Exposure,Customer returned,154
WST_310137,2025-02-08 04:33:16,Willowvale_Plant,post_dispatch,Seed Loaf,142,Contaminated,,Morning,RT_067,STORE_064,21.9,Normal,,142
WST_302818,2025-07-20 02:55:29,Shepperton_Plant,production,Seed Loaf,31,Quality Failure,BATCH_20862,Afternoon,,,44.6,Heat Damage,,31
WST_308953,2025-02-06 02:36:50,Shepperton_Plant,post_dispatch,Wholegrain Brown,61,Underweight,,Morning,RT_027,STORE_127,18.9,Rough Handling,Customer returned,61
WST_304489,2025-01-29 14:05:30,Willowvale_Plant,production,Seed Loaf,172,Expired,BATCH_21185,Morning,,,42.9,Rough Handling,,172
WST_306070,2025-01-28 01:06:38,Shepperton_Plant,production,Wholegrain Brown,90,Burnt/Overbaked,BATCH_23630,Morning,,,19.5,Normal,,90
WST_311768,2025-07-14 12:18:05,Willowvale_Plant,production,High Energy Brown,136,Quality Failure,BATCH_21715,Afternoon,,,24.5,Heat Damage,Expired on shelf,136
WST_306427,2025-05-02 21:55:59,Shepperton_Plant,production,Wholegrain Brown,137,Expired,BATCH_17246,Night,,,19.8,Sun Exposure,Customer returned,137
WST_308206,2025-02-22 15:54:16,Shepperton_Plant,production,Whole Wheat,36,Crushed,BATCH_10860,Afternoon,,,20.3,Condensation,Customer returned,36
WST_301769,2025-02-24 19:38:39,Shepperton_Plant,production,High Energy Brown,49,Underweight,BATCH_21342,Afternoon,,,18.6,Rough Handling,Expired on shelf,49
WST_313777,2025-04-25 07:24:12,Shepperton_Plant,production,Wholegrain Brown,87,Mould Growth,BATCH_26595,Afternoon,,,23.6,Condensation,,87
WST_304520,2025-05-17 04:16:28,Willowvale_Plant,production,High Energy White,117,Returned Unsold,BATCH_29847,Morning,,,19.0,Normal,,117
WST_312806,2025-07-07 23:14:44,Willowvale_Plant,post_dispatch,High Energy Brown,89,Contaminated,,Afternoon,RT_029,STORE_142,23.0,Sun Exposure,,89
WST_304448,2025-01-02 13:57:25,Willowvale_Plant,production,High Energy Brown,24,Damaged Packaging,BATCH_11906,Afternoon,,,19.7,Condensation,Expired on shelf,24
WST_301418,2025-04-24 17:12:24,Willowvale_Plant,production,Soft White,44,Contaminated,BATCH_14228,Afternoon,,,18.6,Heat Damage,Expired on shelf,44
WST_307632,2025-07-02 01:44:31,Willowvale_Plant,production,High Energy White,121,Contaminated,BATCH_26707,Night,,,26.0,Normal,,121
WST_310044,2025-06-16 09:39:40,Willowvale_Plant,post_dispatch,Soft White,110,Stale,,Night,RT_015,STORE_185,25.2,Normal,,110
WST_304983,2025-05-18 11:18:10,Shepperton_Plant,production,Seed Loaf,36,Expired,BATCH_14500,Afternoon,,,18.1,Normal,,36
WST_307590,2025-06-28 09:54:06,Shepperton_Plant,post_dispatch,Seed Loaf,104,Burnt/Overbaked,,Afternoon,RT_031,STORE_014,19.9,Sun Exposure,Expired on shelf,104
WST_311192,2025-06-10 21:17:50,Willowvale_Plant,production,Whole Wheat,82,Returned Unsold,BATCH_20338,Morning,,,25.2,Sun Exposure,Damaged during loading,82
WST_301744,2025-04-25 10:10:26,Shepperton_Plant,production,Wholegrain Brown,146,Crushed,BATCH_25468,Morning,,,25.5,Heat Damage,Customer returned,146
WST_308857,2025-07-12 07:36:38,Shepperton_Plant,production,Wholegrain Brown,32,Quality Failure,BATCH_12560,Night,,,21.6,Sun Exposure,Customer returned,32
WST_309149,2025-04-15 09:58:27,Willowvale_Plant,post_dispatch,Wholegrain Brown,176,Mould Growth,,Afternoon,RT_054,STORE_068,19.3,Rough Handling,Damaged during loading,176
WST_304965,2025-06-14 04:49:22,Shepperton_Plant,post_dispatch,Soft White,150,Returned Unsold,,Afternoon,RT_006,STORE_063,18.5,Rough Handling,,150
WST_312453,2025-04-11 15:37:21,Willowvale_Plant,production,Soft White,133,Crushed,BATCH_16274,Afternoon,,,37.8,Condensation,Customer returned,133
WST_305532,2025-01-27 16:23:53,Shepperton_Plant,production,Whole Wheat,34,Burnt/Overbaked,BATCH_13903,Morning,,,24.9,Sun Exposure,Customer returned,34
WST_312938,2025-04-05 19:48:54,Shepperton_Plant,production,High Energy Brown,121,Stale,BATCH_24241,Night,,,26.4,Heat Damage,,121
WST_301768,2025-06-19 12:54:25,Willowvale_Plant,post_dispatch,Soft White,110,Burnt/Overbaked,,Morning,RT_032,STORE_118,20.7,Sun Exposure,Customer returned,110
WST_312733,2025-01-12 13:38:49,Willowvale_Plant,post_dispatch,High Energy White,40,Burnt/Overbaked,,Night,RT_025,STORE_192,25.6,Normal,Customer returned,40
WST_307021,2025-07-10 14:39:50,Willowvale_Plant,production,Whole Wheat,8,Expired,BATCH_15107,Night,,,26.1,Sun Exposure,,8
WST_308704,2025-03-22 20:24:41,Willowvale_Plant,production,Wholegrain Brown,126,Underweight,BATCH_11994,Morning,,,19.9,Condensation,,126
WST_310399,2025-02-26 23:00:07,Willowvale_Plant,post_dispatch,Soft White,131,Burnt/Overbaked,,Night,RT_027,STORE_031,20.0,Rough Handling,Customer returned,131
WST_300399,2025-06-26 22:28:58,Willowvale_Plant,production,High Energy Brown,61,Stale,BATCH_27404,Morning,,,35.0,Sun Exposure,,61
WST_300353,2025-04-30 03:04:18,Shepperton_Plant,post_dispatch,Seed Loaf,6,Burnt/Overbaked,,Night,RT_052,STORE_141,21.8,Heat Damage,,6
