return_id,timestamp,route_id,retailer_id,sku,qty_returned,reason_code,notes,temperature_at_return,handling_condition,qty returned 
RET_206104,2025-05-07 15:48:56,RT_033,STORE_166,High Energy Brown,104,Damaged Packaging,,20.9,Temperature Abuse,104
RET_207764,2025-02-20 17:53:52,RT_019,STORE_147,Seed Loaf,85,Mould Growth,Damaged on shelf,21.4,Poor Handling,85
RET_201358,2025-04-25 07:00:13,RT_020,STORE_044,Wholegrain Brown,83,Stale,Packaging issue,22.7,Temperature Abuse,83
RET_200927,2025-01-22 23:25:39,RT_056,STORE_017,High Energy Brown,106,Expired,Customer complaints,27.7,Condensation,106
RET_206673,2025-07-19 17:51:30,RT_040,STORE_088,High Energy White,101,Returned Unsold,Packaging issue,21.3,Condensation,101
RET_202688,2025-07-23 06:44:37,RT_036,STORE_047,Whole Wheat,1,Mould Growth,Damaged on shelf,24.8,Normal,1
RET_204023,2025-01-19 04:42:18,RT_001,STORE_068,Family Loaf,62,Stale,,20.5,Poor Handling,62
RET_210400,2025-05-19 19:59:24,RT_012,STORE_062,Seed Loaf,64,Crushed/Squashed,Damaged on shelf,27.3,Poor Handling,64
RET_205174,2025-07-02 18:57:04,RT_039,STORE_148,Seed Loaf,59,Wrong Delivery,Damaged on shelf,27.0,Poor Handling,59
RET_206590,2025-05-24 08:36:29,RT_040,STORE_043,Soft White,63,Stale,Damaged on shelf,22.1,Temperature Abuse,63
RET_212557,2025-04-21 08:58:56,RT_054,STORE_192,High Energy Brown,114,Damaged Packaging,Damaged on shelf,26.8,Normal,114
RET_208339,2025-03-09 22:55:48,RT_042,STORE_068,High Energy Brown,50,Damaged Packaging,Late delivery,40.5,Normal,50
RET_207506,2025-01-05 11:19:14,RT_029,STORE_066,High Energy Brown,31,Expired,,23.4,Condensation,31
RET_202805,2025-04-09 22:25:00,RT_044,STORE_078,Seed Loaf,71,Mould Growth,Customer complaints,21.4,Normal,71
RET_212526,2025-06-24 04:25:02,RT_029,STORE_135,Whole Wheat,75,Crushed/Squashed,Packaging issue,21.7,Exposure to Sun,75
RET_206072,2025-07-23 20:19:41,RT_048,STORE_121,High Energy White,88,Mould Growth,Late delivery,25.1,Temperature Abuse,88
RET_204605,2025-07-15 08:38:30,RT_038,STORE_129,High Energy Brown,84,Crushed/Squashed,,20.3,Exposure to Sun,84
RET_212623,2025-04-23 18:34:49,RT_024,STORE_170,High Energy White,87,Expired,Late delivery,24.6,Exposure to Sun,87
RET_203545,2025-07-22 14:07:44,RT_041,STORE_112,Seed Loaf,96,Stale,Late delivery,23.9,Exposure to Sun,96
RET_211525,2025-05-28 17:43:08,RT_005,STORE_021,Soft White,70,Crushed/Squashed,,24.6,Normal,70
RET_202943,2025-04-23 19:28:39,RT_007,STORE_161,High Energy Brown,2,Returned Unsold,Customer complaints,22.5,Exposure to Sun,2
RET_204604,2025-05-30 07:51:05,RT_029,STORE_156,High Energy White,61,Returned Unsold,,25.5,Poor Handling,61
RET_202631,2025-05-20 01:47:35,RT_058,STORE_016,Family Loaf,62,Wrong Delivery,Late delivery,23.6,Exposure to Sun,62
RET_203745,2025-03-25 00:44:37,RT_053,STORE_005,Family Loaf,23,Damaged Packaging,Customer complaints,21.0,Normal,23
RET_210355,2025-07-22 23:29:27,RT_042,STORE_125,Seed Loaf,28,Stale,Late delivery,22.2,Exposure to Sun,28
RET_203522,2025-06-28 22:27:20,RT_039,STORE_061,Whole Wheat,83,Crushed/Squashed,Late delivery,23.8,Normal,83
RET_207103,2025-07-21 12:16:45,RT_059,STORE_083,Seed Loaf,54,Damaged Packaging,,25.7,Poor Handling,54
RET_210586,2025-01-06 12:24:17,RT_061,STORE_176,High Energy White,32,Wrong Delivery,Customer complaints,18.5,Normal,32
RET_202937,2025-02-06 00:04:51,RT_062,STORE_182,Soft White,35,Stale,Packaging issue,24.5,Temperature Abuse,35
RET_209744,2025-02-25 05:31:13,RT_051,STORE_006,Seed Loaf,8,Damaged Packaging,Damaged on shelf,27.9,Poor Handling,8
RET_206693,2025-07-13 02:32:55,RT_044,STORE_023,High Energy White,86,Crushed/Squashed,Packaging issue,24.1,Condensation,86
RET_200008,2025-06-11 11:56:07,RT_068,STORE_069,Seed Loaf,31,Expired,Customer complaints,24.5,Temperature Abuse,31
RET_200311,2025-02-10 13:05:57,RT_008,STORE_012,Soft White,100,Crushed/Squashed,,23.4,Normal,100
RET_211889,2025-05-30 05:46:45,RT_025,STORE_073,Wholegrain Brown,96,Expired,,24.2,Normal,96
RET_200895,2025-04-08 23:18:05,RT_006,STORE_104,Wholegrain Brown,114,Expired,,21.0,Temperature Abuse,114
RET_209761,2025-05-11 07:20:47,RT_069,STORE_061,Soft White,109,Returned Unsold,Customer complaints,35.4,Temperature Abuse,109
RET_207800,2025-01-29 06:55:49,RT_006,STORE_121,Family Loaf,42,Crushed/Squashed,,23.0,Normal,42
RET_211445,2025-03-27 03:40:47,RT_009,STORE_014,Seed Loaf,91,Stale,Damaged on shelf,21.4,Exposure to Sun,91
RET_203621,2025-03-28 20:14:36,RT_030,STORE_087,Soft White,29,Stale,Damaged on shelf,27.7,Exposure to Sun,29
RET_209520,2025-02-11 05:21:09,RT_028,STORE_184,Soft White,116,Wrong Delivery,Customer complaints,24.2,Poor Handling,116
RET_202456,2025-04-22 07:46:35,RT_054,STORE_034,Soft White,26,Mould Growth,,26.1,Poor Handling,26
RET_201282,2025-04-20 10:53:27,RT_008,STORE_025,High Energy Brown,56,Damaged Packaging,,21.6,Temperature Abuse,56
RET_212610,2025-03-08 18:42:44,RT_059,STORE_182,High Energy Brown,112,Mould Growth,,23.8,Temperature Abuse,112
RET_208046,2025-03-31 12:54:45,RT_060,STORE_188,Whole Wheat,8,Wrong Delivery,Packaging issue,22.0,Temperature Abuse,8
RET_203574,2025-01-16 11:36:08,RT_058,STORE_081,Wholegrain Brown,98,Damaged Packaging,Packaging issue,27.3,Condensation,98
RET_203411,2025-05-03 18:53:10,RT_039,STORE_084,Whole Wheat,42,Returned Unsold,Late delivery,22.6,Condensation,42
RET_203495,2025-02-15 00:52:31,RT_056,STORE_097,Wholegrain Brown,74,Crushed/Squashed,Customer complaints,24.9,Temperature Abuse,74
RET_206435,2025-05-08 17:23:13,RT_056,STORE_126,Wholegrain Brown,86,Mould Growth,,35.7,Condensation,86
RET_202390,2025-06-02 14:03:49,RT_048,STORE_054,High Energy White,42,Stale,Late delivery,23.0,Condensation,42
RET_211240,2025-05-25 20:37:57,RT_061,STORE_023,High Energy Brown,92,Damaged Packaging,,27.0,Temperature Abuse,92
RET_208990,2025-03-20 07:38:19,RT_024,STORE_184,Family Loaf,34,Crushed/Squashed,,22.6,Normal,34
RET_210775,2025-03-04 02:40:34,RT_026,STORE_098,Soft White,48,Mould Growth,Customer complaints,21.8,Condensation,48
RET_205381,2025-03-19 05:55:06,RT_029,STORE_148,Seed Loaf,73,Wrong Delivery,Damaged on shelf,22.3,Normal,73
RET_207740,2025-04-07 04:15:40,RT_067,STORE_171,Wholegrain Brown,15,Expired,Damaged on shelf,25.7,Normal,15
RET_205992,2025-05-13 06:16:31,RT_009,STORE_063,Whole Wheat,112,Crushed/Squashed,,25.3,Temperature Abuse,112
RET_209425,2025-02-25 06:26:59,RT_001,STORE_082,Family Loaf,119,Stale,Damaged on shelf,38.1,Temperature Abuse,119
RET_201617,2025-02-02 19:05:52,RT_006,STORE_035,High Energy Brown,51,Mould Growth,,18.7,Temperature Abuse,51
RET_208243,2025-07-06 06:35:40,RT_052,STORE_143,Soft White,55,Returned Unsold,Packaging issue,24.9,Normal,55
RET_211413,2025-05-21 18:54:38,RT_040,STORE_120,Family Loaf,20,Mould Growth,Packaging issue,21.0,Condensation,20
RET_209904,2025-07-27 08:32:51,RT_048,STORE_107,Wholegrain Brown,100,Wrong Delivery,,26.8,Exposure to Sun,100
RET_203131,2025-03-30 02:17:12,RT_031,STORE_113,Whole Wheat,92,Expired,,21.4,Exposure to Sun,92
RET_209071,2025-03-22 15:56:09,RT_023,STORE_063,Family Loaf,74,Mould Growth,Damaged on shelf,27.8,Poor Handling,74
RET_207856,2025-06-04 17:32:30,RT_067,STORE_028,High Energy White,68,Mould Growth,Late delivery,18.4,Normal,68
RET_212829,2025-06-27 12:19:53,RT_048,STORE_079,Family Loaf,12,Expired,Packaging issue,24.5,Temperature Abuse,12
RET_207386,2025-02-04 03:25:08,RT_043,STORE_160,Seed Loaf,96,Stale,Packaging issue,24.7,Condensation,96
RET_204913,2025-06-27 21:57:48,RT_028,STORE_077,Seed Loaf,2,Crushed/Squashed,Customer complaints,22.4,Condensation,2
RET_201383,2025-01-29 06:24:26,RT_015,STORE_110,Seed Loaf,111,Damaged Packaging,,27.5,Condensation,111
RET_204442,2025-06-15 14:26:41,RT_026,STORE_190,Soft White,27,Crushed/Squashed,,21.3,Condensation,27
RET_203889,2025-01-21 20:41:06,RT_059,STORE_048,Wholegrain Brown,56,Mould Growth,Customer complaints,24.3,Temperature Abuse,56
RET_210022,2025-02-02 19:01:44,RT_059,STORE_195,Seed Loaf,8,Crushed/Squashed,Packaging issue,30.9,Poor Handling,8
RET_203100,2025-07-09 22:43:33,RT_014,STORE_128,Soft White,35,Returned Unsold,Customer complaints,22.8,Normal,35
RET_201197,2025-04-22 19:04:32,RT_011,STORE_139,High Energy Brown,34,Returned Unsold,,22.8,Temperature Abuse,34
RET_209778,2025-04-28 13:01:00,RT_050,STORE_119,Soft White,83,Stale,Packaging issue,25.3,Condensation,83
RET_200921,2025-02-11 09:57:06,RT_007,STORE_037,Wholegrain Brown,48,Crushed/Squashed,Packaging issue,18.3,Exposure to Sun,48
RET_203375,2025-01-11 04:17:39,RT_025,STORE_192,Family Loaf,13,Expired,,21.8,Exposure to Sun,13
RET_201346,2025-01-30 08:08:57,RT_013,STORE_198,High Energy Brown,1,Damaged Packaging,Late delivery,23.5,Poor Handling,1
RET_210080,2025-06-08 13:15:26,RT_004,STORE_046,High Energy White,71,Wrong Delivery,Damaged on shelf,20.5,Temperature Abuse,71
RET_203563,2025-06-20 07:55:32,RT_047,STORE_128,Family Loaf,63,Stale,Damaged on shelf,23.6,Condensation,63
RET_202124,2025-01-16 04:39:03,RT_021,STORE_174,High Energy Brown,93,Crushed/Squashed,Damaged on shelf,26.4,Poor Handling,93
RET_201953,2025-07-12 04:29:13,RT_034,STORE_110,Family Loaf,46,Stale,Late delivery,22.2,Poor Handling,46
RET_212390,2025-06-12 15:46:37,RT_049,STORE_013,Seed Loaf,20,Returned Unsold,,27.0,Poor Handling,20
RET_208813,2025-03-06 23:27:38,RT_041,STORE_160,Whole Wheat,108,Damaged Packaging,Late delivery,22.0,Exposure to Sun,108
RET_207666,2025-03-20 17:02:21,RT_043,STORE_021,High Energy Brown,28,Damaged Packaging,Customer complaints,22.4,Condensation,28
RET_212471,2025-03-14 08:16:40,RT_006,STORE_154,Whole Wheat,21,Wrong Delivery,,27.9,Condensation,21
RET_205702,2025-06-29 05:38:39,RT_010,STORE_107,Seed Loaf,75,Mould Growth,Damaged on shelf,22.2,Exposure to Sun,75
RET_208974,2025-03-22 12:30:38,RT_044,STORE_140,Seed Loaf,26,Crushed/Squashed,Customer complaints,40.4,Exposure to Sun,26
RET_208318,2025-07-16 14:09:26,RT_065,STORE_005,High Energy Brown,118,Wrong Delivery,Customer complaints,18.6,Exposure to Sun,118
RET_205653,2025-02-03 15:20:05,RT_018,STORE_008,Whole Wheat,96,Mould Growth,,24.7,Temperature Abuse,96
RET_212149,2025-07-01 11:37:26,RT_034,STORE_082,High Energy Brown,111,Stale,Customer complaints,18.6,Exposure to Sun,111
RET_210686,2025-01-18 10:30:10,RT_068,STORE_040,High Energy White,3,Damaged Packaging,Packaging issue,25.2,Normal,3
RET_209653,2025-07-12 17:16:14,RT_034,STORE_094,High Energy Brown,118,Wrong Delivery,Packaging issue,25.3,Exposure to Sun,118
RET_212627,2025-02-02 18:40:03,RT_037,STORE_014,High Energy Brown,103,Crushed/Squashed,,21.0,Condensation,103
RET_208944,2025-01-21 03:29:44,RT_017,STORE_148,High Energy Brown,52,Damaged Packaging,Packaging issue,24.0,Exposure to Sun,52
RET_207200,2025-07-15 04:03:31,RT_010,STORE_013,High Energy White,66,Wrong Delivery,,27.5,Temperature Abuse,66
RET_203706,2025-02-28 01:23:59,RT_041,STORE_178,High Energy White,68,Stale,Late delivery,22.0,Exposure to Sun,68
RET_204028,2025-07-16 19:11:12,RT_034,STORE_192,High Energy White,78,Wrong Delivery,Customer complaints,25.0,Condensation,78
RET_205493,2025-05-23 19:46:30,RT_023,STORE_088,Seed Loaf,52,Returned Unsold,Late delivery,26.3,Temperature Abuse,52
RET_206601,2025-02-11 21:17:27,RT_037,STORE_038,Soft White,24,Returned Unsold,,28.0,Temperature Abuse,24
RET_202973,2025-03-31 04:11:34,RT_061,STORE_083,High Energy Brown,45,Wrong Delivery,Late delivery,19.7,Temperature Abuse,45
RET_200450,2025-07-26 05:04:34,RT_038,STORE_073,Whole Wheat,22,Expired,Packaging issue,24.8,Normal,22
RET_203944,2025-03-18 01:42:11,RT_014,STORE_169,Family Loaf,68,Crushed/Squashed,,18.6,Exposure to Sun,68
RET_212069,2025-06-09 20:42:21,RT_050,STORE_038,Family Loaf,100,Stale,,20.8,Temperature Abuse,100
RET_205852,2025-02-21 15:25:18,RT_018,STORE_020,High Energy Brown,43,Stale,Customer complaints,23.2,Normal,43
RET_209935,2025-05-01 11:55:15,RT_008,STORE_143,Seed Loaf,77,Crushed/Squashed,,19.1,Poor Handling,77
RET_200290,2025-03-17 09:00:40,RT_003,STORE_080,Whole Wheat,50,Mould Growth,Packaging issue,41.3,Condensation,50
RET_201713,2025-05-23 05:55:37,RT_064,STORE_097,Wholegrain Brown,38,Expired,Packaging issue,21.6,Condensation,38
RET_204401,2025-01-11 03:25:36,RT_068,STORE_021,Seed Loaf,70,Wrong Delivery,,18.2,Condensation,70
RET_204898,2025-04-04 05:21:55,RT_054,STORE_077,Wholegrain Brown,35,Damaged Packaging,Packaging issue,27.8,Exposure to Sun,35
RET_203702,2025-01-29 16:53:37,RT_057,STORE_170,Family Loaf,109,Returned Unsold,Packaging issue,22.7,Condensation,109
RET_203328,2025-04-26 02:15:45,RT_018,STORE_187,Soft White,98,Returned Unsold,Damaged on shelf,22.1,Exposure to Sun,98
RET_211097,2025-07-01 15:46:24,,STORE_109,Wholegrain Brown,84,Mould Growth,Late delivery,23.3,Temperature Abuse,84
RET_200741,2025-04-17 09:25:00,RT_004,STORE_005,Wholegrain Brown,35,Damaged Packaging,,19.8,Condensation,35
RET_204671,2025-02-08 19:48:33,RT_067,STORE_144,Wholegrain Brown,90,Wrong Delivery,,19.9,Exposure to Sun,90
RET_203351,2025-01-04 08:18:54,RT_056,STORE_006,Family Loaf,36,Mould Growth,,22.8,Temperature Abuse,36
RET_201006,2025-01-23 17:02:45,RT_032,STORE_052,Soft White,56,Damaged Packaging,Damaged on shelf,20.6,Exposure to Sun,56
RET_204826,2025-03-22 06:06:06,RT_065,STORE_129,High Energy White,36,Expired,Damaged on shelf,22.4,Normal,36
RET_201393,2025-01-31 17:46:11,RT_021,STORE_058,High Energy White,3,Crushed/Squashed,Customer complaints,19.5,Normal,3
RET_200035,2025-07-14 23:16:04,RT_009,STORE_168,Family Loaf,52,Crushed/Squashed,Customer complaints,19.9,Poor Handling,52
RET_207933,2025-01-23 23:26:36,RT_008,STORE_117,Wholegrain Brown,7,Mould Growth,,20.4,Condensation,7
RET_203207,2025-05-08 18:22:12,RT_041,STORE_084,Wholegrain Brown,48,Stale,Late delivery,38.6,Exposure to Sun,48
RET_201175,2025-05-25 06:42:39,RT_063,STORE_167,Family Loaf,81,Wrong Delivery,Customer complaints,24.8,Temperature Abuse,81
RET_204863,2025-01-19 15:48:39,RT_051,STORE_009,Whole Wheat,19,Stale,Customer complaints,25.7,Condensation,19
RET_205936,2025-01-15 16:07:13,RT_056,STORE_065,Soft White,23,Stale,Damaged on shelf,19.2,Temperature Abuse,23
RET_203288,2025-01-24 06:13:26,RT_061,STORE_148,Family Loaf,60,Returned Unsold,Damaged on shelf,27.8,Condensation,60
RET_202576,2025-02-28 13:27:47,RT_047,STORE_160,High Energy White,34,Returned Unsold,Packaging issue,25.4,Temperature Abuse,34
RET_209305,2025-05-11 06:41:40,RT_029,STORE_036,Seed Loaf,78,Crushed/Squashed,Damaged on shelf,22.3,Exposure to Sun,78
RET_210432,2025-06-05 02:35:15,RT_044,STORE_085,Soft White,61,Returned Unsold,Packaging issue,23.9,Exposure to Sun,61
RET_210517,2025-05-25 00:37:23,RT_013,STORE_103,Wholegrain Brown,94,Crushed/Squashed,,22.3,Temperature Abuse,94
RET_210614,2025-06-15 11:35:05,RT_019,STORE_190,Soft White,72,Crushed/Squashed,Customer complaints,27.7,Temperature Abuse,72
RET_200533,2025-04-18 00:32:46,RT_044,STORE_014,Family Loaf,138,Crushed/Squashed,,22.0,Condensation,138
RET_200047,2025-01-04 03:30:36,RT_001,STORE_186,High Energy White,9,Expired,Packaging issue,19.9,Temperature Abuse,9
RET_205151,2025-06-07 23:40:45,RT_021,STORE_087,Whole Wheat,80,Crushed/Squashed,,26.0,Temperature Abuse,80
RET_202900,2025-06-05 01:59:00,RT_056,STORE_028,Wholegrain Brown,31,Stale,,21.8,Normal,31
RET_207900,2025-04-22 20:17:44,RT_008,STORE_099,Soft White,83,Mould Growth,Packaging issue,23.0,Temperature Abuse,83
RET_209480,2025-05-08 01:27:21,RT_029,STORE_033,Wholegrain Brown,92,Expired,Damaged on shelf,21.4,Exposure to Sun,92
RET_205687,2025-02-02 15:38:25,RT_035,STORE_035,High Energy White,5,Mould Growth,,26.3,Exposure to Sun,5
RET_200385,2025-01-01 13:38:35,RT_022,STORE_055,High Energy Brown,1,Mould Growth,Customer complaints,20.1,Normal,1
RET_206224,2025-06-01 22:28:24,RT_019,STORE_088,Whole Wheat,36,Returned Unsold,Packaging issue,21.3,Temperature Abuse,36
RET_211601,2025-04-13 11:16:12,RT_042,STORE_126,Whole Wheat,2,Damaged Packaging,Damaged on shelf,21.7,Poor Handling,2
RET_210245,2025-03-07 00:45:35,RT_028,STORE_101,Family Loaf,47,Damaged Packaging,Late delivery,40.2,Normal,47
RET_207271,2025-02-12 02:01:59,RT_051,STORE_030,Seed Loaf,112,Expired,Packaging issue,31.7,Poor Handling,112
RET_205758,Feb 30 2025,RT_058,STORE_167,DishSoap,119,Returned Unsold,Packaging issue,21.3,Normal,119
RET_207811,2025-06-18 19:19:26,RT_018,STORE_110,Soft White,61,Returned Unsold,Late delivery,24.8,Condensation,61
RET_209021,2025-07-14 07:55:54,RT_035,STORE_020,High Energy Brown,88,Expired,Late delivery,19.7,Condensation,88
RET_212539,2025-04-25 23:08:37,RT_045,STORE_120,Wholegrain Brown,117,Mould Growth,,24.6,Condensation,117
RET_200063,2025-05-08 08:12:28,RT_038,STORE_167,Soft White,110,Mould Growth,,27.2,Condensation,110
RET_210551,2025-04-19 18:10:16,RT_011,STORE_021,Wholegrain Brown,98,Damaged Packaging,,24.7,Poor Handling,98
RET_211587,2025-03-15 20:45:06,RT_024,STORE_022,High Energy White,64,Returned Unsold,Late delivery,18.1,Poor Handling,64
RET_210673,2025-02-02 16:37:45,RT_054,STORE_090,High Energy Brown,114,Damaged Packaging,,22.6,Normal,114
RET_203027,2025-03-13 16:37:04,RT_023,STORE_140,Soft White,146,Returned Unsold,Customer complaints,24.6,Normal,146
RET_211519,2025-05-18 03:13:52,RT_054,STORE_192,Wholegrain Brown,83,Wrong Delivery,Late delivery,26.1,Condensation,83
RET_209602,2025-02-22 12:47:27,RT_030,STORE_170,Soft White,48,Stale,Late delivery,40.9,Normal,48
RET_207762,2025-05-18 22:15:37,RT_004,STORE_089,Soft White,29,Returned Unsold,Late delivery,26.2,Poor Handling,29
