dispatch_id,timestamp,plant_id,route_id,vehicle_id,sku,qty_dispatched,expected_arrival,actual_arrival,retailer_id,qty dispatched 
DSP_113637,2025-01-02 22:34:19,Shepperton_Plant,RT_012,TRUCK_055,High Energy Brown,290,2025-01-03 00:26:19,2025-01-03 00:39:19,STORE_066,290
DSP_104464,2025-06-26 02:06:07,Shepperton_Plant,RT_004,TRUCK_081,Wholegrain Brown,385,2025-06-26 03:57:07,2025-06-26 04:00:07,STORE_026,385
DSP_113039,2025-05-02 05:51:14,Shepperton_Plant,RT_009,TRUCK_042,Wholegrain Brown,61,2025-05-02 09:41:14,2025-05-02 10:06:14,STORE_107,61
DSP_109680,2025-03-29 08:08:48,Shepperton_Plant,RT_068,TRUCK_049,Family Loaf,402,2025-03-29 10:46:48,2025-03-29 10:44:48,STORE_144,402
DSP_106321,2025-01-01 22:32:51,Willowvale_Plant,RT_057,TRUCK_052,Wholegrain Brown,79,2025-01-01 23:31:51,2025-01-02 00:12:51,STORE_143,79
DSP_111135,2025-02-24 20:59:12,Shepperton_Plant,RT_025,TRUCK_071,Soft White,386,2025-02-24 21:59:12,2025-02-24 21:54:12,STORE_028,386
DSP_105557,2025-01-13 04:50:12,Willowvale_Plant,RT_006,TRUCK_038,High Energy White,502,2025-01-13 08:40:12,2025-01-13 09:02:12,STORE_044,502
DSP_103465,2025-04-17 23:16:53,Willowvale_Plant,RT_053,TRUCK_033,SoftWhite,345,2025-04-18 00:21:53,2025-04-18 00:41:53,STORE_014,345
DSP_111634,2025-06-19 16:31:05,Willowvale_Plant,RT_054,TRUCK_038,Seed Loaf,194,2025-06-19 19:23:05,2025-06-19 19:18:05,STORE_106,194
DSP_104610,2025-05-29 20:57:12,Shepperton_Plant,RT_013,TRUCK_020,Seed Loaf,120,2025-05-30 00:42:12,2025-05-30 01:18:12,STORE_190,120
DSP_110905,2025-05-06 21:56:38,Shepperton_Plant,RT_028,TRUCK_044,High Energy Brown,379,2025-05-06 23:51:38,2025-05-07 00:14:38,STORE_030,379
DSP_105379,2025-07-08 04:13:47,Shepperton_Plant,RT_031,TRUCK_045,High Energy White,89,2025-07-08 06:49:47,2025-07-08 06:59:47,STORE_197,89
DSP_102325,2025-07-28 17:25:31,Shepperton_Plant,RT_054,TRUCK_085,Seed Loaf,145,2025-07-28 20:45:31,2025-07-28 21:06:31,STORE_144,145
DSP_115199,2025-03-25 01:25:40,Willowvale_Plant,RT_021,TRUCK_038,Family Loaf,112,2025-03-25 05:07:40,2025-03-25 05:06:40,STORE_065,112
DSP_113023,2025-02-02 17:14:26,Shepperton_Plant,RT_022,TRUCK_064,Family Loaf,102,2025-02-02 20:52:26,2025-02-02 21:12:26,STORE_068,102
DSP_104337,2025-01-21 11:46:43,Willowvale_Plant,RT_026,TRUCK_087,Wholegrain Brown,261,2025-01-21 14:23:43,2025-01-21 14:23:43,STORE_046,261
DSP_109965,2025-05-28 12:28:08,Shepperton_Plant,RT_016,TRUCK_020,Whole Wheat,330,2025-05-28 14:19:08,2025-05-28 14:11:08,STORE_193,330
DSP_108139,2025-04-19 10:58:27,Willowvale_Plant,RT_065,TRUCK_009,High Energy White,253,2025-04-19 12:00:27,2025-04-19 12:38:27,STORE_159,253
DSP_110957,2025-04-30 19:34:07,Willowvale_Plant,RT_064,TRUCK_057,Seed Loaf,404,2025-04-30 21:49:07,2025-04-30 21:49:07,STORE_076,404
DSP_103522,2025-06-28 22:27:20,Shepperton_Plant,RT_039,TRUCK_054,Whole Wheat,465,2025-06-29 00:15:20,2025-06-29 00:19:20,STORE_173,465
DSP_113628,2025-02-15 21:56:14,Shepperton_Plant,RT_016,TRUCK_017,Family Loaf,400,2025-02-15 22:45:14,2025-02-15 23:11:14,STORE_119,400
DSP_111542,2025-05-05 13:10:21,Shepperton_Plant,RT_036,TRUCK_008,Family Loaf,395,2025-05-05 16:54:21,2025-05-05 17:09:21,STORE_027,395
DSP_105279,2025-05-07 14:33:34,Willowvale_Plant,RT_041,TRUCK_070,Soft White,457,2025-05-07 15:40:34,2025-05-07 16:11:34,STORE_146,457
DSP_108583,2025-03-14 11:39:08,Willowvale_Plant,RT_053,TRUCK_018,Soft White,223,2025-03-14 13:01:08,2025-03-14 13:43:08,STORE_129,223
DSP_111113,2025-04-04 06:30:30,Shepperton_Plant,RT_036,TRUCK_072,Wholegrain Brown,144,2025-04-04 07:48:30,2025-04-04 07:46:30,STORE_046,144
DSP_104554,2025-05-06 02:15:01,Shepperton_Plant,RT_034,TRUCK_019,Soft White,304,2025-05-06 05:02:01,2025-05-06 05:14:01,STORE_120,304
DSP_112956,2025-07-04 04:18:52,Shepperton_Plant,RT_009,TRUCK_008,High Energy White,279,2025-07-04 07:14:52,2025-07-04 07:50:52,STORE_026,279
DSP_107963,2025-07-28 05:57:38,Shepperton_Plant,RT_005,TRUCK_013,High Energy Brown,274,2025-07-28 09:29:38,2025-07-28 09:50:38,STORE_062,274
DSP_112690,2025-03-07 13:35:38,Shepperton_Plant,RT_003,TRUCK_079,Wholegrain Brown,152,2025-03-07 16:21:38,2025-03-07 16:34:38,STORE_049,152
DSP_106486,2025-02-15 12:23:33,Willowvale_Plant,RT_017,TRUCK_058,High Energy White,467,2025-02-15 14:27:33,2025-02-15 14:25:33,STORE_129,467
DSP_105151,2025-06-07 23:40:45,Willowvale_Plant,RT_019,TRUCK_021,Soft White,256,2025-06-08 01:57:45,2025-06-08 02:24:45,STORE_147,256
DSP_101213,2025-02-27 22:16:38,Willowvale_Plant,RT_015,TRUCK_079,Seed Loaf,351,2025-02-27 23:59:38,2025-02-28 00:06:38,STORE_107,351
DSP_110132,2025-02-26 02:22:16,Willowvale_Plant,RT_005,TRUCK_047,Whole Wheat,46,2025-02-26 03:31:16,2025-02-26 03:56:16,STORE_187,46
DSP_109995,2025-03-20 02:54:05,Willowvale_Plant,RT_013,TRUCK_062,High Energy White,369,2025-03-20 04:06:05,2025-03-20 04:31:05,STORE_125,369
DSP_109731,2025-04-28 18:32:48,Shepperton_Plant,RT_006,TRUCK_061,Soft White,514,2025-04-28 21:49:48,2025-04-28 22:22:48,STORE_133,514
DSP_100736,2025-03-17 00:42:12,Willowvale_Plant,RT_046,TRUCK_002,Soft White,549,2025-03-17 02:52:12,2025-03-17 03:05:12,STORE_098,549
DSP_114054,2025-06-01 01:34:06,Shepperton_Plant,RT_013,TRUCK_005,Seed Loaf,329,2025-06-01 03:16:06,2025-06-01 03:48:06,STORE_009,329
DSP_109234,2025-05-19 01:16:47,Willowvale_Plant,RT_014,TRUCK_085,Whole Wheat,286,2025-05-19 05:11:47,2025-05-19 05:35:47,STORE_145,286
DSP_101261,2025-04-05 21:01:35,Willowvale_Plant,RT_064,TRUCK_012,Wholegrain Brown,57,2025-04-05 23:42:35,2025-04-06 00:13:35,STORE_023,57
DSP_102216,2025-02-21 16:05:44,Willowvale_Plant,RT_005,TRUCK_043,Seed Loaf,126,2025-02-21 18:33:44,2025-02-21 19:03:44,STORE_083,126
DSP_106590,2025-05-24 08:36:29,Shepperton_Plant,RT_004,TRUCK_037,Soft White,80,2025-05-24 09:18:29,2025-05-24 09:32:29,STORE_116,80
DSP_102088,2025-06-16 18:28:09,Shepperton_Plant,RT_066,TRUCK_039,High Energy White,414,2025-06-16 20:40:09,2025-06-16 20:46:09,STORE_137,414
DSP_109232,2025-01-10 01:55:14,Shepperton_Plant,RT_041,TRUCK_079,Soft White,69,2025-01-10 05:26:14,2025-01-10 06:08:14,STORE_169,69
DSP_103668,2025-07-28 17:57:20,Willowvale_Plant,RT_029,TRUCK_073,Whole Wheat,176,2025-07-28 20:10:20,2025-07-28 20:02:20,STORE_048,176
DSP_101781,2025-03-06 08:14:37,Shepperton_Plant,RT_036,TRUCK_036,High Energy Brown,376,2025-03-06 11:13:37,2025-03-06 11:47:37,STORE_157,376
DSP_111979,2025-02-19 11:04:47,Shepperton_Plant,RT_058,TRUCK_035,Wholegrain Brown,394,2025-02-19 11:41:47,2025-02-19 12:06:47,STORE_188,394
DSP_102380,2025-03-16 23:34:03,Shepperton_Plant,RT_045,TRUCK_076,High Energy Brown,364,2025-03-17 01:01:03,2025-03-17 01:02:03,STORE_093,364
DSP_100088,2025-03-05 20:13:09,Willowvale_Plant,RT_057,TRUCK_080,Seed Loaf,474,2025-03-05 21:35:09,2025-03-05 21:41:09,STORE_072,474
DSP_107464,2025-05-20 10:06:38,Willowvale_Plant,RT_002,TRUCK_084,High Energy White,55,2025-05-20 11:57:38,2025-05-20 12:09:38,STORE_134,55
DSP_111370,2025-05-29 17:32:21,Willowvale_Plant,RT_059,TRUCK_016,Wholegrain Brown,440,2025-05-29 20:57:21,2025-05-29 21:04:21,STORE_116,440
DSP_109727,2025-04-12 17:12:57,Willowvale_Plant,RT_034,TRUCK_064,Wholegrain Brown,192,2025-04-12 18:41:57,2025-04-12 19:05:57,STORE_003,192
DSP_108064,2025-06-16 16:19:21,Willowvale_Plant,RT_061,TRUCK_023,High Energy Brown,65,2025-06-16 17:44:21,2025-06-16 17:36:21,STORE_089,65
DSP_103698,2025-04-03 03:46:06,Willowvale_Plant,RT_045,TRUCK_076,Whole Wheat,433,2025-04-03 04:39:06,2025-04-03 05:09:06,STORE_197,433
DSP_108265,2025-04-17 06:20:52,Willowvale_Plant,RT_011,TRUCK_043,Soft White,140,2025-04-17 09:22:52,2025-04-17 09:24:52,STORE_180,140
DSP_104918,2025-01-06 17:50:32,Shepperton_Plant,RT_032,TRUCK_060,Seed Loaf,38,2025-01-06 20:44:32,2025-01-06 20:34:32,STORE_085,38
DSP_113139,2025-03-14 02:09:16,Willowvale_Plant,RT_011,TRUCK_045,Whole Wheat,300,2025-03-14 02:50:16,2025-03-14 03:03:16,STORE_174,300
DSP_100720,2025-05-08 23:39:23,Shepperton_Plant,RT_004,TRUCK_006,Wholegrain Brown,524,2025-05-09 00:12:23,2025-05-09 00:45:23,STORE_084,524
DSP_109125,2025-03-19 20:08:31,Shepperton_Plant,RT_052,TRUCK_065,Whole Wheat,213,2025-03-19 22:17:31,2025-03-19 22:39:31,STORE_019,213
DSP_106631,2025-02-18 14:02:19,Willowvale_Plant,RT_008,TRUCK_043,High Energy Brown,440,2025-02-18 15:45:19,2025-02-18 16:27:19,STORE_054,440
DSP_106422,2025-04-13 07:43:17,Willowvale_Plant,RT_014,TRUCK_086,Wholegrain Brown,402,2025-04-13 09:53:17,2025-04-13 10:01:17,STORE_126,402
DSP_114556,2025-05-20 08:14:44,Shepperton_Plant,RT_069,TRUCK_065,High Energy Brown,255,2025-05-20 12:00:44,2025-05-20 12:33:44,STORE_147,255
DSP_112581,2025-07-07 18:23:21,Shepperton_Plant,RT_062,TRUCK_073,Family Loaf,383,2025-07-07 22:11:21,2025-07-07 22:06:21,STORE_154,383
DSP_109172,2025-05-02 11:38:44,Willowvale_Plant,RT_056,TRUCK_088,Wholegrain Brown,440,2025-05-02 12:13:44,2025-05-02 12:13:44,STORE_121,440
DSP_101921,2025-07-08 11:41:39,Shepperton_Plant,RT_022,TRUCK_063,Whole Wheat,357,2025-07-08 14:25:39,2025-07-08 14:47:39,STORE_174,357
DSP_102701,2025-07-27 23:42:27,Willowvale_Plant,RT_049,TRUCK_024,High Energy White,86,2025-07-28 00:44:27,2025-07-28 00:52:27,STORE_195,86
DSP_100123,2025-07-20 10:59:11,Shepperton_Plant,RT_023,TRUCK_010,Wholegrain Brown,91,2025-07-20 13:03:11,2025-07-20 13:11:11,STORE_027,91
DSP_111952,2025-07-09 11:29:06,Shepperton_Plant,RT_032,TRUCK_062,Wholegrain Brown,126,2025-07-09 14:18:06,2025-07-09 14:42:06,STORE_077,126
DSP_110374,2025-03-21 19:42:05,Willowvale_Plant,RT_062,TRUCK_060,Wholegrain Brown,325,2025-03-21 23:11:05,2025-03-21 23:03:05,STORE_109,325
DSP_101747,2025-03-30 17:57:37,Willowvale_Plant,RT_057,TRUCK_023,Seed Loaf,115,2025-03-30 19:24:37,2025-03-30 19:40:37,STORE_126,115
DSP_113905,2025-03-31 15:10:00,Willowvale_Plant,RT_036,TRUCK_068,Wholegrain Brown,443,2025-03-31 16:12:00,2025-03-31 16:07:00,STORE_027,443
DSP_108297,2025-01-19 06:13:06,Shepperton_Plant,RT_030,TRUCK_011,High Energy Brown,463,2025-01-19 06:59:06,2025-01-19 07:25:06,STORE_030,463
DSP_115937,2025-04-07 21:37:54,Willowvale_Plant,RT_043,TRUCK_074,Soft White,241,2025-04-08 00:50:54,2025-04-08 01:26:54,STORE_185,241
DSP_109881,2025-01-14 10:24:35,Willowvale_Plant,RT_004,TRUCK_076,Family Loaf,318,2025-01-14 11:12:35,2025-01-14 11:24:35,STORE_027,318
DSP_102086,2025-07-09 23:23:26,Willowvale_Plant,RT_067,TRUCK_051,Whole Wheat,165,2025-07-10 00:53:26,2025-07-10 01:29:26,STORE_058,165
DSP_105562,2025-05-09 01:53:02,Willowvale_Plant,RT_030,TRUCK_077,Whole Wheat,154,2025-05-09 03:01:02,2025-05-09 03:42:02,STORE_199,154
DSP_109263,2025-03-07 19:44:01,Willowvale_Plant,RT_003,TRUCK_074,Seed Loaf,52,2025-03-07 20:18:01,2025-03-07 20:44:01,STORE_044,52
DSP_104201,2025-01-03 04:31:13,Shepperton_Plant,RT_021,TRUCK_058,Whole Wheat,326,2025-01-03 05:17:13,2025-01-03 05:18:13,STORE_128,326
DSP_103299,2025-07-24 01:23:28,Willowvale_Plant,RT_053,TRUCK_079,Seed Loaf,402,2025-07-24 04:02:28,2025-07-24 04:08:28,STORE_179,402
DSP_105689,2025-04-30 02:12:34,Willowvale_Plant,RT_021,TRUCK_022,Whole Wheat,449,2025-04-30 04:04:34,2025-04-30 04:21:34,STORE_026,449
DSP_111906,2025-03-14 09:42:15,Shepperton_Plant,RT_057,TRUCK_050,Seed Loaf,91,2025-03-14 12:27:15,2025-03-14 13:07:15,STORE_121,91
DSP_108822,2025-03-20 23:41:04,Willowvale_Plant,RT_034,TRUCK_018,Soft White,178,2025-03-21 00:43:04,2025-03-21 01:01:04,STORE_112,178
DSP_108138,2025-03-17 12:00:29,Shepperton_Plant,RT_044,TRUCK_030,Seed Loaf,154,2025-03-17 14:24:29,2025-03-17 14:58:29,STORE_065,154
DSP_103647,2025-06-18 23:45:19,Willowvale_Plant,RT_043,TRUCK_044,Wholegrain Brown,299,2025-06-19 02:35:19,2025-06-19 03:10:19,STORE_104,299
DSP_103634,2025-02-14 21:06:30,Willowvale_Plant,RT_047,TRUCK_080,Wholegrain Brown,452,2025-02-14 22:00:30,2025-02-14 22:31:30,STORE_121,452
DSP_105215,2025-02-13 01:06:34,Willowvale_Plant,RT_067,TRUCK_057,High Energy Brown,367,2025-02-13 02:58:34,2025-02-13 02:56:34,STORE_049,367
DSP_115168,2025-06-14 07:55:38,Shepperton_Plant,RT_038,TRUCK_079,Seed Loaf,521,2025-06-14 10:27:38,2025-06-14 10:20:38,STORE_137,521
DSP_103369,2025-05-24 07:43:48,Willowvale_Plant,RT_062,TRUCK_005,Family Loaf,116,2025-05-24 10:07:48,2025-05-24 10:37:48,STORE_199,116
DSP_102546,2025-06-26 05:35:59,Willowvale_Plant,RT_023,TRUCK_033,Whole Wheat,474,2025-06-26 09:18:59,2025-06-26 09:49:59,STORE_051,474
DSP_110036,2025-01-19 03:39:26,Shepperton_Plant,RT_068,TRUCK_015,Wholegrain Brown,533,2025-01-19 05:27:26,2025-01-19 05:51:26,STORE_045,533
DSP_102807,2025-05-14 18:06:07,Shepperton_Plant,RT_039,TRUCK_001,Whole Wheat,94,2025-05-14 21:24:07,2025-05-14 21:57:07,STORE_063,94
DSP_107100,2025-02-03 21:58:19,Willowvale_Plant,RT_041,TRUCK_041,High Energy Brown,446,2025-02-04 00:29:19,2025-02-04 01:08:19,STORE_119,446
DSP_109384,2025-04-10 03:31:44,Willowvale_Plant,RT_042,TRUCK_067,Whole Wheat,392,2025-04-10 07:19:44,2025-04-10 07:15:44,STORE_072,392
DSP_110520,2025-01-27 05:19:05,Shepperton_Plant,RT_069,TRUCK_060,Wholegrain Brown,265,2025-01-27 07:52:05,2025-01-27 07:53:05,STORE_006,265
DSP_115521,2025-02-26 13:32:43,Willowvale_Plant,RT_066,TRUCK_068,High Energy Brown,312,2025-02-26 16:22:43,2025-02-26 16:22:43,STORE_055,312
DSP_109085,2025-01-28 22:42:31,Willowvale_Plant,RT_059,TRUCK_059,High Energy White,169,2025-01-29 00:10:31,2025-01-29 00:47:31,STORE_082,169
DSP_113443,2025-03-07 08:18:36,Willowvale_Plant,RT_015,,Whole Wheat,51,2025-03-07 09:16:36,2025-03-07 09:48:36,STORE_124,51
DSP_105937,2025-02-12 15:33:35,Willowvale_Plant,RT_068,TRUCK_055,Seed Loaf,364,2025-02-12 16:20:35,2025-02-12 16:32:35,STORE_172,364
DSP_108528,2025-02-14 12:29:16,Willowvale_Plant,RT_023,TRUCK_002,Family Loaf,505,2025-02-14 16:02:16,2025-02-14 16:10:16,STORE_031,505
DSP_108104,2025-07-15 14:12:33,Willowvale_Plant,RT_041,TRUCK_048,Family Loaf,213,2025-07-15 16:18:33,2025-07-15 16:21:33,STORE_087,213
DSP_101655,2025-01-23 16:59:37,Shepperton_Plant,RT_011,TRUCK_014,Whole Wheat,113,2025-01-23 20:32:37,2025-01-23 21:07:37,STORE_044,113
DSP_108358,2025-06-08 11:30:48,Shepperton_Plant,RT_057,TRUCK_046,Seed Loaf,445,2025-06-08 12:15:48,2025-06-08 12:21:48,STORE_084,445
DSP_108573,2025-06-21 10:43:39,Willowvale_Plant,RT_002,TRUCK_012,High Energy Brown,90,2025-06-21 12:57:39,2025-06-21 13:28:39,STORE_197,90
DSP_107660,2025-01-12 23:39:58,Shepperton_Plant,RT_037,TRUCK_087,High Energy Brown,336,2025-01-13 03:17:58,2025-01-13 03:22:58,STORE_023,336
DSP_114889,2025-01-29 11:08:08,Shepperton_Plant,,TRUCK_001,Whole Wheat,267,2025-01-29 13:05:08,2025-01-29 13:41:08,STORE_071,267
DSP_103468,2025-07-29 09:50:39,Willowvale_Plant,RT_020,TRUCK_065,Seed Loaf,498,2025-07-29 11:21:39,2025-07-29 11:33:39,STORE_068,498
DSP_100304,2025-01-08 12:19:10,Willowvale_Plant,RT_061,TRUCK_011,Family Loaf,41,2025-01-08 15:34:10,2025-01-08 16:14:10,STORE_143,41
DSP_105001,2025-04-26 01:34:59,Willowvale_Plant,RT_004,TRUCK_087,Soft White,204,2025-04-26 03:26:59,2025-04-26 03:54:59,STORE_155,204
DSP_110543,2025-03-22 19:31:03,Shepperton_Plant,RT_032,TRUCK_015,High Energy Brown,464,2025-03-22 23:01:03,2025-03-22 22:52:03,STORE_020,464
DSP_104351,2025-02-24 15:45:40,Shepperton_Plant,RT_005,TRUCK_074,Soft White,371,2025-02-24 18:17:40,2025-02-24 18:50:40,STORE_003,371
DSP_110547,2025-06-30 11:07:39,Willowvale_Plant,RT_048,TRUCK_020,Seed Loaf,488,2025-06-30 13:29:39,2025-06-30 13:19:39,STORE_004,488
DSP_105135,2025-04-01 22:46:37,Willowvale_Plant,RT_065,TRUCK_022,Wholegrain Brown,252,2025-04-02 01:55:37,2025-04-02 02:29:37,STORE_148,252
DSP_105996,2025-03-08 03:12:28,Willowvale_Plant,RT_050,TRUCK_020,Seed Loaf,538,2025-03-08 06:00:28,2025-03-08 06:07:28,STORE_128,538
DSP_100426,2025-03-21 08:01:40,Shepperton_Plant,RT_001,TRUCK_005,Soft White,52,2025-03-21 10:54:40,2025-03-21 11:18:40,STORE_074,52
DSP_110455,2025-07-08 11:03:53,Willowvale_Plant,RT_020,TRUCK_008,High Energy White,309,2025-07-08 13:36:53,2025-07-08 13:46:53,STORE_102,309
DSP_103463,2025-05-06 15:08:40,Willowvale_Plant,RT_060,TRUCK_021,High Energy White,385,2025-05-06 17:36:40,2025-05-06 18:14:40,STORE_053,385
DSP_104861,2025-04-23 22:42:59,Shepperton_Plant,RT_051,TRUCK_066,High Energy White,284,2025-04-23 23:18:59,2025-04-23 23:25:59,STORE_057,284
DSP_111814,2025-01-12 16:14:42,Shepperton_Plant,RT_042,TRUCK_003,Family Loaf,341,2025-01-12 17:41:42,2025-01-12 18:11:42,STORE_112,341
DSP_100101,2025-04-02 07:02:19,Shepperton_Plant,RT_024,TRUCK_015,Seed Loaf,52,2025-04-02 08:49:19,2025-04-02 08:40:19,STORE_191,52
DSP_109859,2025-05-27 11:29:00,Shepperton_Plant,RT_036,TRUCK_089,Wholegrain Brown,357,2025-05-27 14:23:00,2025-05-27 14:53:00,STORE_187,357
DSP_102254,2025-05-25 07:06:32,Willowvale_Plant,RT_035,TRUCK_087,Soft White,153,2025-05-25 10:08:32,2025-05-25 10:29:32,STORE_008,153
DSP_115986,2025-04-08 13:54:30,Willowvale_Plant,RT_036,TRUCK_037,High Energy White,141,2025-04-08 14:48:30,2025-04-08 14:44:30,STORE_058,141
DSP_106618,2025-07-14 18:48:02,Willowvale_Plant,RT_018,TRUCK_056,Family Loaf,461,2025-07-14 22:42:02,2025-07-14 23:08:02,STORE_031,461
DSP_102405,2025-05-15 15:23:52,Shepperton_Plant,RT_056,TRUCK_006,Soft White,164,2025-05-15 18:19:52,2025-05-15 18:52:52,STORE_140,164
DSP_105803,2025-07-08 05:07:28,Willowvale_Plant,RT_008,,Family Loaf,225,2025-07-08 08:07:28,2025-07-08 08:04:28,STORE_069,225
DSP_107881,2025-06-09 11:33:10,Shepperton_Plant,RT_028,TRUCK_081,Wholegrain Brown,453,2025-06-09 15:00:10,2025-06-09 15:35:10,STORE_125,453
DSP_103111,2025-04-02 03:04:51,Shepperton_Plant,RT_020,TRUCK_010,Whole Wheat,34,2025-04-02 05:13:51,2025-04-02 05:21:51,STORE_148,34
DSP_113124,2025-05-13 22:56:35,Willowvale_Plant,RT_030,TRUCK_052,Whole Wheat,258,2025-05-14 00:56:35,2025-05-14 01:15:35,STORE_092,258
DSP_107530,2025-04-28 22:48:00,Shepperton_Plant,RT_025,TRUCK_013,Soft White,372,2025-04-29 01:50:00,2025-04-29 02:31:00,STORE_178,372
DSP_107945,2025-03-20 10:13:16,Shepperton_Plant,RT_060,TRUCK_082,High Energy Brown,160,2025-03-20 12:24:16,2025-03-20 13:03:16,STORE_178,160
DSP_110286,2025-06-06 02:29:17,Willowvale_Plant,RT_015,TRUCK_067,Family Loaf,292,2025-06-06 06:04:17,2025-06-06 06:17:17,STORE_191,292
DSP_107932,2025-07-29 03:53:52,Willowvale_Plant,RT_010,TRUCK_019,Whole Wheat,442,2025-07-29 06:51:52,2025-07-29 07:11:52,STORE_102,442
DSP_115981,2025-05-04 03:49:14,Willowvale_Plant,RT_023,TRUCK_004,Seed Loaf,203,2025-05-04 07:25:14,2025-05-04 07:31:14,STORE_057,203
DSP_103312,2025-02-16 17:13:25,Willowvale_Plant,RT_066,TRUCK_014,Soft White,300,2025-02-16 18:46:25,2025-02-16 19:24:25,STORE_174,300
DSP_106158,2025-02-07 16:00:49,Willowvale_Plant,RT_050,TRUCK_021,Whole Wheat,122,2025-02-07 17:12:49,2025-02-07 17:24:49,STORE_039,122
DSP_113225,2025-01-31 12:30:23,Shepperton_Plant,RT_050,TRUCK_039,High Energy White,335,2025-01-31 13:34:23,2025-01-31 14:04:23,STORE_093,335
DSP_107807,2025-06-12 03:40:10,Shepperton_Plant,RT_014,TRUCK_049,Whole Wheat,229,2025-06-12 06:07:10,2025-06-12 06:33:10,STORE_199,229
