sensor_id,timestamp,plant_id,equipment_id,metric_name,metric_value
SEN_1316,2025-06-19 05:40:08,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,23.04
SEN_1871,2025-02-25 07:03:41,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_7111,2025-05-19 11:17:13,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,38.92
SEN_16874,2025-04-15 02:27:43,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.87
SEN_7579,2025-07-13 16:54:41,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_291,2025-03-31 18:46:42,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,26.55
SEN_961,2025-02-27 02:26:34,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_6434,2025-07-07 14:07:08,Shepperton_Plant,PROOFER_01,Humidity Level,67.14
SEN_9246,2025-05-10 05:28:12,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,28.62
SEN_16852,2025-06-05 03:28:30,Willowvale_Plant,OVEN_02,Oven Temperature,201.07
SEN_2389,2025-05-01 15:06:12,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.4
SEN_13694,2025-03-31 08:17:55,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,3.64
SEN_9454,2025-05-23 00:35:06,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,2.51
SEN_11156,2025-05-03 08:30:35,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,2.35
SEN_13838,2025-05-31 14:09:31,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,2.78
SEN_8148,2025-04-21 05:46:54,Shepperton_Plant,OVEN_01,Oven Temperature,209.5
SEN_15183,2025-07-25 12:46:28,Shepperton_Plant,PROOFER_01,Humidity Level,76.7
SEN_16987,2025-07-10 22:22:43,Willowvale_Plant,OVEN_01,Oven Temperature,191.89
SEN_8627,2025-04-28 15:49:16,Shepperton_Plant,CONVEYOR_01,Belt Speed,0.76
SEN_7318,2025-01-31 16:19:46,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,3.57
SEN_1454,2025-02-03 10:09:17,Shepperton_Plant,OVEN_01,Oven Temperature,214.14
SEN_5195,2025-02-04 19:06:14,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,2.35
SEN_3572,2025-03-19 12:11:14,Shepperton_Plant,OVEN_01,Oven Temperature,188.79
SEN_10343,2025-04-25 08:26:45,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_7950,2025-06-14 13:04:19,Willowvale_Plant,OVEN_02,Oven Temperature,196.4
SEN_6014,2025-01-16 02:31:08,Shepperton_Plant,OVEN_02,Oven Temperature,200.48
SEN_1164,2025-05-10 19:01:42,Shepperton_Plant,PROOFER_01,Humidity Level,85.42
SEN_16681,2025-06-05 17:01:10,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,1.98
SEN_5360,2025-01-21 16:22:16,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,1762.1255678683635
SEN_12994,2025-06-07 13:05:19,Willowvale_Plant,PROOFER_01,Humidity Level,74.51
SEN_9273,2025-01-09 10:38:45,Willowvale_Plant,PROOFER_01,Humidity Level,86.08
SEN_4231,2025-04-19 12:57:57,Willowvale_Plant,PACKAGING_LINE_01,Seal Integrity,87.37
SEN_2719,2025-07-09 19:19:33,Shepperton_Plant,PROOFER_01,Humidity Level,87.85
SEN_16426,2025-04-07 12:33:15,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_15068,2025-05-13 20:23:24,Willowvale_Plant,CONVEYOR_01,Belt Speed,0.81
SEN_15661,2025-01-19 12:27:53,Willowvale_Plant,PROOFER_01,Humidity Level,65.36
SEN_11690,2025-02-13 06:56:28,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.27
SEN_9903,2025-01-24 18:09:58,Shepperton_Plant,PROOFER_01,Humidity Level,83.1
SEN_709,2025-01-10 06:15:01,Shepperton_Plant,OVEN_02,Oven Temperature,212.71
SEN_6016,2025-03-07 11:07:05,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,28.74
SEN_2586,2025-02-22 02:26:12,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.54
SEN_11397,2025-02-09 04:16:59,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,31.97
SEN_13940,2025-04-03 19:33:43,Willowvale_Plant,OVEN_02,Oven Temperature,187.38
SEN_4033,2025-01-31 00:14:19,Willowvale_Plant,CONVEYOR_02,Belt Speed,0.64
SEN_7751,2025-06-06 11:45:53,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,85.86
SEN_4666,2025-06-26 14:32:12,Shepperton_Plant,PROOFER_01,Humidity Level,77.76
SEN_1633,2025-04-17 07:34:25,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,21.86
SEN_8693,2025-06-30 01:29:16,Willowvale_Plant,OVEN_01,Oven Temperature,221.81
SEN_8455,2025-04-10 23:10:30,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,114.25
SEN_7793,2025-03-25 06:58:22,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,24.47
SEN_3887,2025-01-07 19:10:26,Shepperton_Plant,PROOFER_01,Humidity Level,72.44
SEN_14279,2025-04-07 17:40:27,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.22
SEN_2361,2025-01-01 13:49:28,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.17
SEN_5272,2025-05-23 19:00:10,Willowvale_Plant,CONVEYOR_01,Belt Speed,0.78
SEN_12604,2025-01-08 19:18:10,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,27.91
SEN_12464,2025-01-11 03:56:33,Willowvale_Plant,PACKAGING_LINE_01,Seal Integrity,108.65
SEN_3670,2025-03-09 00:32:20,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,33.76
SEN_2282,2025-06-01 16:39:44,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.18
SEN_16060,2025-05-22 03:14:44,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_1088,2025-03-12 21:09:12,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,3.4
SEN_10754,2025-06-18 02:30:17,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,2.78
SEN_10787,2025-05-26 21:44:21,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,25.65
SEN_201,2025-02-01 23:40:42,Shepperton_Plant,OVEN_01,Oven Temperature,210.89
SEN_7299,2025-04-24 17:44:16,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,30.99
SEN_2203,2025-05-02 21:56:45,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,3.49
SEN_9516,2025-02-20 16:33:57,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_14130,2025-03-16 18:07:55,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,4.1
SEN_2716,2025-05-14 10:49:05,Shepperton_Plant,OVEN_01,Oven Temperature,213.59
SEN_12779,2025-06-27 16:54:30,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,108.46
SEN_9544,2025-03-18 12:03:18,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,32.59
SEN_6111,2025-07-06 17:48:50,Willowvale_Plant,PROOFER_01,Humidity Level,84.61
SEN_8575,2025-02-17 02:07:25,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,109.85
SEN_15941,2025-05-28 05:30:09,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,3.22
SEN_8795,2025-05-13 14:43:08,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_17253,2025-03-20 10:01:08,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,2.66
SEN_323,2025-04-17 09:25:00,Willowvale_Plant,OVEN_02,Oven Temperature,237.91
SEN_12310,2025-03-31 06:12:14,Willowvale_Plant,PROOFER_01,Humidity Level,75.56
SEN_5020,2025-02-25 23:16:45,Shepperton_Plant,OVEN_02,Oven Temperature,196.1
SEN_6691,2025-01-10 21:44:20,Willowvale_Plant,CONVEYOR_02,Belt Speed,0.58
SEN_1430,2025-05-20 20:45:35,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,113.59
SEN_12587,2025-05-03 22:41:18,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,3.65
SEN_10822,2025-07-27 15:35:47,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,94.52
SEN_9923,2025-03-09 17:04:38,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,3.38
SEN_15557,2025-04-05 20:51:54,Shepperton_Plant,PROOFER_01,Humidity Level,65.64
SEN_3235,2025-05-02 20:35:42,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,2.54
SEN_4451,2025-04-24 06:54:01,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.66
SEN_3596,2025-04-02 11:29:57,Shepperton_Plant,PROOFER_01,Humidity Level,
SEN_1356,2025-05-05 06:18:21,Willowvale_Plant,PACKAGING_LINE_01,Seal Integrity,87.18
SEN_16598,2025-04-28 08:42:30,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.64
SEN_9809,2025-03-28 10:47:25,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,3.7
SEN_5599,2025-01-28 15:05:17,Willowvale_Plant,OVEN_01,Oven Temperature,
SEN_4905,2025-05-01 21:34:35,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.77
SEN_9792,2025-01-26 15:37:55,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,32.14
SEN_12115,2025-02-17 12:32:13,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,3.97
SEN_9691,2025-04-19 03:15:45,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,2.77
SEN_9694,2025-02-02 06:31:46,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.11
SEN_15233,2025-02-12 17:48:09,Shepperton_Plant,PROOFER_01,Humidity Level,72.92
SEN_15576,2025-06-27 00:24:08,Willowvale_Plant,OVEN_01,Oven Temperature,212.82
SEN_10580,2025-06-17 19:48:03,Shepperton_Plant,OVEN_02,Oven Temperature,205.57
SEN_8256,2025-02-24 18:11:02,Shepperton_Plant,OVEN_02,Oven Temperature,206.95
SEN_8926,2025-02-23 09:38:18,Shepperton_Plant,OVEN_02,Oven Temperature,200.54
SEN_16895,2025-04-09 14:26:05,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,4.16
SEN_13535,2025-05-16 02:46:43,Willowvale_Plant,OVEN_02,Oven Temperature,225.71
SEN_1348,2025-06-21 05:22:32,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.67
SEN_6585,2025-02-12 20:56:27,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.83
SEN_16263,2025-02-01 05:24:32,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.35
SEN_5251,2025-02-19 19:49:39,Willowvale_Plant,OVEN_01,Oven Temperature,181.33
SEN_12024,2025-01-13 23:43:59,Willowvale_Plant,PROOFER_01,Humidity Level,81.37
SEN_352,2025-04-04 07:07:13,Willowvale_Plant,CONVEYOR_01,Belt Speed,0.77
SEN_15064,2025-06-17 07:09:16,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,2.1
SEN_13868,2025-07-01 18:47:08,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,4.02
SEN_15691,2025-06-16 20:44:49,Willowvale_Plant,CONVEYOR_01,Belt Speed,0.61
SEN_2406,2025-04-10 16:51:35,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.77
SEN_15170,2025-06-27 16:52:31,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.33
SEN_10925,2025-01-13 02:06:09,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.65
SEN_14629,2025-04-14 12:43:20,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.16
SEN_16831,2025-06-28 03:10:45,Willowvale_Plant,CONVEYOR_01,Belt Speed,0.9
SEN_15463,2025-06-06 08:49:19,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,2.21
SEN_15468,2025-01-27 13:51:48,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,27.01
SEN_17973,2025-04-03 19:17:00,Shepperton_Plant,CONVEYOR_01,Belt Speed,1.35
SEN_8453,2025-02-04 12:34:03,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.05
SEN_8664,2025-06-07 14:20:16,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,33.15
SEN_16891,2025-04-15 04:45:28,Willowvale_Plant,PACKAGING_LINE_01,Seal Integrity,94.06
SEN_9168,2025-03-09 17:30:56,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.27
SEN_16688,2025-01-29 23:04:07,Willowvale_Plant,PROOFER_01,Humidity Level,87.51
SEN_2426,2025-07-30 04:55:41,Shepperton_Plant,OVEN_01,Oven Temperature,223.67
SEN_9881,2025-07-30 09:09:08,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,2.26
SEN_8472,2025-01-13 04:34:32,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_1291,2025-06-10 12:38:46,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_8177,2025-01-18 16:21:05,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,28.14
SEN_1027,2025-05-30 08:08:04,Willowvale_Plant,OVEN_02,Oven Temperature,206.98
SEN_15323,2025-03-26 20:45:45,Willowvale_Plant,OVEN_02,Oven Temperature,221.52
SEN_3223,2025-07-02 04:03:54,Willowvale_Plant,OVEN_01,Oven Temperature,229.76
SEN_13812,2025-03-20 11:45:11,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.63
SEN_7531,2025-06-26 19:13:27,Willowvale_Plant,OVEN_02,Oven Temperature,817.2807552900385
SEN_9229,2025-04-29 19:23:23,Willowvale_Plant,OVEN_02,Oven Temperature,197.45
SEN_13029,2025-02-21 00:13:04,Willowvale_Plant,CONVEYOR_02,Belt Speed,0.59
SEN_3502,2025-03-18 10:45:29,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_8240,2025-01-17 17:29:06,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,96.02
SEN_13799,2025-04-19 01:58:05,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,4.51
SEN_14534,2025-05-20 21:44:53,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,2.81
SEN_8889,2025-04-07 02:54:20,Willowvale_Plant,PROOFER_01,Humidity Level,76.8
SEN_15309,2025-05-25 21:13:17,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,105.31
SEN_4936,2025-05-28 06:20:00,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_4368,2025-05-16 10:33:00,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_14199,2025-01-10 13:22:20,Willowvale_Plant,CONVEYOR_02,Belt Speed,0.82
SEN_389,2025-04-20 09:22:17,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,3.29
SEN_13456,2025-07-18 07:11:22,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,4.12
SEN_10057,2025-03-29 20:59:47,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,2.43
SEN_7559,2025-06-15 19:31:48,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,29.17
SEN_1705,2025-03-20 07:52:47,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.79
SEN_13078,2025-01-14 07:46:59,Shepperton_Plant,CONVEYOR_02,Belt Speed,0.81
SEN_1839,2025-07-24 01:45:57,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,28.94
SEN_12228,2025-05-18 08:11:48,Shepperton_Plant,CONVEYOR_01,Belt Speed,0.89
SEN_11371,2025-03-16 08:27:38,Willowvale_Plant,PROOFER_01,Humidity Level,
SEN_7317,2025-05-01 11:52:18,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_11128,2025-07-12 18:51:51,Willowvale_Plant,CONVEYOR_01,Belt Speed,0.94
SEN_13496,2025-06-21 12:30:04,Shepperton_Plant,OVEN_02,Oven Temperature,211.12
SEN_15670,2025-07-21 11:56:52,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,19.99
SEN_6934,2025-02-17 20:31:07,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,3.5
SEN_3209,2025-06-01 07:19:30,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.82
SEN_12304,2025-04-17 16:46:46,Shepperton_Plant,OVEN_01,Oven Temperature,205.4
SEN_10111,2025-06-22 10:24:07,Shepperton_Plant,PROOFER_01,Humidity Level,87.64
SEN_9926,2025-07-27 04:20:47,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,2.83
SEN_16173,2025-07-27 06:26:00,Shepperton_Plant,CONVEYOR_01,Belt Speed,1.1
SEN_5024,2025-07-19 05:18:21,Willowvale_Plant,CONVEYOR_02,Belt Speed,0.69
SEN_10709,2025-07-19 16:28:46,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.58
SEN_17773,2025-03-08 20:24:46,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,30.03
SEN_11456,2025-05-17 12:29:17,Shepperton_Plant,CONVEYOR_01,Belt Speed,0.62
SEN_9976,2025-03-08 07:19:36,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_8273,2025-04-26 18:25:55,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_12620,2025-07-24 05:27:25,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,27.18
SEN_14153,2025-01-10 01:02:01,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,3.89
SEN_17133,2025-04-19 02:07:41,Willowvale_Plant,CONVEYOR_02,Belt Speed,0.87
SEN_13497,2025-04-18 22:13:25,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_9458,2025-04-21 18:49:08,Shepperton_Plant,PROOFER_01,Humidity Level,82.05
SEN_2749,2025-06-16 19:39:48,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,4.48
SEN_10090,2025-05-11 09:02:30,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,32.64
SEN_12536,2025-06-25 21:25:26,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,4.91
SEN_327,2025-04-07 22:35:41,Willowvale_Plant,CONVEYOR_01,Belt Speed,0.93
SEN_9873,2025-01-20 15:13:00,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,2.28
SEN_13106,2025-05-20 22:48:21,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,27.52
SEN_10407,2025-04-23 19:33:13,Shepperton_Plant,OVEN_01,Oven Temperature,221.24
SEN_12295,2025-01-15 17:22:17,Shepperton_Plant,CONVEYOR_02,Belt Speed,0.76
SEN_8289,2025-01-13 22:48:21,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_4603,2025-01-10 12:53:46,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,2.01
SEN_12440,2025-03-23 21:48:28,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,107.88
SEN_16540,2025-03-29 10:50:14,Willowvale_Plant,PROOFER_01,Humidity Level,84.22
SEN_8117,2025-07-20 17:12:15,Shepperton_Plant,PROOFER_01,Humidity Level,68.15
SEN_8060,2025-06-28 04:58:23,Shepperton_Plant,OVEN_02,Oven Temperature,219.81
SEN_652,2025-02-24 03:38:34,Shepperton_Plant,OVEN_01,Oven Temperature,201.47
SEN_706,2025-05-26 00:32:51,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.56
SEN_4825,2025-05-16 03:13:24,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,2.6
SEN_6492,2025-07-03 22:56:34,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,20.31
SEN_3546,2025-07-22 07:47:41,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.78
SEN_11008,2025-07-29 07:57:46,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_734,2025-04-07 23:35:41,Shepperton_Plant,CONVEYOR_01,Belt Speed,1.43
SEN_8785,2025-03-17 22:08:36,Shepperton_Plant,PROOFER_01,Humidity Level,86.11
SEN_13034,2025-01-29 18:33:01,Shepperton_Plant,DOUGH_MIXER_01,Motor Vibration,2.72
SEN_11192,2025-03-17 07:15:06,Shepperton_Plant,OVEN_02,Oven Temperature,216.82
SEN_17150,2025-04-01 03:59:12,Willowvale_Plant,PROOFER_01,Humidity Level,80.3
SEN_2486,2025-05-31 18:43:35,Willowvale_Plant,CONVEYOR_02,Belt Speed,1.43
SEN_9503,2025-02-24 16:57:58,Shepperton_Plant,PACKAGING_LINE_01,Seal Integrity,89.67
SEN_9290,2025-03-08 00:53:15,Shepperton_Plant,OVEN_01,Oven Temperature,222.17
SEN_9145,2025-05-14 10:12:41,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.13
SEN_15608,2025-06-29 21:06:04,Willowvale_Plant,PACKAGING_LINE_01,Seal Integrity,88.59
SEN_2886,2025-06-18 05:06:12,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,23.62
SEN_13620,2025-07-19 04:11:30,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,29.6
SEN_15594,2025-04-18 09:05:35,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.47
SEN_2009,2025-04-05 20:10:53,Willowvale_Plant,DOUGH_MIXER_01,Motor Vibration,3.63
SEN_1087,2025-01-04 03:52:26,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.44
SEN_12879,2025-03-12 00:00:00,Shepperton_Plant,OVEN_02,Oven Temperature,206.21
SEN_6190,2025-07-06 02:09:29,Willowvale_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_2544,2025-06-05 14:24:03,Willowvale_Plant,OVEN_01,Oven Temperature,201.65
SEN_10810,2025-04-27 19:29:55,Willowvale_Plant,PROOFER_01,Humidity Level,83.56
SEN_12303,2025-04-06 14:01:28,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,2.65
SEN_3048,2025-05-03 02:13:59,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,2.79
SEN_1145,2025-03-14 16:54:06,Willowvale_Plant,DOUGH_MIXER_02,Motor Vibration,3.12
SEN_11867,2025-06-10 21:50:22,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.69
SEN_4075,2025-05-01 09:07:24,Shepperton_Plant,METAL_DETECTOR_01,Detection Event,0.0
SEN_1397,2025-06-25 09:58:12,Willowvale_Plant,COOLING_TUNNEL_01,Air Temperature,25.04
SEN_14254,2025-04-16 16:34:29,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.25
SEN_7946,2025-06-23 23:48:16,Shepperton_Plant,DOUGH_MIXER_02,Motor Vibration,3.26
SEN_8021,2025-06-30 03:04:06,Willowvale_Plant,OVEN_01,Oven Temperature,209.16
SEN_14025,2025-06-12 22:23:37,Shepperton_Plant,CONVEYOR_02,Belt Speed,0.62
SEN_9921,2025-06-20 16:36:49,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,27.25
SEN_477,2025-02-21 04:26:15,Shepperton_Plant,CONVEYOR_02,Belt Speed,1.35
SEN_7392,2025-05-25 12:49:58,Willowvale_Plant,CONVEYOR_01,Belt Speed,1.65
SEN_6680,2025-01-28 17:08:58,Shepperton_Plant,OVEN_02,Oven Temperature,210.43
SEN_13445,2025-02-12 23:26:09,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,27.73
SEN_13906,2025-06-26 19:19:58,Shepperton_Plant,COOLING_TUNNEL_01,Air Temperature,39.08
SEN_2955,2025-03-29 21:40:25,Shepperton_Plant,OVEN_02,Oven Temperature,204.39
SEN_17306,2025-04-26 00:17:20,Shepperton_Plant,CONVEYOR_02,Belt Speed,0.65
SEN_3170,2025-06-13 22:55:40,Willowvale_Plant,PACKAGING_LINE_01,Seal Integrity,95.46
