qc_id,timestamp,batch_id,sku,parameter,value,pass_fail,notes,value 
QC_508925,2025-03-22 21:50:07,BATCH_14975,Soft White,slice_uniformity_mm,4.45,pass,,4.45
QC_516894,2025-01-18 17:38:57,BATCH_17631,Wholegrain Brown,crust_color_level,6.87,fail,Below expected tolerance,6.87
QC_513534,2025-03-27 02:53:41,BATCH_16511,Whole Wheat,texture_score,6.96,pass,,6.96
QC_501347,2025-06-05 17:50:44,BATCH_12449,Whole Wheat,internal_temp_c,91.52,fail,Above tolerance range,91.52
QC_506584,2025-03-10 10:35:18,BATCH_14194,High Energy White,crust_color_level,0.49,fail,Seal issue detected,0.49
QC_516262,2025-03-20 13:28:22,BATCH_17420,Whole Wheat,package_seal_strength,110.84,pass,,110.84
QC_505250,2025-04-13 21:23:02,BATCH_13750,Soft White,moisture_percent,31.01,pass,,31.01
QC_512023,2025-03-31 19:18:00,BATCH_16007,Wholegrain Brown,texture_score,9.74,pass,,9.74
QC_500351,2025-07-15 10:46:12,BATCH_12117,Seed Loaf,slice_uniformity_mm,6.92,fail,Color inconsistency,6.92
QC_515063,2025-05-20 06:13:22,BATCH_17021,Family Loaf,internal_temp_c,93.8,pass,,93.8
QC_513867,2025-02-25 13:10:12,BATCH_16622,High Energy Brown,weight_grams,709.29,pass,,709.29
QC_515690,2025-03-21 08:36:44,BATCH_17230,High Energy White,texture_score,6.99,pass,,6.99
QC_502405,2025-05-04 23:56:45,BATCH_12801,Family Loaf,slice_uniformity_mm,3.78,pass,,3.78
QC_515169,2025-04-11 07:32:06,BATCH_17056,Family Loaf,internal_temp_c,93.24,pass,,93.24
QC_510924,2025-05-09 10:44:04,BATCH_15641,High Energy White,crust_color_level,1.84,pass,,1.84
QC_514628,2025-04-23 21:54:32,BATCH_16876,High Energy Brown,texture_score,9.79,pass,,9.79
QC_516830,2025-07-27 08:15:33,BATCH_17610,Whole Wheat,internal_temp_c,101.48,fail,Seal issue detected,101.48
QC_515462,2025-04-11 23:00:56,BATCH_17154,High Energy White,weight_grams,712.33,pass,,712.33
QC_515467,2025-07-21 20:04:16,BATCH_17155,Soft White,package_seal_strength,99.41,pass,,99.41
QC_517972,2025-04-03 10:25:22,BATCH_17990,Wholegrain Brown,weight_grams,685.98,pass,,685.98
QC_508452,2025-01-09 16:45:18,BATCH_14817,High Energy White,weight_grams,687.62,pass,,687.62
QC_508663,2025-06-16 15:07:16,BATCH_14887,Soft White,internal_temp_c,93.96,pass,,93.96
QC_516890,2025-01-27 10:39:58,BATCH_17630,Seed Loaf,internal_temp_c,96.28,pass,,96.28
QC_509167,2025-05-03 23:34:03,BATCH_15055,High Energy White,crust_color_level,1.46,pass,,1.46
QC_516687,2025-05-09 01:53:02,BATCH_17562,Wholegrain Brown,crust_color_level,1.31,pass,,1.31
QC_502425,2025-03-18 19:55:55,BATCH_12808,Family Loaf,weight_grams,682.99,pass,,682.99
QC_509880,2025-04-09 14:36:32,BATCH_15293,Soft White,crust_color_level,2.93,pass,,2.93
QC_508471,2025-02-28 19:37:00,BATCH_14823,Whole Wheat,crust_color_level,0.38,fail,Color inconsistency,0.38
QC_501290,2025-01-01 19:37:20,BATCH_12430,Family Loaf,moisture_percent,28.72,fail,Below expected tolerance,28.72
QC_508176,2025-02-23 02:38:47,BATCH_14725,Soft White,texture_score,7.48,pass,,7.48
QC_501026,2025-07-01 20:40:15,BATCH_12342,Seed Loaf,slice_uniformity_mm,8.12,fail,Internal temperature deviation,8.12
QC_515322,2025-01-07 04:30:33,BATCH_17107,Soft White,package_seal_strength,101.76,pass,,101.76
QC_503222,2025-01-18 08:54:04,BATCH_13074,Seed Loaf,moisture_percent,35.34,pass,,35.34
QC_513811,2025-02-14 15:16:40,BATCH_16603,Soft White,slice_uniformity_mm,1.97,fail,Internal temperature deviation,1.97
QC_507530,2025-02-05 21:16:21,BATCH_14510,High Energy White,package_seal_strength,116.51,pass,,116.51
QC_509228,2025-03-23 23:05:30,BATCH_15076,High Energy Brown,internal_temp_c,93.16,pass,,93.16
QC_513028,2025-03-14 11:28:14,BATCH_16342,Family Loaf,crust_color_level,5.68,fail,Above tolerance range,5.68
QC_503501,2025-03-24 18:52:27,BATCH_13167,Family Loaf,slice_uniformity_mm,2.92,pass,,2.92
QC_508239,2025-07-27 15:10:05,BATCH_14746,Seed Loaf,moisture_percent,41.46,fail,Seal issue detected,41.46
QC_513798,2025-01-10 06:32:05,BATCH_16599,High Energy Brown,moisture_percent,40.22,fail,Below expected tolerance,40.22
QC_514533,2025-06-25 00:08:04,BATCH_16844,Soft White,texture_score,-0.17,fail,Internal temperature deviation,-0.17
QC_508888,2025-02-03 15:47:36,BATCH_14962,Family Loaf,moisture_percent,37.75,pass,,37.75
QC_515308,2025-05-30 21:24:19,BATCH_17102,High Energy Brown,slice_uniformity_mm,6.45,fail,Color inconsistency,6.45
QC_504935,2025-02-03 10:08:18,BATCH_13645,High Energy White,crust_color_level,4.24,pass,,4.24
QC_504367,2025-05-24 07:31:58,BATCH_13455,Whole Wheat,moisture_percent,35.83,pass,,35.83
QC_514198,2025-05-31 19:07:27,BATCH_16732,Family Loaf,internal_temp_c,90.86,fail,Below expected tolerance,90.86
QC_515115,2025-01-30 23:57:02,BATCH_17038,Soft White,texture_score,2.99,pass,,2.99
QC_513455,2025-06-28 10:41:55,BATCH_16485,Soft White,weight_grams,686.79,pass,,686.79
QC_510056,2025-03-30 08:04:45,BATCH_15352,Wholegrain Brown,package_seal_strength,84.83,pass,,84.83
QC_507558,2025-06-17 20:41:31,BATCH_14519,Whole Wheat,slice_uniformity_mm,5.83,pass,,5.83
QC_501704,2025-06-01 04:01:59,BATCH_12568,High Energy White,moisture_percent,41.25,fail,Below expected tolerance,41.25
QC_513077,2025-01-13 01:19:26,BATCH_16359,Family Loaf,crust_color_level,3.93,pass,,3.93
QC_501838,2025-05-17 23:15:06,BATCH_12612,Wholegrain Brown,weight_grams,711.1,pass,,711.1
QC_512227,2025-01-11 04:28:16,BATCH_16075,Soft White,internal_temp_c,101.26,fail,Internal temperature deviation,101.26
QC_511370,2025-01-17 13:01:30,BATCH_15790,Soft White,moisture_percent,39.77,fail,Above tolerance range,39.77
QC_507316,2025-03-12 21:09:12,BATCH_14438,High Energy Brown,slice_uniformity_mm,7.59,fail,Below expected tolerance,7.59
QC_511127,2025-04-29 12:02:04,BATCH_15709,Soft White,texture_score,9.13,pass,,9.13
QC_513495,2025-01-18 10:01:40,BATCH_16498,High Energy White,package_seal_strength,100.34,pass,,100.34
QC_515669,2025-01-29 12:53:16,BATCH_17223,Soft White,moisture_percent,32.48,pass,,32.48
QC_506933,2025-02-01 21:17:43,BATCH_14311,High Energy White,texture_score,9.63,pass,,9.63
QC_503208,2025-01-15 04:41:16,BATCH_13069,Wholegrain Brown,package_seal_strength,119.03,pass,,119.03
QC_512303,2025-02-24 13:13:19,BATCH_16101,Seed Loaf,texture_score,2.74,pass,,2.74
QC_510110,2025-04-17 18:04:42,BATCH_15370,Family Loaf,internal_temp_c,99.77,fail,Color inconsistency,99.77
QC_509925,2025-02-25 03:33:32,BATCH_15308,Family Loaf,internal_temp_c,95.23,pass,,95.23
QC_516172,2025-04-20 00:57:57,BATCH_17390,Whole Wheat,texture_score,1.3,pass,,1.3
QC_505023,2025-06-21 20:06:07,BATCH_13674,Soft White,texture_score,6.62,pass,,6.62
QC_510708,2025-04-08 13:51:04,BATCH_15569,Family Loaf,slice_uniformity_mm,0.41,fail,Above tolerance range,0.41
QC_517772,2025-03-01 01:48:58,BATCH_17924,HighEnergyBrown,internal_temp_c,93.05,pass,,93.05
QC_511455,2025-05-03 23:38:28,BATCH_15818,Whole Wheat,texture_score,11.4,fail,Above tolerance range,11.4
QC_509975,2025-04-30 01:21:31,BATCH_15325,High Energy Brown,weight_grams,689.59,pass,,689.59
QC_508272,2025-04-10 00:00:00,BATCH_14757,Soft White,slice_uniformity_mm,5.1,pass,,5.1
QC_512619,2025-01-13 06:12:45,BATCH_16206,Wholegrain Brown,internal_temp_c,98.28,pass,,98.28
QC_514152,2025-01-17 09:39:18,BATCH_16717,Soft White,moisture_percent,34.45,pass,,34.45
QC_517132,2025-03-26 20:13:15,BATCH_17710,Family Loaf,weight_grams,709.91,pass,,709.91
QC_513496,2025-01-18 10:01:40,BATCH_16498,High Energy White,slice_uniformity_mm,6.33,fail,Seal issue detected,6.33
QC_509457,2025-05-05 11:41:56,BATCH_15152,Family Loaf,weight_grams,706.12,pass,,706.12
QC_502748,2025-05-28 04:07:09,BATCH_12916,Soft White,moisture_percent,36.88,pass,,36.88
QC_510089,2025-04-26 06:20:42,BATCH_15363,Wholegrain Brown,crust_color_level,3.02,pass,,3.02
QC_512535,2025-04-14 23:05:39,BATCH_16178,Whole Wheat,weight_grams,693.36,pass,,693.36
QC_500326,2025-03-07 10:37:17,BATCH_12108,High Energy White,crust_color_level,-0.83,fail,Below expected tolerance,-0.83
QC_509872,2025-03-13 06:12:18,BATCH_15290,Seed Loaf,weight_grams,694.35,pass,,694.35
QC_513105,2025-04-18 08:35:07,BATCH_16368,Soft White,texture_score,5.23,pass,,5.23
QC_510406,2025-07-29 09:50:39,BATCH_15468,Whole Wheat,package_seal_strength,91.89,pass,,91.89
QC_512294,2025-03-17 15:20:23,BATCH_16098,High Energy White,slice_uniformity_mm,2.71,pass,,2.71
QC_508288,2025-05-11 05:45:48,BATCH_14762,High Energy White,crust_color_level,3.62,pass,,3.62
QC_504602,2025-07-03 05:16:00,BATCH_13534,High Energy Brown,weight_grams,681.46,pass,,681.46
QC_512439,2025-02-26 05:42:19,BATCH_16146,Family Loaf,internal_temp_c,100.25,fail,Internal temperature deviation,100.25
QC_516539,2025-02-23 13:44:16,BATCH_17513,Family Loaf,slice_uniformity_mm,3.12,pass,,3.12
QC_508116,2025-01-11 02:05:22,BATCH_14705,Wholegrain Brown,moisture_percent,35.36,pass,,35.36
QC_508059,2025-02-20 02:01:48,BATCH_14686,Seed Loaf,weight_grams,689.55,pass,,689.55
QC_500651,2025-01-06 19:12:37,BATCH_12217,Seed Loaf,moisture_percent,37.11,pass,,37.11
QC_500705,2025-04-19 20:40:34,BATCH_12235,Whole Wheat,crust_color_level,7.33,fail,Color inconsistency,7.33
QC_504824,2025-02-06 03:29:11,BATCH_13608,Wholegrain Brown,package_seal_strength,101.28,pass,,101.28
QC_506491,2025-03-21 18:55:28,BATCH_14163,Soft White,package_seal_strength,87.11,pass,,87.11
QC_503545,2025-06-14 16:42:28,BATCH_13181,Whole Wheat,texture_score,8.7,pass,,8.7
QC_511007,2025-07-13 05:12:12,BATCH_15669,Seed Loaf,package_seal_strength,82.02,pass,,82.02
QC_500733,2025-07-15 12:39:57,BATCH_12244,High Energy White,slice_uniformity_mm,2.16,pass,,2.16
QC_508784,2025-02-24 20:30:00,BATCH_14928,High Energy Brown,texture_score,2.64,pass,,2.64
QC_513033,2025-03-02 12:05:28,BATCH_16344,Soft White,package_seal_strength,115.84,pass,,115.84
QC_511191,2025-02-19 15:51:37,BATCH_15730,High Energy Brown,moisture_percent,32.76,pass,,32.76
QC_517149,2025-02-24 02:13:04,BATCH_17716,Whole Wheat,weight_grams,689.16,pass,,689.16
QC_502485,2025-07-23 18:49:11,BATCH_12828,Soft White,package_seal_strength,101.01,pass,,101.01
QC_509502,2025-07-22 02:58:04,BATCH_15167,Whole Wheat,moisture_percent,34.97,pass,,34.97
QC_509289,2025-03-09 11:33:15,BATCH_15096,Family Loaf,weight_grams,704.08,pass,,704.08
QC_509144,2025-04-24 05:44:53,BATCH_15048,Soft White,internal_temp_c,92.97,fail,Seal issue detected,92.97
QC_515607,2025-03-26 07:43:07,BATCH_17202,Whole Wheat,texture_score,7.61,pass,,7.61
QC_502885,2025-06-09 12:03:29,BATCH_12961,HighEnergyBrown,weight_grams,713.76,pass,,713.76
QC_513619,2025-01-28 07:55:31,BATCH_16539,High Energy White,moisture_percent,35.66,pass,,35.66
QC_515593,2025-06-30 10:28:22,BATCH_17197,High Energy White,weight_grams,696.95,pass,,696.95
QC_502008,2025-06-28 13:44:13,BATCH_12669,High Energy White,texture_score,2.0,pass,,2.0
QC_501086,2025-03-18 08:38:39,BATCH_12362,Seed Loaf,texture_score,5.67,pass,,5.67
QC_512878,2025-05-29 19:27:41,BATCH_16292,Seed Loaf,crust_color_level,3.31,pass,,3.31
QC_506189,2025-07-04 05:47:04,BATCH_14063,Seed Loaf,package_seal_strength,114.3,pass,,114.3
QC_502543,2025-04-26 22:19:49,BATCH_12847,Soft White,texture_score,0.02,fail,Internal temperature deviation,0.02
QC_510809,2025-04-29 15:26:53,BATCH_15603,Whole Wheat,internal_temp_c,93.54,pass,,93.54
QC_512302,2025-07-06 19:56:12,BATCH_16100,Soft White,slice_uniformity_mm,3.17,pass,,3.17
