dispatch_id,timestamp,plant_id,route_id,vehicle_id,sku,qty_dispatched,expected_arrival,actual_arrival,retailer_id,dispatch_delay_minutes,hour,dayofweek
DSP_108196,2025-07-17 05:15:46,Shepperton_Plant,RT_061,TRUCK_003,High Energy White,455,2025-07-17 05:47:46,2025-07-17 06:06:46,STORE_131,19.0,5.0,Thursday
DSP_108917,2025-04-06 14:14:42,Willowvale_Plant,RT_044,TRUCK_029,High Energy White,482,2025-04-06 17:04:42,2025-04-06 17:07:42,STORE_128,3.0,14.0,Sunday
DSP_113750,2025-02-05 08:55:51,Shepperton_Plant,RT_010,TRUCK_065,Wholegrain Brown,367,2025-02-05 09:52:51,2025-02-05 10:33:51,STORE_164,41.0,8.0,Wednesday
DSP_115009,2025-06-15 00:51:29,Willowvale_Plant,RT_056,TRUCK_009,High Energy Brown,92,2025-06-15 03:57:29,2025-06-15 04:41:29,STORE_139,44.0,0.0,Sunday
DSP_114284,2025-01-03 18:06:03,Willowvale_Plant,RT_055,TRUCK_023,Soft White,461,2025-01-03 20:37:03,2025-01-03 21:04:03,STORE_113,27.0,18.0,Friday
DSP_100020,2025-03-08 11:17:46,Shepperton_Plant,RT_035,TRUCK_006,Seed Loaf,199,2025-03-08 11:48:46,2025-03-08 12:30:46,STORE_155,42.0,11.0,Saturday
DSP_114736,2025-03-12 12:00:09,Shepperton_Plant,RT_047,TRUCK_005,Family Loaf,499,2025-03-12 13:14:09,2025-03-12 13:05:09,STORE_061,-9.0,12.0,Wednesday
DSP_110654,2025-03-02 05:41:37,Willowvale_Plant,RT_066,TRUCK_024,Whole Wheat,139,2025-03-02 09:38:37,2025-03-02 09:37:37,STORE_032,-1.0,5.0,Sunday
DSP_114212,2025-02-10 13:22:59,Willowvale_Plant,RT_005,TRUCK_005,High Energy Brown,316,2025-02-10 14:59:59,2025-02-10 15:16:59,STORE_070,17.0,13.0,Monday
DSP_115510,2025-02-05 04:43:55,Shepperton_Plant,RT_002,TRUCK_010,Wholegrain Brown,150,2025-02-05 07:52:55,2025-02-05 07:55:55,STORE_112,3.0,4.0,Wednesday
DSP_101406,2025-02-08 05:36:29,Shepperton_Plant,RT_056,TRUCK_015,Soft White,177,2025-02-08 07:21:29,2025-02-08 07:25:29,STORE_171,4.0,5.0,Saturday
DSP_107813,2025-04-17 05:54:11,Shepperton_Plant,RT_046,TRUCK_059,Whole Wheat,303,2025-04-17 06:31:11,2025-04-17 06:51:11,STORE_141,20.0,5.0,Thursday
DSP_101988,2025-07-13 21:12:11,Shepperton_Plant,RT_002,TRUCK_055,High Energy Brown,483,2025-07-14 00:08:11,2025-07-13 23:59:11,STORE_010,-9.0,21.0,Sunday
DSP_103783,2025-06-21 11:39:09,Willowvale_Plant,RT_064,TRUCK_061,Whole Wheat,132,2025-06-21 13:38:09,2025-06-21 13:46:09,STORE_063,8.0,11.0,Saturday
DSP_104217,2025-01-23 23:34:41,Willowvale_Plant,RT_006,TRUCK_011,Soft White,256,2025-01-24 02:36:41,2025-01-24 02:56:41,STORE_069,20.0,23.0,Thursday
DSP_108084,2025-04-06 01:48:11,Willowvale_Plant,RT_005,TRUCK_064,Family Loaf,543,2025-04-06 02:34:11,2025-04-06 03:17:11,STORE_178,43.0,1.0,Sunday
DSP_100383,2025-03-31 04:39:18,Shepperton_Plant,RT_027,TRUCK_056,High Energy White,269,2025-03-31 05:55:18,2025-03-31 05:49:18,STORE_145,-6.0,4.0,Monday
DSP_110833,2025-04-10 21:35:34,Shepperton_Plant,RT_046,TRUCK_030,Soft White,235,2025-04-10 23:33:34,2025-04-11 00:16:34,STORE_188,43.0,21.0,Thursday
DSP_111433,2025-07-18 19:38:53,Willowvale_Plant,RT_043,TRUCK_052,Soft White,528,2025-07-18 21:15:53,2025-07-18 21:47:53,STORE_031,32.0,19.0,Friday
DSP_114818,2025-05-10 12:32:31,Willowvale_Plant,RT_012,TRUCK_056,High Energy White,426,2025-05-10 15:33:31,2025-05-10 16:07:31,STORE_075,34.0,12.0,Saturday
DSP_105651,2025-07-21 17:24:00,Willowvale_Plant,RT_032,TRUCK_002,High Energy Brown,240,2025-07-21 19:32:00,2025-07-21 19:36:00,STORE_129,4.0,17.0,Monday
DSP_101298,2025-07-12 08:55:37,Willowvale_Plant,RT_050,TRUCK_053,Family Loaf,223,2025-07-12 10:28:37,2025-07-12 10:41:37,STORE_093,13.0,8.0,Saturday
DSP_107543,2025-05-28 20:32:40,Shepperton_Plant,RT_035,TRUCK_067,High Energy Brown,468,2025-05-28 23:04:40,2025-05-28 23:11:40,STORE_143,7.0,20.0,Wednesday
DSP_108157,2025-06-29 09:38:38,Shepperton_Plant,RT_046,TRUCK_072,Soft White,156,2025-06-29 10:17:38,2025-06-29 11:00:38,STORE_140,43.0,9.0,Sunday
DSP_114909,2025-04-20 13:36:57,Willowvale_Plant,RT_023,TRUCK_037,Whole Wheat,407,2025-04-20 17:23:57,2025-04-20 17:43:57,STORE_010,20.0,13.0,Sunday
DSP_110702,2025-07-30 08:09:43,Shepperton_Plant,RT_057,TRUCK_058,High Energy White,421,2025-07-30 11:38:43,2025-07-30 11:28:43,STORE_138,-10.0,8.0,Wednesday
DSP_104903,2025-07-24 13:06:52,Willowvale_Plant,RT_008,TRUCK_074,Seed Loaf,274,2025-07-24 16:31:52,2025-07-24 16:24:52,STORE_015,-7.0,13.0,Thursday
DSP_110420,2025-03-20 21:56:57,Shepperton_Plant,RT_007,TRUCK_048,Whole Wheat,362,2025-03-20 23:40:57,2025-03-20 23:57:57,STORE_065,17.0,21.0,Thursday
DSP_111229,2025-01-20 21:00:22,Shepperton_Plant,RT_045,TRUCK_051,Family Loaf,545,2025-01-20 22:06:22,2025-01-20 22:36:22,STORE_090,30.0,21.0,Monday
DSP_104023,2025-01-19 04:42:18,Shepperton_Plant,RT_060,TRUCK_009,Soft White,493,2025-01-19 05:46:18,2025-01-19 06:13:18,STORE_101,27.0,4.0,Sunday
DSP_106784,2025-07-17 18:26:19,Willowvale_Plant,RT_028,TRUCK_076,High Energy Brown,316,2025-07-17 20:50:19,2025-07-17 21:33:19,STORE_143,43.0,18.0,Thursday
DSP_114417,2025-02-21 03:47:27,Shepperton_Plant,RT_018,TRUCK_058,Soft White,346,2025-02-21 05:16:27,2025-02-21 05:50:27,STORE_035,34.0,3.0,Friday
DSP_110200,2025-02-27 00:33:08,Willowvale_Plant,RT_064,TRUCK_003,Family Loaf,286,2025-02-27 01:36:08,2025-02-27 01:26:08,STORE_102,-10.0,0.0,Thursday
DSP_114215,2025-04-22 09:46:29,Willowvale_Plant,RT_003,TRUCK_073,Seed Loaf,66,2025-04-22 13:10:29,2025-04-22 13:11:29,STORE_142,1.0,9.0,Tuesday
DSP_109955,2025-06-15 04:35:46,Willowvale_Plant,RT_020,TRUCK_062,High Energy Brown,430,2025-06-15 05:18:46,2025-06-15 05:45:46,STORE_152,27.0,4.0,Sunday
DSP_114265,2025-01-30 00:38:33,Shepperton_Plant,RT_026,TRUCK_004,Whole Wheat,76,2025-01-30 04:15:33,2025-01-30 04:53:33,STORE_015,38.0,0.0,Thursday
DSP_115594,2025-07-10 14:44:56,Shepperton_Plant,RT_019,TRUCK_087,Whole Wheat,546,2025-07-10 18:27:56,2025-07-10 18:27:56,STORE_041,0.0,14.0,Thursday
DSP_108272,2025-02-24 17:38:44,Willowvale_Plant,RT_002,TRUCK_034,Whole Wheat,193,2025-02-24 19:33:44,2025-02-24 20:08:44,STORE_046,35.0,17.0,Monday
DSP_107975,2025-06-01 15:17:26,Willowvale_Plant,RT_010,TRUCK_022,Family Loaf,96,2025-06-01 17:17:26,2025-06-01 17:07:26,STORE_165,-10.0,15.0,Sunday
DSP_115285,2025-07-05 12:47:29,Shepperton_Plant,RT_049,TRUCK_056,Wholegrain Brown,215,2025-07-05 15:54:29,2025-07-05 15:48:29,STORE_107,-6.0,12.0,Saturday
DSP_100924,2025-04-13 12:14:44,Willowvale_Plant,RT_018,TRUCK_086,Whole Wheat,509,2025-04-13 14:56:44,2025-04-13 15:38:44,STORE_189,42.0,12.0,Sunday
DSP_112061,2025-02-28 06:36:11,Shepperton_Plant,RT_030,TRUCK_020,High Energy White,103,2025-02-28 07:39:11,2025-02-28 07:51:11,STORE_091,12.0,6.0,Friday
DSP_111197,2025-03-17 09:32:09,Willowvale_Plant,RT_061,TRUCK_046,Wholegrain Brown,132,2025-03-17 12:33:09,2025-03-17 12:35:09,STORE_116,2.0,9.0,Monday
DSP_114766,2025-05-17 03:18:49,Shepperton_Plant,RT_063,TRUCK_055,Family Loaf,149,2025-05-17 05:29:49,2025-05-17 05:34:49,STORE_005,5.0,3.0,Saturday
DSP_115355,2025-04-11 14:13:15,Willowvale_Plant,RT_054,TRUCK_009,Seed Loaf,373,2025-04-11 17:23:15,2025-04-11 17:37:15,STORE_031,14.0,14.0,Friday
DSP_108815,2025-03-27 04:43:03,Shepperton_Plant,RT_040,TRUCK_067,Soft White,145,2025-03-27 07:44:03,2025-03-27 07:42:03,STORE_125,-2.0,4.0,Thursday
DSP_104531,2025-07-03 06:23:33,Shepperton_Plant,RT_025,TRUCK_060,Family Loaf,511,2025-07-03 09:01:33,2025-07-03 09:44:33,STORE_137,43.0,6.0,Thursday
DSP_107013,2025-02-09 09:06:50,Shepperton_Plant,RT_068,TRUCK_026,Whole Wheat,400,2025-02-09 11:47:50,2025-02-09 11:49:50,STORE_070,2.0,9.0,Sunday
DSP_114096,2025-05-14 17:26:05,Willowvale_Plant,RT_043,TRUCK_062,High Energy White,132,2025-05-14 20:17:05,2025-05-14 20:39:05,STORE_052,22.0,17.0,Wednesday
DSP_106122,2025-07-25 17:07:29,Shepperton_Plant,RT_034,TRUCK_050,Whole Wheat,406,2025-07-25 20:53:29,2025-07-25 21:27:29,STORE_101,34.0,17.0,Friday
DSP_109317,2025-01-21 09:46:30,Shepperton_Plant,RT_009,TRUCK_071,Seed Loaf,468,2025-01-21 11:48:30,2025-01-21 12:22:30,STORE_156,34.0,9.0,Tuesday
DSP_112121,2025-06-14 06:02:31,Willowvale_Plant,RT_002,TRUCK_081,Wholegrain Brown,586,2025-06-14 07:42:31,2025-06-14 07:42:31,STORE_170,0.0,6.0,Saturday
DSP_115442,2025-03-18 19:23:26,Willowvale_Plant,RT_054,TRUCK_005,High Energy Brown,514,2025-03-18 20:33:26,2025-03-18 20:32:26,STORE_041,-1.0,19.0,Tuesday
DSP_110540,2025-04-26 12:22:08,Shepperton_Plant,RT_033,TRUCK_054,High Energy White,62,2025-04-26 15:46:08,2025-04-26 16:20:08,STORE_140,34.0,12.0,Saturday
DSP_106894,2025-05-13 18:42:50,Shepperton_Plant,RT_027,TRUCK_009,Seed Loaf,105,2025-05-13 20:04:50,2025-05-13 19:57:50,STORE_114,-7.0,18.0,Tuesday
DSP_112091,2025-03-03 08:53:47,Willowvale_Plant,RT_063,TRUCK_044,Whole Wheat,317,2025-03-03 12:20:47,2025-03-03 12:39:47,STORE_003,19.0,8.0,Monday
DSP_113304,2025-04-19 12:51:40,Shepperton_Plant,RT_032,TRUCK_038,Soft White,140,2025-04-19 16:50:40,2025-04-19 17:14:40,STORE_077,24.0,12.0,Saturday
DSP_105669,2025-04-03 03:36:53,Shepperton_Plant,RT_033,TRUCK_047,Wholegrain Brown,407,2025-04-03 06:54:53,2025-04-03 07:25:53,STORE_139,31.0,3.0,Thursday
DSP_101925,2025-01-04 08:14:19,Shepperton_Plant,RT_047,TRUCK_067,Whole Wheat,148,2025-01-04 09:59:19,2025-01-04 10:17:19,STORE_172,18.0,8.0,Saturday
DSP_109381,2025-05-20 17:51:14,Shepperton_Plant,RT_065,TRUCK_011,High Energy White,543,2025-05-20 18:33:14,2025-05-20 18:40:14,STORE_090,7.0,17.0,Tuesday
DSP_112581,2025-07-07 18:23:21,Shepperton_Plant,RT_062,TRUCK_073,Family Loaf,383,2025-07-07 22:11:21,2025-07-07 22:06:21,STORE_154,-5.0,18.0,Monday
DSP_111672,2025-01-03 21:03:15,Willowvale_Plant,RT_001,TRUCK_004,Wholegrain Brown,398,2025-01-03 23:44:15,2025-01-03 23:35:15,STORE_115,-9.0,21.0,Friday
DSP_115632,2025-02-28 07:52:02,Willowvale_Plant,RT_042,TRUCK_019,High Energy Brown,491,2025-02-28 08:43:02,2025-02-28 08:43:02,STORE_160,0.0,7.0,Friday
DSP_108278,2025-04-10 15:51:19,Willowvale_Plant,RT_036,TRUCK_089,Whole Wheat,210,2025-04-10 18:09:19,2025-04-10 18:44:19,STORE_030,35.0,15.0,Thursday
DSP_109103,2025-07-16 06:09:16,Willowvale_Plant,RT_014,TRUCK_004,Soft White,138,2025-07-16 09:00:16,2025-07-16 09:23:16,STORE_017,23.0,6.0,Wednesday
DSP_101970,2025-05-25 12:03:20,Shepperton_Plant,RT_008,TRUCK_038,SoftWhite,335,2025-05-25 15:43:20,2025-05-25 15:37:20,STORE_088,-6.0,12.0,Sunday
DSP_107273,2025-02-03 00:38:27,Shepperton_Plant,RT_057,TRUCK_040,Family Loaf,75,2025-02-03 03:16:27,2025-02-03 03:33:27,STORE_009,17.0,0.0,Monday
DSP_102247,2025-06-11 19:45:28,Willowvale_Plant,,TRUCK_009,High Energy White,169,2025-06-11 22:45:28,2025-06-11 22:56:28,STORE_091,11.0,19.0,Wednesday
DSP_115108,2025-06-22 21:34:56,Shepperton_Plant,RT_013,TRUCK_054,Seed Loaf,240,2025-06-23 00:58:56,2025-06-23 01:08:56,STORE_108,10.0,21.0,Sunday
DSP_108765,2025-02-21 11:39:48,Shepperton_Plant,RT_010,TRUCK_068,Seed Loaf,511,2025-02-21 13:58:48,2025-02-21 13:52:48,STORE_148,-6.0,11.0,Friday
DSP_105317,2025-07-23 18:06:06,Shepperton_Plant,RT_058,TRUCK_065,High Energy White,477,2025-07-23 20:08:06,2025-07-23 20:42:06,STORE_116,34.0,18.0,Wednesday
DSP_110469,2025-02-13 06:13:29,Shepperton_Plant,RT_038,TRUCK_065,Family Loaf,102,2025-02-13 08:59:29,2025-02-13 08:51:29,STORE_095,-8.0,6.0,Thursday
DSP_102710,2025-01-20 17:40:43,Willowvale_Plant,RT_035,TRUCK_074,Wholegrain Brown,426,2025-01-20 19:45:43,2025-01-20 20:08:43,STORE_072,23.0,17.0,Monday
DSP_100885,2025-05-30 13:05:39,Willowvale_Plant,RT_057,TRUCK_036,High Energy White,190,2025-05-30 14:23:39,2025-05-30 14:25:39,STORE_193,2.0,13.0,Friday
DSP_107538,2025-03-31 11:37:25,Willowvale_Plant,RT_007,TRUCK_030,Soft White,675,2025-03-31 15:12:25,2025-03-31 15:24:25,STORE_079,12.0,11.0,Monday
DSP_109026,2025-03-01 10:03:03,Shepperton_Plant,RT_048,TRUCK_037,Wholegrain Brown,506,2025-03-01 13:18:03,2025-03-01 13:46:03,STORE_147,28.0,10.0,Saturday
DSP_114372,2025-02-23 06:55:56,Willowvale_Plant,RT_020,TRUCK_014,High Energy Brown,488,2025-02-23 08:24:56,2025-02-23 08:48:56,STORE_187,24.0,6.0,Sunday
DSP_102321,2025-03-26 17:55:53,Shepperton_Plant,RT_051,TRUCK_065,High Energy White,190,2025-03-26 18:43:53,2025-03-26 18:47:53,STORE_119,4.0,17.0,Wednesday
DSP_100604,2025-06-01 11:47:42,Willowvale_Plant,RT_068,TRUCK_061,Whole Wheat,229,2025-06-01 14:21:42,2025-06-01 15:00:42,STORE_021,39.0,11.0,Sunday
DSP_114950,2025-01-01 16:19:51,Shepperton_Plant,RT_028,TRUCK_021,Family Loaf,334,2025-01-01 19:28:51,2025-01-01 19:23:51,STORE_065,-5.0,16.0,Wednesday
DSP_102001,2025-02-20 04:18:38,Shepperton_Plant,RT_012,TRUCK_012,High Energy White,103,2025-02-20 06:29:38,2025-02-20 06:50:38,STORE_146,21.0,4.0,Thursday
DSP_104957,2025-04-29 00:32:54,Willowvale_Plant,RT_065,TRUCK_035,Wholegrain Brown,332,2025-04-29 01:27:54,2025-04-29 01:54:54,STORE_111,27.0,0.0,Tuesday
DSP_103038,2025-04-28 08:41:46,Willowvale_Plant,RT_068,TRUCK_062,Family Loaf,73,2025-04-28 11:40:46,2025-04-28 11:48:46,STORE_016,8.0,8.0,Monday
DSP_103951,2025-06-08 14:21:14,Shepperton_Plant,RT_038,TRUCK_063,Whole Wheat,504,2025-06-08 17:43:14,2025-06-08 17:41:14,STORE_199,-2.0,14.0,Sunday
DSP_106813,2025-01-04 17:13:19,Shepperton_Plant,RT_010,TRUCK_043,Soft White,533,2025-01-04 18:05:19,2025-01-04 18:03:19,STORE_068,-2.0,17.0,Saturday
DSP_106223,2025-05-25 11:19:44,Shepperton_Plant,RT_052,TRUCK_068,Whole Wheat,410,2025-05-25 13:56:44,2025-05-25 14:06:44,STORE_183,10.0,11.0,Sunday
DSP_108591,2025-02-09 12:50:14,Willowvale_Plant,RT_053,TRUCK_061,High Energy Brown,150,2025-02-09 16:11:14,2025-02-09 16:42:14,STORE_030,31.0,12.0,Sunday
DSP_111308,2025-07-11 21:37:32,Willowvale_Plant,RT_059,TRUCK_063,High Energy Brown,505,2025-07-12 00:33:32,2025-07-12 00:26:32,STORE_199,-7.0,21.0,Friday
DSP_115993,2025-07-18 17:18:14,Shepperton_Plant,RT_064,TRUCK_016,Seed Loaf,542,2025-07-18 21:07:14,2025-07-18 21:02:14,STORE_037,-5.0,17.0,Friday
DSP_114330,2025-03-04 03:52:57,Shepperton_Plant,RT_001,TRUCK_088,Soft White,165,2025-03-04 07:34:57,2025-03-04 07:26:57,STORE_044,-8.0,3.0,Tuesday
DSP_104310,2025-01-18 07:02:19,Willowvale_Plant,RT_059,TRUCK_035,Whole Wheat,327,2025-01-18 09:25:19,2025-01-18 09:57:19,STORE_005,32.0,7.0,Saturday
DSP_115396,2025-05-06 14:06:20,Shepperton_Plant,RT_016,TRUCK_050,Soft White,316,2025-05-06 15:03:20,2025-05-06 15:17:20,STORE_089,14.0,14.0,Tuesday
DSP_105694,2025-05-23 23:38:20,Shepperton_Plant,RT_037,TRUCK_055,Whole Wheat,343,2025-05-24 02:39:20,2025-05-24 02:32:20,STORE_095,-7.0,23.0,Friday
DSP_112323,2025-06-23 00:41:12,Willowvale_Plant,RT_019,TRUCK_037,Seed Loaf,534,2025-06-23 03:44:12,2025-06-23 03:56:12,STORE_150,12.0,0.0,Monday
DSP_112833,2025-03-07 08:37:41,Willowvale_Plant,RT_048,TRUCK_073,Soft White,487,2025-03-07 11:06:41,2025-03-07 11:08:41,STORE_016,2.0,8.0,Friday
DSP_109738,2025-05-27 22:20:01,Willowvale_Plant,RT_034,TRUCK_057,High Energy White,268,2025-05-28 00:24:01,2025-05-28 00:45:01,STORE_058,21.0,22.0,Tuesday
DSP_110868,2025-01-11 18:10:41,Willowvale_Plant,RT_028,TRUCK_069,High Energy Brown,386,2025-01-11 20:27:41,2025-01-11 20:30:41,STORE_039,3.0,18.0,Saturday
DSP_108378,2025-03-03 01:34:45,Shepperton_Plant,RT_012,TRUCK_035,High Energy White,473,2025-03-03 05:05:45,2025-03-03 05:18:45,STORE_023,13.0,1.0,Monday
DSP_110809,2025-03-26 20:42:09,Willowvale_Plant,RT_006,TRUCK_063,Soft White,331,2025-03-26 21:16:09,2025-03-26 21:06:09,STORE_084,-10.0,20.0,Wednesday
DSP_107472,2025-01-25 14:33:48,Shepperton_Plant,RT_025,TRUCK_020,Seed Loaf,432,2025-01-25 15:27:48,2025-01-25 16:09:48,STORE_119,42.0,14.0,Saturday
DSP_108779,2025-06-23 10:50:36,Shepperton_Plant,RT_007,TRUCK_021,High Energy Brown,108,2025-06-23 13:36:36,2025-06-23 14:04:36,STORE_077,28.0,10.0,Monday
