batch_id,sku,parameter,fail_count,mean_value,min_value,max_value,notes_sample
BATCH_13315,Wholegrain Brown,slice_uniformity_mm,2,1.215,0.61,1.82,Seal issue detected | Above tolerance range
BATCH_12236,Whole Wheat,slice_uniformity_mm,2,3.3699999999999997,0.43,6.31,Internal temperature deviation | Above tolerance range
BATCH_12922,Whole Wheat,internal_temp_c,2,96.565,91.9,101.23,Above tolerance range | Internal temperature deviation
BATCH_12430,Family Loaf,moisture_percent,2,34.605000000000004,28.72,40.49,Below expected tolerance | Seal issue detected
BATCH_14908,High Energy White,crust_color_level,2,7.205,7.17,7.24,Internal temperature deviation
BATCH_13063,High Energy Brown,slice_uniformity_mm,2,7.215,6.23,8.2,Internal temperature deviation | Below expected tolerance
BATCH_12434,Whole Wheat,slice_uniformity_mm,2,4.09,0.1,8.08,Above tolerance range | Seal issue detected
BATCH_12783,High Energy Brown,slice_uniformity_mm,2,3.125,-0.27,6.52,Below expected tolerance | Above tolerance range
BATCH_13065,High Energy Brown,internal_temp_c,2,96.265,92.37,100.16,Seal issue detected | Above tolerance range
BATCH_12925,Soft White,crust_color_level,2,6.12,6.03,6.21,Color inconsistency | Seal issue detected
BATCH_12437,High Energy Brown,internal_temp_c,2,95.64,91.9,99.38,Color inconsistency
BATCH_14555,Soft White,moisture_percent,2,30.125,30.07,30.18,Above tolerance range | Below expected tolerance
BATCH_14522,Whole Wheat,slice_uniformity_mm,2,-0.43,-0.43,-0.43,Below expected tolerance
BATCH_12611,Soft White,internal_temp_c,2,99.935,99.16,100.71,Below expected tolerance | Color inconsistency
BATCH_14802,Whole Wheat,package_seal_strength,2,99.875,78.81,120.94,Above tolerance range | Internal temperature deviation
BATCH_12612,Wholegrain Brown,crust_color_level,2,2.9050000000000002,-0.09,5.9,Below expected tolerance | Above tolerance range
BATCH_14818,Family Loaf,slice_uniformity_mm,2,4.34,1.67,7.01,Below expected tolerance | Internal temperature deviation
BATCH_13893,High Energy White,crust_color_level,2,0.51,0.22,0.8,Below expected tolerance
BATCH_14803,Family Loaf,internal_temp_c,2,91.24,91.24,91.24,Seal issue detected
BATCH_12616,Whole Wheat,slice_uniformity_mm,2,7.395,7.16,7.63,Above tolerance range | Color inconsistency
BATCH_14325,High Energy Brown,crust_color_level,2,0.62,0.31,0.93,Seal issue detected | Color inconsistency
BATCH_13438,Family Loaf,slice_uniformity_mm,2,3.545,0.29,6.8,Color inconsistency | Above tolerance range
BATCH_14772,Soft White,texture_score,2,-0.94,-0.94,-0.94,Seal issue detected
BATCH_14485,Seed Loaf,internal_temp_c,2,96.195,92.51,99.88,Internal temperature deviation | Color inconsistency
BATCH_13075,Wholegrain Brown,slice_uniformity_mm,2,0.475,0.35,0.6,Color inconsistency
BATCH_13076,Seed Loaf,moisture_percent,2,34.465,29.55,39.38,Seal issue detected | Above tolerance range
BATCH_12795,Soft White,slice_uniformity_mm,2,6.88,6.1,7.66,Above tolerance range | Below expected tolerance
BATCH_14163,Soft White,internal_temp_c,2,100.405,100.18,100.63,Above tolerance range | Seal issue detected
BATCH_12624,Family Loaf,moisture_percent,2,35.114999999999995,30.79,39.44,Above tolerance range | Internal temperature deviation
BATCH_13442,Whole Wheat,slice_uniformity_mm,2,4.484999999999999,0.79,8.18,Below expected tolerance | Color inconsistency
BATCH_14528,Wholegrain Brown,crust_color_level,2,2.79,-1.02,6.6,Internal temperature deviation | Above tolerance range
BATCH_12044,Soft White,slice_uniformity_mm,2,3.6399999999999997,0.43,6.85,Above tolerance range | Color inconsistency
BATCH_13721,Family Loaf,crust_color_level,2,-0.09999999999999999,-0.24,0.04,Internal temperature deviation
BATCH_13445,Wholegrain Brown,slice_uniformity_mm,2,4.3999999999999995,0.76,8.04,Seal issue detected | Internal temperature deviation
BATCH_13967,Soft White,slice_uniformity_mm,2,0.865,-0.25,1.98,Internal temperature deviation | Color inconsistency
BATCH_13722,Wholegrain Brown,crust_color_level,2,3.02,-1.42,7.46,Below expected tolerance
BATCH_14103,Wholegrain Brown,texture_score,2,-0.775,-1.0,-0.55,Above tolerance range
BATCH_13333,High Energy White,slice_uniformity_mm,2,6.890000000000001,6.57,7.21,Below expected tolerance | Above tolerance range
BATCH_13083,Wholegrain Brown,crust_color_level,2,0.11500000000000005,-0.69,0.92,Seal issue detected | Internal temperature deviation
BATCH_13629,Family Loaf,internal_temp_c,2,100.46000000000001,100.06,100.86,Above tolerance range | Internal temperature deviation
BATCH_12461,Family Loaf,moisture_percent,2,29.869999999999997,29.06,30.68,Internal temperature deviation | Seal issue detected
BATCH_14166,Family Loaf,texture_score,2,6.585,0.81,12.36,Below expected tolerance | Seal issue detected
BATCH_12808,Family Loaf,texture_score,2,-0.59,-0.59,-0.59,Seal issue detected
BATCH_12639,High Energy White,slice_uniformity_mm,2,3.76,0.52,7.0,Below expected tolerance | Seal issue detected
BATCH_14277,Family Loaf,crust_color_level,2,-0.21000000000000002,-1.07,0.65,Below expected tolerance
BATCH_13902,Seed Loaf,internal_temp_c,2,90.81,90.81,90.81,Seal issue detected | Below expected tolerance
BATCH_14969,Whole Wheat,slice_uniformity_mm,2,0.8900000000000001,0.66,1.12,Color inconsistency | Internal temperature deviation
BATCH_14330,Family Loaf,texture_score,2,4.98,-1.45,11.41,Below expected tolerance | Seal issue detected
BATCH_12472,High Energy White,texture_score,2,5.335,-1.11,11.78,Seal issue detected | Color inconsistency
BATCH_14379,Wholegrain Brown,slice_uniformity_mm,2,3.225,0.08,6.37,Color inconsistency | Internal temperature deviation
BATCH_14991,Seed Loaf,crust_color_level,2,6.9350000000000005,6.76,7.11,Below expected tolerance
BATCH_13553,Whole Wheat,crust_color_level,2,-0.12,-0.59,0.35,Color inconsistency | Above tolerance range
BATCH_13973,Wholegrain Brown,slice_uniformity_mm,2,4.31,0.58,8.04,Seal issue detected | Below expected tolerance
BATCH_13096,High Energy Brown,package_seal_strength,2,78.46,78.21,78.71,Above tolerance range | Seal issue detected
BATCH_12074,Seed Loaf,crust_color_level,2,3.7,0.83,6.57,Seal issue detected | Above tolerance range
BATCH_13906,High Energy White,internal_temp_c,2,96.47,91.91,101.03,Internal temperature deviation | Below expected tolerance
BATCH_14172,Family Loaf,slice_uniformity_mm,2,3.31,-0.14,6.76,Color inconsistency
BATCH_13557,High Energy White,moisture_percent,2,30.765,30.72,30.81,Below expected tolerance | Color inconsistency
BATCH_13460,Soft White,slice_uniformity_mm,2,0.555,0.34,0.77,Above tolerance range
BATCH_14332,High Energy White,slice_uniformity_mm,2,6.5600000000000005,6.38,6.74,Internal temperature deviation | Color inconsistency
BATCH_14807,High Energy White,internal_temp_c,2,95.115,91.16,99.07,Internal temperature deviation | Color inconsistency
BATCH_12821,Family Loaf,internal_temp_c,2,95.49000000000001,91.23,99.75,Color inconsistency | Above tolerance range
BATCH_14886,Seed Loaf,crust_color_level,2,6.33,5.85,6.81,Below expected tolerance | Seal issue detected
BATCH_12291,Wholegrain Brown,internal_temp_c,2,95.81,90.96,100.66,Color inconsistency | Below expected tolerance
BATCH_12657,Seed Loaf,slice_uniformity_mm,2,1.155,0.74,1.57,Above tolerance range | Below expected tolerance
BATCH_12085,Family Loaf,crust_color_level,2,-0.28,-1.33,0.77,Below expected tolerance | Internal temperature deviation
BATCH_12659,Whole Wheat,slice_uniformity_mm,2,-0.24,-0.45,-0.03,Seal issue detected | Below expected tolerance
BATCH_14114,Soft White,package_seal_strength,2,78.45,78.0,78.9,Below expected tolerance | Color inconsistency
BATCH_13646,Soft White,internal_temp_c,2,100.68,100.37,100.99,Internal temperature deviation | Seal issue detected
BATCH_13914,Wholegrain Brown,crust_color_level,2,3.4949999999999997,-0.44,7.43,Seal issue detected | Color inconsistency
BATCH_12484,Whole Wheat,crust_color_level,2,6.83,6.44,7.22,Color inconsistency | Seal issue detected
BATCH_13565,High Energy Brown,slice_uniformity_mm,2,0.385,0.3,0.47,Seal issue detected | Color inconsistency
BATCH_13822,Soft White,crust_color_level,2,4.0600000000000005,0.71,7.41,Above tolerance range | Internal temperature deviation
BATCH_13112,High Energy White,crust_color_level,2,0.175,-0.47,0.82,Above tolerance range | Color inconsistency
BATCH_14284,Whole Wheat,moisture_percent,2,35.195,29.49,40.9,Below expected tolerance | Above tolerance range
BATCH_13245,Soft White,slice_uniformity_mm,2,3.475,0.32,6.63,Seal issue detected
BATCH_14494,Seed Loaf,internal_temp_c,2,95.845,90.67,101.02,Internal temperature deviation | Color inconsistency
BATCH_12834,High Energy White,crust_color_level,2,2.795,-1.04,6.63,Below expected tolerance
BATCH_13652,Seed Loaf,internal_temp_c,2,95.845,92.07,99.62,Seal issue detected | Color inconsistency
BATCH_12835,Soft White,crust_color_level,2,-0.455,-1.02,0.11,Internal temperature deviation | Seal issue detected
BATCH_12674,Seed Loaf,internal_temp_c,2,92.70500000000001,92.51,92.9,Above tolerance range | Internal temperature deviation
BATCH_13653,Seed Loaf,crust_color_level,2,6.78,6.58,6.98,Color inconsistency
BATCH_13469,Whole Wheat,slice_uniformity_mm,2,3.4499999999999997,0.01,6.89,Below expected tolerance | Above tolerance range
BATCH_12841,Soft White,crust_color_level,2,2.8150000000000004,-0.48,6.11,Seal issue detected | Color inconsistency
BATCH_14679,High Energy White,slice_uniformity_mm,2,3.3249999999999997,0.09,6.56,Internal temperature deviation | Below expected tolerance
BATCH_13654,Seed Loaf,moisture_percent,2,30.229999999999997,29.88,30.58,Below expected tolerance | Above tolerance range
BATCH_12679,Family Loaf,texture_score,2,-0.37,-1.04,0.3,Color inconsistency | Internal temperature deviation
BATCH_14338,High Energy Brown,moisture_percent,2,40.915,40.44,41.39,Seal issue detected | Internal temperature deviation
BATCH_12114,High Energy Brown,slice_uniformity_mm,2,4.42,1.6,7.24,Color inconsistency | Below expected tolerance
BATCH_13826,Soft White,slice_uniformity_mm,2,3.1,-0.29,6.49,Internal temperature deviation | Seal issue detected
BATCH_12501,Family Loaf,slice_uniformity_mm,2,4.28,0.83,7.73,Internal temperature deviation | Below expected tolerance
BATCH_12317,Whole Wheat,slice_uniformity_mm,2,7.305,7.24,7.37,Below expected tolerance | Above tolerance range
BATCH_13123,Soft White,crust_color_level,2,3.195,-0.95,7.34,Below expected tolerance | Above tolerance range
BATCH_13987,High Energy White,moisture_percent,2,40.42,40.42,40.42,Seal issue detected
BATCH_12118,High Energy White,crust_color_level,2,2.165,-0.78,5.11,Internal temperature deviation | Below expected tolerance
BATCH_13474,High Energy White,crust_color_level,2,-0.6749999999999999,-1.16,-0.19,Above tolerance range
BATCH_12119,High Energy White,texture_score,2,5.4350000000000005,-0.94,11.81,Color inconsistency | Above tolerance range
BATCH_12508,Whole Wheat,internal_temp_c,2,99.93,99.49,100.37,Below expected tolerance | Color inconsistency
BATCH_13365,High Energy White,slice_uniformity_mm,2,3.7199999999999998,0.22,7.22,Above tolerance range | Color inconsistency
BATCH_12509,High Energy White,internal_temp_c,2,100.495,99.77,101.22,Below expected tolerance | Seal issue detected
BATCH_12323,Seed Loaf,texture_score,2,12.41,12.41,12.41,Above tolerance range
BATCH_13744,High Energy White,package_seal_strength,2,78.87,78.87,78.87,Seal issue detected
BATCH_12689,High Energy White,crust_color_level,2,5.625,5.2,6.05,Below expected tolerance | Color inconsistency
BATCH_13830,Whole Wheat,internal_temp_c,2,91.815,91.57,92.06,Below expected tolerance | Above tolerance range
BATCH_13257,Wholegrain Brown,slice_uniformity_mm,2,3.75,-0.07,7.57,Seal issue detected
BATCH_12329,Family Loaf,crust_color_level,2,6.970000000000001,6.73,7.21,Internal temperature deviation
BATCH_14911,Seed Loaf,internal_temp_c,2,95.66,91.03,100.29,Above tolerance range
BATCH_14053,Family Loaf,slice_uniformity_mm,2,7.775,7.36,8.19,Below expected tolerance | Seal issue detected
BATCH_13575,Wholegrain Brown,internal_temp_c,2,96.515,92.41,100.62,Internal temperature deviation | Seal issue detected
BATCH_13747,Family Loaf,internal_temp_c,2,96.445,91.57,101.32,Above tolerance range | Internal temperature deviation
BATCH_14590,Family Loaf,moisture_percent,2,34.77,29.16,40.38,Internal temperature deviation | Below expected tolerance
BATCH_13137,High Energy Brown,crust_color_level,2,2.87,-0.76,6.5,Seal issue detected | Below expected tolerance
BATCH_12992,Wholegrain Brown,crust_color_level,2,-0.024999999999999994,-0.48,0.43,Color inconsistency | Above tolerance range
BATCH_12996,Family Loaf,moisture_percent,2,40.805,40.13,41.48,Seal issue detected
BATCH_14054,Seed Loaf,moisture_percent,2,30.07,29.23,30.91,Above tolerance range | Below expected tolerance
BATCH_14823,Whole Wheat,crust_color_level,2,3.77,0.38,7.16,Color inconsistency | Below expected tolerance
BATCH_12528,Family Loaf,slice_uniformity_mm,2,4.029999999999999,1.5,6.56,Color inconsistency | Internal temperature deviation
BATCH_14387,Seed Loaf,texture_score,2,11.635,11.33,11.94,Below expected tolerance | Internal temperature deviation
BATCH_13266,Family Loaf,internal_temp_c,2,101.175,101.05,101.3,Seal issue detected | Internal temperature deviation
BATCH_13580,Soft White,texture_score,2,5.035,-1.13,11.2,Seal issue detected | Above tolerance range
BATCH_13486,High Energy White,weight_grams,2,720.36,720.36,720.36,Internal temperature deviation
BATCH_13145,Wholegrain Brown,moisture_percent,2,35.385,30.09,40.68,Color inconsistency
BATCH_12712,Seed Loaf,crust_color_level,2,0.57,0.19,0.95,Internal temperature deviation | Below expected tolerance
BATCH_14935,High Energy White,texture_score,2,4.885000000000001,-0.94,10.71,Below expected tolerance | Internal temperature deviation
BATCH_14567,High Energy White,moisture_percent,2,35.19,30.33,40.05,Seal issue detected | Above tolerance range
BATCH_12151,Seed Loaf,slice_uniformity_mm,2,3.39,0.37,6.41,Above tolerance range | Below expected tolerance
BATCH_13753,Seed Loaf,crust_color_level,2,-0.71,-0.71,-0.71,Below expected tolerance
BATCH_12351,High Energy White,texture_score,2,11.774999999999999,11.37,12.18,Below expected tolerance | Above tolerance range
BATCH_13927,High Energy Brown,crust_color_level,2,5.74,5.58,5.9,Above tolerance range | Seal issue detected
BATCH_13998,Soft White,moisture_percent,2,40.375,40.26,40.49,Color inconsistency | Above tolerance range
BATCH_13929,Soft White,slice_uniformity_mm,2,4.07,1.98,6.16,Above tolerance range | Color inconsistency
BATCH_12158,Seed Loaf,crust_color_level,2,2.3150000000000004,-1.27,5.9,Internal temperature deviation | Color inconsistency
BATCH_13998,Soft White,slice_uniformity_mm,2,0.55,0.55,0.55,Color inconsistency
BATCH_12160,Whole Wheat,crust_color_level,2,-0.45,-0.45,-0.45,Above tolerance range | Below expected tolerance
BATCH_12162,Seed Loaf,slice_uniformity_mm,2,0.64,0.39,0.89,Seal issue detected
BATCH_12717,Family Loaf,moisture_percent,2,41.17,41.17,41.17,Above tolerance range
BATCH_13843,Wholegrain Brown,texture_score,2,4.895,-0.56,10.35,Internal temperature deviation
BATCH_14872,High Energy White,internal_temp_c,2,99.35,99.35,99.35,Below expected tolerance
BATCH_13496,Seed Loaf,slice_uniformity_mm,2,1.775,1.67,1.88,Seal issue detected
BATCH_14825,Family Loaf,texture_score,2,5.535,-0.27,11.34,Color inconsistency
BATCH_14124,Family Loaf,texture_score,2,11.015,10.2,11.83,Seal issue detected
BATCH_14251,High Energy Brown,moisture_percent,2,34.59,28.53,40.65,Above tolerance range
BATCH_14839,Soft White,internal_temp_c,2,99.995,99.47,100.52,Below expected tolerance | Seal issue detected
BATCH_13163,Seed Loaf,slice_uniformity_mm,2,3.49,0.41,6.57,Internal temperature deviation | Color inconsistency
BATCH_13165,High Energy Brown,crust_color_level,2,3.015,-1.12,7.15,Seal issue detected | Internal temperature deviation
BATCH_14906,Family Loaf,moisture_percent,2,30.305,30.27,30.34,Below expected tolerance | Color inconsistency
BATCH_12550,Family Loaf,internal_temp_c,2,95.95500000000001,92.26,99.65,Above tolerance range | Internal temperature deviation
BATCH_13398,High Energy Brown,moisture_percent,2,29.615000000000002,29.03,30.2,Above tolerance range | Internal temperature deviation
BATCH_14746,Seed Loaf,moisture_percent,2,40.760000000000005,40.06,41.46,Seal issue detected | Below expected tolerance
BATCH_12553,Whole Wheat,slice_uniformity_mm,2,0.995,0.41,1.58,Color inconsistency
BATCH_13280,Whole Wheat,crust_color_level,2,5.765000000000001,5.34,6.19,Color inconsistency | Seal issue detected
BATCH_12886,Wholegrain Brown,slice_uniformity_mm,2,7.779999999999999,7.63,7.93,Color inconsistency | Seal issue detected
BATCH_14068,Wholegrain Brown,crust_color_level,2,3.095,-0.13,6.32,Seal issue detected
BATCH_14131,Family Loaf,slice_uniformity_mm,2,0.8700000000000001,0.81,0.93,Internal temperature deviation | Color inconsistency
BATCH_14437,Seed Loaf,internal_temp_c,2,100.535,99.78,101.29,Below expected tolerance | Color inconsistency
BATCH_12376,Seed Loaf,texture_score,2,5.22,-0.99,11.43,Seal issue detected | Color inconsistency
BATCH_12557,Wholegrain Brown,slice_uniformity_mm,2,7.32,7.16,7.48,Seal issue detected | Above tolerance range
BATCH_13171,High Energy White,internal_temp_c,2,91.745,90.67,92.82,Above tolerance range | Internal temperature deviation
BATCH_12561,Wholegrain Brown,moisture_percent,2,34.68,29.32,40.04,Seal issue detected | Color inconsistency
BATCH_12384,High Energy White,moisture_percent,2,39.285,39.03,39.54,Below expected tolerance
BATCH_14690,Soft White,moisture_percent,2,33.91,28.71,39.11,Internal temperature deviation | Below expected tolerance
BATCH_14133,Seed Loaf,texture_score,2,-1.175,-1.44,-0.91,Below expected tolerance | Internal temperature deviation
BATCH_14548,Family Loaf,internal_temp_c,2,95.695,91.7,99.69,Above tolerance range | Below expected tolerance
BATCH_13287,Soft White,crust_color_level,2,1.965,-1.19,5.12,Above tolerance range | Color inconsistency
BATCH_14576,Family Loaf,moisture_percent,2,29.675,29.07,30.28,Color inconsistency | Below expected tolerance
BATCH_13509,Soft White,crust_color_level,2,2.835,-0.84,6.51,Below expected tolerance | Seal issue detected
BATCH_14308,Soft White,internal_temp_c,2,92.3,92.25,92.35,Internal temperature deviation
BATCH_14550,Seed Loaf,slice_uniformity_mm,2,3.85,-0.28,7.98,Color inconsistency
BATCH_14953,High Energy White,texture_score,2,0.16,-0.33,0.65,Internal temperature deviation | Seal issue detected
BATCH_13776,Wholegrain Brown,crust_color_level,2,2.56,-0.34,5.46,Above tolerance range | Color inconsistency
BATCH_13689,High Energy Brown,slice_uniformity_mm,2,1.485,1.1,1.87,Seal issue detected
BATCH_14512,High Energy White,moisture_percent,2,29.665,29.06,30.27,Below expected tolerance | Color inconsistency
BATCH_13945,High Energy White,internal_temp_c,2,100.35499999999999,99.5,101.21,Above tolerance range | Color inconsistency
BATCH_14078,High Energy White,slice_uniformity_mm,2,4.67,1.6,7.74,Color inconsistency
BATCH_12751,Seed Loaf,slice_uniformity_mm,2,6.78,6.78,6.78,Seal issue detected
BATCH_14401,Whole Wheat,moisture_percent,2,40.474999999999994,39.97,40.98,Above tolerance range | Seal issue detected
BATCH_13044,High Energy White,internal_temp_c,2,92.15,91.49,92.81,Above tolerance range
BATCH_13697,Wholegrain Brown,crust_color_level,2,3.315,0.85,5.78,Below expected tolerance | Seal issue detected
BATCH_14142,Seed Loaf,texture_score,2,5.2299999999999995,-0.91,11.37,Seal issue detected | Internal temperature deviation
BATCH_13047,High Energy Brown,slice_uniformity_mm,2,4.335,1.85,6.82,Color inconsistency | Below expected tolerance
BATCH_14209,High Energy Brown,texture_score,2,-0.6699999999999999,-0.77,-0.57,Below expected tolerance | Above tolerance range
BATCH_14260,High Energy Brown,moisture_percent,2,29.975,29.53,30.42,Internal temperature deviation | Seal issue detected
BATCH_12905,Soft White,internal_temp_c,2,95.63,91.83,99.43,Seal issue detected | Internal temperature deviation
BATCH_14552,Soft White,crust_color_level,2,-0.71,-0.76,-0.66,Below expected tolerance | Internal temperature deviation
BATCH_12908,High Energy Brown,crust_color_level,2,3.0949999999999998,0.69,5.5,Below expected tolerance | Internal temperature deviation
BATCH_14404,Seed Loaf,internal_temp_c,2,92.98,92.98,92.98,Seal issue detected
BATCH_12213,Wholegrain Brown,slice_uniformity_mm,2,7.545,6.62,8.47,Above tolerance range | Internal temperature deviation
BATCH_14316,Soft White,slice_uniformity_mm,2,0.945,0.15,1.74,Seal issue detected | Below expected tolerance
BATCH_14990,Family Loaf,texture_score,2,0.375,-0.09,0.84,Color inconsistency | Internal temperature deviation
BATCH_15033,Whole Wheat,internal_temp_c,2,91.995,91.62,92.37,Color inconsistency | Below expected tolerance
BATCH_15045,Wholegrain Brown,texture_score,2,4.895,-0.8,10.59,Internal temperature deviation | Color inconsistency
BATCH_15060,Seed Loaf,internal_temp_c,2,99.995,99.42,100.57,Color inconsistency
BATCH_15086,High Energy White,moisture_percent,2,36.07,30.96,41.18,Below expected tolerance | Internal temperature deviation
BATCH_15094,Soft White,crust_color_level,2,3.32,0.89,5.75,Above tolerance range | Internal temperature deviation
BATCH_15106,High Energy Brown,crust_color_level,2,-0.6950000000000001,-1.25,-0.14,Internal temperature deviation | Seal issue detected
BATCH_15108,Family Loaf,internal_temp_c,2,94.94,90.65,99.23,Above tolerance range
BATCH_15138,Soft White,texture_score,2,6.365,0.71,12.02,Above tolerance range
BATCH_15178,Soft White,slice_uniformity_mm,2,1.155,0.94,1.37,Below expected tolerance
BATCH_15180,High Energy Brown,internal_temp_c,2,95.55000000000001,91.09,100.01,Seal issue detected | Above tolerance range
BATCH_15193,Wholegrain Brown,texture_score,2,10.68,10.09,11.27,Internal temperature deviation | Below expected tolerance
BATCH_15197,Seed Loaf,package_seal_strength,2,121.8,121.52,122.08,Seal issue detected | Internal temperature deviation
BATCH_15213,Family Loaf,crust_color_level,2,2.85,-0.85,6.55,Above tolerance range | Seal issue detected
BATCH_15240,High Energy Brown,internal_temp_c,2,94.82499999999999,90.57,99.08,Below expected tolerance | Above tolerance range
BATCH_15246,Wholegrain Brown,slice_uniformity_mm,2,4.2,1.36,7.04,Below expected tolerance | Seal issue detected
BATCH_15248,Family Loaf,crust_color_level,2,2.715,-0.54,5.97,Above tolerance range | Seal issue detected
BATCH_15254,Family Loaf,package_seal_strength,2,100.385,78.37,122.4,Above tolerance range | Seal issue detected
BATCH_15285,High Energy White,crust_color_level,2,-0.495,-0.57,-0.42,Above tolerance range
BATCH_15289,Seed Loaf,slice_uniformity_mm,2,3.7600000000000002,0.45,7.07,Internal temperature deviation | Above tolerance range
BATCH_15292,High Energy White,slice_uniformity_mm,2,7.285,6.68,7.89,Color inconsistency | Below expected tolerance
BATCH_15313,High Energy White,crust_color_level,2,3.39,-0.5,7.28,Seal issue detected | Above tolerance range
BATCH_15315,High Energy Brown,crust_color_level,2,-0.31499999999999995,-0.69,0.06,Seal issue detected | Color inconsistency
BATCH_15320,Wholegrain Brown,crust_color_level,2,6.390000000000001,6.23,6.55,Below expected tolerance | Above tolerance range
BATCH_15334,High Energy Brown,crust_color_level,2,2.525,-1.04,6.09,Seal issue detected | Color inconsistency
BATCH_15362,High Energy White,slice_uniformity_mm,2,3.7,0.82,6.58,Below expected tolerance
BATCH_15369,Wholegrain Brown,texture_score,2,0.875,0.82,0.93,Seal issue detected | Color inconsistency
BATCH_15386,Wholegrain Brown,crust_color_level,2,0.305,-0.13,0.74,Color inconsistency | Above tolerance range
BATCH_15408,Wholegrain Brown,crust_color_level,2,-0.36,-0.6,-0.12,Color inconsistency | Internal temperature deviation
BATCH_15449,Soft White,internal_temp_c,2,95.345,90.98,99.71,Internal temperature deviation
BATCH_15450,Seed Loaf,texture_score,2,-0.35,-0.89,0.19,Below expected tolerance | Above tolerance range
BATCH_15456,Whole Wheat,texture_score,2,11.905000000000001,11.83,11.98,Below expected tolerance | Color inconsistency
BATCH_15462,Family Loaf,crust_color_level,2,2.3249999999999997,-1.41,6.06,Seal issue detected | Color inconsistency
BATCH_15484,High Energy Brown,internal_temp_c,2,99.645,99.52,99.77,Color inconsistency | Below expected tolerance
BATCH_15489,High Energy Brown,moisture_percent,2,40.91,40.91,40.91,Seal issue detected
BATCH_15504,Seed Loaf,slice_uniformity_mm,2,7.605,7.3,7.91,Below expected tolerance | Internal temperature deviation
BATCH_15512,Whole Wheat,slice_uniformity_mm,2,5.0600000000000005,1.8,8.32,Internal temperature deviation | Color inconsistency
BATCH_15524,Seed Loaf,crust_color_level,2,2.4799999999999995,-1.35,6.31,Below expected tolerance | Above tolerance range
BATCH_15530,Seed Loaf,internal_temp_c,2,96.545,91.7,101.39,Internal temperature deviation | Color inconsistency
BATCH_15534,High Energy White,moisture_percent,2,30.505000000000003,30.32,30.69,Internal temperature deviation | Seal issue detected
BATCH_15536,Seed Loaf,texture_score,2,11.215,10.28,12.15,Below expected tolerance | Above tolerance range
BATCH_15553,Whole Wheat,internal_temp_c,2,92.005,91.28,92.73,Seal issue detected | Internal temperature deviation
BATCH_15588,Wholegrain Brown,slice_uniformity_mm,2,1.195,0.6,1.79,Internal temperature deviation | Above tolerance range
BATCH_15657,Wholegrain Brown,texture_score,2,11.100000000000001,11.05,11.15,Below expected tolerance | Seal issue detected
BATCH_15681,Wholegrain Brown,slice_uniformity_mm,2,3.8,0.29,7.31,Above tolerance range | Below expected tolerance
BATCH_15688,Whole Wheat,crust_color_level,2,3.145,-0.9,7.19,Above tolerance range | Internal temperature deviation
BATCH_15697,Whole Wheat,moisture_percent,2,34.489999999999995,29.58,39.4,Color inconsistency | Below expected tolerance
BATCH_15718,Soft White,internal_temp_c,2,100.25,99.46,101.04,Seal issue detected | Internal temperature deviation
BATCH_15724,Soft White,texture_score,2,-0.605,-0.68,-0.53,Internal temperature deviation | Color inconsistency
