retailer_id,return_count,total_qty_returned,mean_qty
STORE_098,53,3175,59.905660377358494
STORE_016,58,3166,54.58620689655172
STORE_187,57,3165,55.526315789473685
STORE_057,58,3161,54.5
STORE_027,53,3157,59.56603773584906
STORE_159,55,3154,57.345454545454544
STORE_169,55,3153,57.32727272727273
STORE_015,54,3135,58.05555555555556
STORE_198,54,3134,58.03703703703704
STORE_175,55,3113,56.6
STORE_026,48,3103,64.64583333333333
STORE_196,58,3090,53.275862068965516
STORE_017,57,3084,54.10526315789474
STORE_145,50,3011,60.22
STORE_012,50,3006,60.12
STORE_053,55,2986,54.29090909090909
STORE_135,46,2958,64.30434782608695
STORE_158,53,2899,54.698113207547166
STORE_114,56,2859,51.05357142857143
STORE_050,48,2857,59.520833333333336
STORE_128,55,2632,47.85454545454545
STORE_031,44,2267,51.52272727272727
