location_type,location_id,Records,Qty_In,Qty_Out,Avg_Balance,Negative_Balance_Count
Store,STORE_135,28,737,2541,-174.71,21
Store,STORE_124,28,738,2950,-156.25,24
Store,STORE_034,28,896,1698,-104.46,17
Store,STORE_071,28,882,1925,-70.39,18
Store,STORE_015,28,1466,1945,-51.39,17
Store,STORE_010,28,992,2183,-185.96,18
Store,STORE_063,27,872,2389,-195.48,19
Store,STORE_069,27,1077,1648,-96.26,15
Store,STORE_025,27,994,2067,-148.48,18
Store,STORE_028,27,709,2426,-159.67,20
Store,STORE_094,27,978,2633,-138.33,19
Store,STORE_076,27,807,2674,-177.3,21
Store,STORE_038,27,1249,2372,-115.41,16
Store,STORE_032,27,956,2298,-80.11,14
Store,STORE_018,27,879,2165,-89.89,17
Store,STORE_009,27,880,2456,-174.19,21
Store,STORE_066,27,1149,1594,-36.0,14
Store,STORE_036,27,793,2967,-166.19,21
Store,STORE_130,27,863,1529,-43.48,13
Store,STORE_152,27,982,1904,-51.59,14
Store,STORE_091,27,717,2678,-412.37,20
Store,STORE_098,27,861,2492,-157.63,21
Store,STORE_166,27,1375,2155,-54.37,13
Store,STORE_156,27,858,2497,-240.26,22
Store,STORE_171,26,1093,1914,-85.81,15
Store,STORE_128,26,939,1759,-66.5,15
Store,STORE_005,26,773,2401,-167.88,18
Store,STORE_006,26,505,3239,-272.12,21
Store,STORE_090,26,1049,1660,-56.88,15
Store,STORE_134,26,745,2410,-169.58,18
Store,STORE_126,26,760,2119,-127.96,17
Store,STORE_089,26,967,1373,-42.38,17
Store,STORE_073,26,836,2626,-238.15,20
Store,STORE_070,26,866,2595,-87.96,15
Store,STORE_045,26,960,1765,-100.27,15
Store,STORE_051,26,723,2817,-237.27,22
Store,STORE_019,26,1085,1671,-47.77,13
Store,STORE_016,26,5106,1885,-113.58,16
Store,STORE_029,26,955,2148,-169.15,17
Store,STORE_023,26,551,2430,-244.81,21
Store,STORE_035,26,1198,1901,-71.73,15
Store,STORE_040,25,884,2066,-120.56,14
Store,STORE_155,25,711,2499,-204.4,21
Store,STORE_139,25,532,2672,-189.56,17
Store,STORE_199,25,711,2355,-104.92,14
Store,STORE_184,25,907,2223,-307.36,18
Store,STORE_143,25,4413,1564,-68.92,13
Store,STORE_192,25,3894,2749,-303.76,17
Store,STORE_054,25,798,2344,-162.64,18
Store,STORE_017,24,575,2135,-198.21,22
Store,STORE_177,24,850,1390,-80.83,13
Store,STORE_114,24,911,2049,-101.71,14
Store,STORE_170,24,5480,2396,-124.42,16
Store,STORE_159,24,858,2329,-68.92,11
Store,STORE_052,24,633,2869,-208.62,17
Store,STORE_074,23,722,2749,-273.61,21
Store,STORE_157,23,811,2290,-162.87,14
Store,STORE_160,23,5315,2635,-289.83,22
Store,STORE_161,23,624,2257,-238.17,17
Store,STORE_188,23,895,2032,-186.91,18
Store,STORE_080,23,4570,2546,-222.09,18
Store,STORE_049,22,859,1889,-138.64,11
Store,STORE_181,22,639,2177,-104.14,13
Store,STORE_123,22,680,2080,-162.91,14
Store,STORE_065,22,387,2710,-239.95,18
Store,STORE_077,22,755,1774,-114.41,15
Store,STORE_103,21,378,2124,-190.0,19
Store,STORE_050,21,1017,1755,-60.43,11
Store,STORE_072,21,512,1952,-185.81,19
Store,STORE_101,21,447,2752,-268.1,16
Store,STORE_109,21,902,1531,-46.33,10
Store,STORE_092,20,572,2066,-92.8,12
Store,STORE_042,19,826,1600,-58.0,11
Store,STORE_172,19,442,2430,-214.0,13
