Route_ID,Store_ID,Total_Units,Primary_Depot
RT_049,STORE_046,1245,Bulawayo_Branch
RT_011,STORE_062,1243,Harare_Southerton
RT_041,STORE_034,1243,Kwekwe_Depot
RT_002,STORE_005,1242,Harare_Willowvale
RT_043,STORE_106,1241,Masvingo_Branch
RT_038,STORE_078,1228,Masvingo_Branch
RT_041,STORE_091,1226,Harare_Willowvale
RT_032,STORE_026,1225,Chitungwiza_Depot
RT_043,STORE_015,1224,Gweru_Branch
RT_012,STORE_133,1221,Marondera_Depot
RT_033,STORE_014,1215,Bulawayo_Branch
RT_046,STORE_071,1213,Bulawayo_Branch
RT_010,STORE_006,1209,Kwekwe_Depot
RT_002,STORE_103,1205,Marondera_Depot
RT_040,STORE_083,1201,Kwekwe_Depot
RT_037,STORE_111,1197,Kwekwe_Depot
RT_030,STORE_129,1197,Harare_Southerton
RT_030,STORE_060,1194,Harare_Southerton
RT_017,STORE_089,1192,Gweru_Branch
RT_016,STORE_087,1192,Masvingo_Branch
RT_039,STORE_038,1190,Masvingo_Branch
RT_037,STORE_101,1188,Harare_Southerton
RT_023,STORE_031,1185,Bulawayo_Branch
RT_035,STORE_018,1185,Harare_Southerton
RT_008,STORE_082,1184,Mutare_Branch
RT_001,STORE_066,1182,Masvingo_Branch
RT_009,STORE_061,1181,Harare_Southerton
RT_024,STORE_070,1180,Masvingo_Branch
RT_039,STORE_074,1180,Chitungwiza_Depot
RT_042,STORE_038,1178,Masvingo_Branch
RT_032,STORE_090,1177,Kwekwe_Depot
RT_028,STORE_099,1172,Harare_Willowvale
RT_012,STORE_018,1170,Harare_Southerton
RT_012,STORE_053,1170,Kwekwe_Depot
RT_044,STORE_053,1166,Bindura_Depot
RT_041,STORE_115,1163,Gweru_Branch
RT_022,STORE_017,1162,Gweru_Branch
RT_039,STORE_060,1161,Kwekwe_Depot
RT_003,STORE_041,1158,Gweru_Branch
RT_033,STORE_056,1157,Mutare_Branch
RT_022,STORE_116,1156,Harare_Willowvale
RT_005,STORE_026,1155,Mutare_Branch
RT_003,STORE_073,1154,Chitungwiza_Depot
RT_018,STORE_068,1153,Masvingo_Branch
RT_040,STORE_044,1152,Bindura_Depot
RT_034,STORE_112,1151,Bindura_Depot
RT_036,STORE_137,1151,Chitungwiza_Depot
RT_035,STORE_121,1148,Mutare_Branch
RT_030,STORE_102,1146,Marondera_Depot
RT_025,STORE_018,1144,Bindura_Depot
RT_005,STORE_038,1144,Harare_Willowvale
RT_028,STORE_091,1143,Kwekwe_Depot
RT_012,STORE_064,1141,Harare_Southerton
RT_023,STORE_082,1140,Chitungwiza_Depot
RT_011,STORE_012,1138,Bulawayo_Branch
RT_035,STORE_139,1137,Chitungwiza_Depot
RT_025,STORE_118,1133,Marondera_Depot
RT_045,STORE_101,1132,Gweru_Branch
RT_029,STORE_010,1131,Mutare_Branch
RT_008,STORE_121,1131,Chitungwiza_Depot
RT_017,STORE_096,1127,Harare_Willowvale
RT_025,STORE_074,1127,Gweru_Branch
RT_031,STORE_114,1127,Gweru_Branch
RT_036,STORE_139,1124,Masvingo_Branch
RT_015,STORE_068,1119,Bindura_Depot
RT_035,STORE_060,1118,Gweru_Branch
RT_004,STORE_001,1117,Mutare_Branch
RT_006,STORE_087,1115,Bindura_Depot
RT_008,STORE_091,1113,Marondera_Depot
RT_047,STORE_036,1110,Bulawayo_Branch
RT_040,STORE_125,1109,Bulawayo_Branch
RT_022,STORE_113,1108,Chitungwiza_Depot
RT_012,STORE_042,1107,Mutare_Branch
RT_016,STORE_083,1101,Chitungwiza_Depot
RT_020,STORE_098,1100,Harare_Southerton
RT_012,STORE_066,1100,Marondera_Depot
RT_034,STORE_057,1095,Chitungwiza_Depot
RT_007,STORE_139,1092,Masvingo_Branch
RT_037,STORE_112,1091,Mutare_Branch
RT_029,STORE_059,1091,Kwekwe_Depot
RT_035,STORE_016,1088,Marondera_Depot
RT_032,STORE_010,1088,Harare_Willowvale
RT_029,STORE_079,1088,Gweru_Branch
RT_023,STORE_032,1084,Harare_Southerton
RT_040,STORE_122,1084,Mutare_Branch
RT_049,STORE_072,1083,Masvingo_Branch
RT_025,STORE_044,1081,Bulawayo_Branch
RT_043,STORE_124,1080,Bindura_Depot
RT_033,STORE_004,1071,Harare_Willowvale
RT_038,STORE_103,1070,Kwekwe_Depot
RT_005,STORE_072,1069,Harare_Southerton
RT_043,STORE_023,1068,Harare_Willowvale
RT_043,STORE_003,1066,Mutare_Branch
RT_048,STORE_136,1063,Harare_Southerton
RT_026,STORE_117,1060,Gweru_Branch
RT_024,STORE_084,1060,Bindura_Depot
RT_023,STORE_011,1060,Masvingo_Branch
RT_024,STORE_067,1059,Bindura_Depot
RT_016,STORE_073,1055,Harare_Southerton
RT_012,STORE_077,1054,Harare_Willowvale
RT_019,STORE_128,1054,Bulawayo_Branch
RT_048,STORE_025,1053,Bindura_Depot
RT_038,STORE_098,1051,Gweru_Branch
RT_001,STORE_125,1051,Kwekwe_Depot
RT_049,STORE_062,1049,Harare_Southerton
RT_049,STORE_016,1047,Harare_Willowvale
RT_023,STORE_010,1047,Marondera_Depot
RT_034,STORE_061,1044,Gweru_Branch
RT_034,STORE_050,1044,Masvingo_Branch
RT_028,STORE_022,1043,Bulawayo_Branch
RT_002,STORE_050,1042,Mutare_Branch
RT_037,STORE_131,1042,Kwekwe_Depot
RT_009,STORE_139,1037,Harare_Willowvale
RT_027,STORE_054,1036,Mutare_Branch
RT_032,STORE_132,1036,Bindura_Depot
RT_048,STORE_128,1033,Masvingo_Branch
RT_004,STORE_047,1033,Harare_Willowvale
RT_038,STORE_084,1033,Marondera_Depot
RT_034,STORE_132,1032,Bindura_Depot
RT_045,STORE_019,1031,Masvingo_Branch
RT_038,STORE_072,1030,Chitungwiza_Depot
RT_022,STORE_012,1029,Bulawayo_Branch
RT_023,STORE_087,1027,Mutare_Branch
RT_017,STORE_029,1026,Marondera_Depot
RT_011,STORE_023,1026,Harare_Southerton
RT_046,STORE_044,1025,Harare_Southerton
RT_029,STORE_030,1023,Gweru_Branch
RT_039,STORE_100,1023,Masvingo_Branch
RT_041,STORE_095,1023,Bindura_Depot
RT_034,STORE_023,1020,Harare_Southerton
RT_007,STORE_106,1019,Gweru_Branch
RT_020,STORE_062,1018,Bindura_Depot
RT_024,STORE_108,1017,Gweru_Branch
RT_008,STORE_112,1015,Harare_Southerton
RT_023,STORE_105,1015,Marondera_Depot
RT_046,STORE_005,1015,Harare_Willowvale
RT_008,STORE_087,1014,Marondera_Depot
RT_045,STORE_114,1014,Bindura_Depot
RT_025,STORE_053,1014,Gweru_Branch
RT_044,STORE_052,1013,Chitungwiza_Depot
RT_031,STORE_093,1011,Mutare_Branch
RT_044,STORE_016,1011,Harare_Willowvale
RT_018,STORE_019,1011,Bindura_Depot
RT_015,STORE_126,1010,Masvingo_Branch
RT_045,STORE_087,1010,Masvingo_Branch
RT_027,STORE_063,1008,Bindura_Depot
RT_038,STORE_105,1007,Mutare_Branch
RT_035,STORE_102,1006,Bindura_Depot
RT_010,STORE_105,1004,Chitungwiza_Depot
RT_029,STORE_039,1003,Harare_Southerton
RT_047,STORE_064,1002,Gweru_Branch
RT_012,STORE_022,1001,Harare_Willowvale
RT_037,STORE_086,1000,Bindura_Depot
RT_049,STORE_013,999,Chitungwiza_Depot
RT_010,STORE_104,998,Gweru_Branch
RT_041,STORE_135,997,Harare_Willowvale
RT_002,STORE_003,996,Kwekwe_Depot
RT_016,STORE_126,996,Bulawayo_Branch
RT_044,STORE_133,994,Harare_Willowvale
RT_049,STORE_126,994,Mutare_Branch
RT_026,STORE_098,994,Harare_Willowvale
RT_034,STORE_025,991,Chitungwiza_Depot
RT_001,STORE_045,989,Gweru_Branch
RT_027,STORE_017,988,Masvingo_Branch
RT_017,STORE_018,988,Bulawayo_Branch
RT_024,STORE_041,987,Gweru_Branch
RT_027,STORE_030,985,Bulawayo_Branch
RT_045,STORE_001,983,Marondera_Depot
RT_018,STORE_047,983,Mutare_Branch
RT_014,STORE_108,981,Bindura_Depot
RT_040,STORE_132,981,Kwekwe_Depot
RT_037,STORE_096,980,Mutare_Branch
RT_043,STORE_018,980,Masvingo_Branch
RT_015,STORE_100,979,Masvingo_Branch
RT_001,STORE_038,979,Chitungwiza_Depot
RT_009,STORE_050,978,Bindura_Depot
RT_004,STORE_079,978,Harare_Willowvale
RT_033,STORE_121,977,Mutare_Branch
RT_046,STORE_002,977,Masvingo_Branch
RT_025,STORE_068,976,Bindura_Depot
RT_034,STORE_139,976,Bindura_Depot
RT_033,STORE_089,975,Harare_Willowvale
RT_031,STORE_080,974,Harare_Southerton
RT_036,STORE_020,974,Chitungwiza_Depot
RT_007,STORE_078,973,Harare_Willowvale
RT_013,STORE_060,973,Chitungwiza_Depot
RT_029,STORE_126,972,Gweru_Branch
RT_035,STORE_042,971,Bindura_Depot
RT_043,STORE_133,969,Marondera_Depot
RT_016,STORE_081,969,Mutare_Branch
RT_011,STORE_066,967,Bindura_Depot
RT_005,STORE_028,967,Gweru_Branch
RT_021,STORE_133,966,Marondera_Depot
RT_032,STORE_067,966,Masvingo_Branch
RT_033,STORE_108,965,Bulawayo_Branch
RT_037,STORE_046,964,Harare_Willowvale
RT_020,STORE_113,964,Mutare_Branch
RT_048,STORE_103,964,Masvingo_Branch
RT_044,STORE_087,963,Harare_Willowvale
RT_040,STORE_113,962,Kwekwe_Depot
RT_003,STORE_121,962,Bulawayo_Branch
RT_009,STORE_111,962,Harare_Willowvale
RT_016,STORE_090,961,Bindura_Depot
RT_024,STORE_078,960,Gweru_Branch
RT_013,STORE_064,960,Harare_Southerton
RT_006,STORE_082,958,Masvingo_Branch
RT_039,STORE_043,958,Chitungwiza_Depot
RT_026,STORE_101,957,Harare_Willowvale
RT_009,STORE_052,957,Bindura_Depot
RT_014,STORE_042,956,Bindura_Depot
RT_007,STORE_056,956,Mutare_Branch
RT_011,STORE_132,954,Gweru_Branch
RT_003,STORE_033,954,Gweru_Branch
RT_049,STORE_095,953,Harare_Southerton
RT_048,STORE_017,952,Chitungwiza_Depot
RT_025,STORE_034,952,Marondera_Depot
RT_038,STORE_054,951,Masvingo_Branch
RT_002,STORE_085,950,Harare_Southerton
RT_018,STORE_060,950,Marondera_Depot
RT_032,STORE_094,950,Chitungwiza_Depot
RT_033,STORE_040,950,Harare_Southerton
RT_038,STORE_023,949,Marondera_Depot
RT_030,STORE_105,948,Harare_Southerton
RT_017,STORE_040,946,Bulawayo_Branch
RT_049,STORE_029,945,Chitungwiza_Depot
RT_001,STORE_127,945,Bulawayo_Branch
RT_026,STORE_017,945,Mutare_Branch
RT_049,STORE_092,941,Bindura_Depot
RT_015,STORE_092,940,Kwekwe_Depot
RT_031,STORE_064,939,Masvingo_Branch
RT_027,STORE_059,938,Chitungwiza_Depot
RT_036,STORE_018,937,Kwekwe_Depot
RT_045,STORE_043,936,Harare_Southerton
RT_044,STORE_036,936,Bindura_Depot
RT_021,STORE_042,935,Masvingo_Branch
RT_001,STORE_084,935,Bulawayo_Branch
RT_037,STORE_128,934,Harare_Southerton
RT_011,STORE_005,934,Mutare_Branch
RT_026,STORE_074,934,Gweru_Branch
RT_003,STORE_046,934,Bindura_Depot
RT_044,STORE_088,934,Bulawayo_Branch
RT_013,STORE_027,933,Mutare_Branch
RT_030,STORE_027,932,Mutare_Branch
RT_040,STORE_118,932,Gweru_Branch
RT_042,STORE_086,932,Kwekwe_Depot
RT_013,STORE_002,932,Kwekwe_Depot
RT_023,STORE_106,931,Harare_Willowvale
RT_017,STORE_114,928,Chitungwiza_Depot
RT_024,STORE_128,928,DIRECT
RT_032,STORE_023,928,Marondera_Depot
RT_001,STORE_073,928,Marondera_Depot
RT_037,STORE_082,927,Masvingo_Branch
RT_035,STORE_036,925,Chitungwiza_Depot
RT_006,STORE_056,925,Bulawayo_Branch
RT_005,STORE_107,924,Chitungwiza_Depot
RT_033,STORE_122,923,Harare_Willowvale
RT_014,STORE_055,923,Harare_Willowvale
RT_030,STORE_013,921,Bulawayo_Branch
RT_028,STORE_028,921,Kwekwe_Depot
RT_018,STORE_023,920,Gweru_Branch
RT_029,STORE_006,919,Mutare_Branch
RT_028,STORE_059,919,Gweru_Branch
RT_010,STORE_117,919,Harare_Willowvale
RT_047,STORE_111,918,Mutare_Branch
RT_037,STORE_134,917,Gweru_Branch
RT_034,STORE_064,916,Harare_Southerton
RT_048,STORE_127,916,Mutare_Branch
RT_015,STORE_026,913,Gweru_Branch
RT_008,STORE_059,912,Marondera_Depot
RT_021,STORE_043,910,Harare_Willowvale
RT_005,STORE_057,910,Harare_Southerton
RT_032,STORE_049,910,Harare_Southerton
RT_010,STORE_044,909,Harare_Southerton
RT_034,STORE_131,909,Bindura_Depot
RT_005,STORE_114,909,Mutare_Branch
RT_031,STORE_073,909,Harare_Willowvale
RT_030,STORE_067,909,Marondera_Depot
RT_014,STORE_116,908,Bindura_Depot
RT_047,STORE_011,908,Bulawayo_Branch
RT_019,STORE_059,908,Harare_Southerton
RT_031,STORE_129,908,Masvingo_Branch
RT_021,STORE_139,908,Harare_Willowvale
RT_046,STORE_031,907,Mutare_Branch
RT_042,STORE_095,906,Harare_Willowvale
RT_018,STORE_082,906,Harare_Willowvale
RT_001,STORE_118,905,Mutare_Branch
RT_015,STORE_058,904,Chitungwiza_Depot
RT_035,STORE_077,902,Harare_Willowvale
RT_040,STORE_045,902,Marondera_Depot
RT_045,STORE_103,902,Bindura_Depot
RT_011,STORE_036,901,Harare_Willowvale
RT_037,STORE_056,901,Marondera_Depot
RT_017,STORE_139,900,Mutare_Branch
RT_042,STORE_002,900,Chitungwiza_Depot
RT_026,STORE_086,899,Bindura_Depot
RT_017,STORE_077,899,Mutare_Branch
RT_014,STORE_097,899,Marondera_Depot
RT_015,STORE_037,899,Harare_Southerton
RT_017,STORE_111,898,Harare_Willowvale
RT_039,STORE_056,897,Harare_Southerton
RT_047,STORE_087,897,Gweru_Branch
RT_037,STORE_062,897,Marondera_Depot
RT_020,STORE_076,896,Harare_Willowvale
RT_024,STORE_114,895,Chitungwiza_Depot
RT_026,STORE_031,894,Mutare_Branch
RT_017,STORE_066,893,Bulawayo_Branch
RT_011,STORE_084,893,Bindura_Depot
RT_006,STORE_042,893,Masvingo_Branch
RT_047,STORE_005,891,Harare_Southerton
RT_017,STORE_132,891,Masvingo_Branch
RT_020,STORE_123,889,Mutare_Branch
RT_011,STORE_047,889,Harare_Willowvale
RT_009,STORE_097,888,Harare_Southerton
RT_029,STORE_136,888,Masvingo_Branch
RT_019,STORE_039,886,Kwekwe_Depot
RT_027,STORE_110,885,Bulawayo_Branch
RT_048,STORE_131,885,Harare_Willowvale
RT_040,STORE_056,884,Bulawayo_Branch
RT_011,STORE_114,881,Chitungwiza_Depot
RT_019,STORE_123,880,Chitungwiza_Depot
RT_006,STORE_104,880,Masvingo_Branch
RT_018,STORE_085,880,Harare_Southerton
RT_014,STORE_078,879,Harare_Willowvale
RT_040,STORE_094,879,Harare_Southerton
RT_004,STORE_082,878,Harare_Willowvale
RT_010,STORE_050,878,Bindura_Depot
RT_016,STORE_112,877,Bulawayo_Branch
RT_033,STORE_112,876,Gweru_Branch
RT_024,STORE_075,876,Bulawayo_Branch
RT_001,STORE_056,876,Mutare_Branch
RT_023,STORE_014,875,Marondera_Depot
RT_039,STORE_116,874,Bulawayo_Branch
RT_048,STORE_059,874,Bindura_Depot
RT_023,STORE_061,874,Bulawayo_Branch
RT_033,STORE_103,873,Mutare_Branch
RT_030,STORE_031,872,Kwekwe_Depot
RT_007,STORE_019,872,Chitungwiza_Depot
RT_030,STORE_076,870,Masvingo_Branch
RT_007,STORE_096,870,Gweru_Branch
RT_011,STORE_035,867,Bindura_Depot
RT_005,STORE_045,866,Masvingo_Branch
RT_016,STORE_072,865,Marondera_Depot
RT_045,STORE_047,865,Mutare_Branch
RT_049,STORE_055,865,Chitungwiza_Depot
RT_014,STORE_049,864,Harare_Southerton
RT_009,STORE_063,863,Bindura_Depot
RT_005,STORE_131,862,Gweru_Branch
RT_010,STORE_037,862,Bindura_Depot
RT_010,STORE_057,861,Marondera_Depot
RT_010,STORE_061,861,Marondera_Depot
RT_022,STORE_136,861,Masvingo_Branch
RT_031,STORE_091,861,Mutare_Branch
RT_041,STORE_082,860,Masvingo_Branch
RT_027,STORE_132,860,Mutare_Branch
RT_031,STORE_045,859,Gweru_Branch
RT_039,STORE_115,859,Masvingo_Branch
RT_007,STORE_037,859,Chitungwiza_Depot
RT_047,STORE_112,858,Mutare_Branch
RT_034,STORE_087,858,Bindura_Depot
RT_021,STORE_055,857,Chitungwiza_Depot
RT_032,STORE_003,857,Harare_Willowvale
RT_045,STORE_126,856,Mutare_Branch
RT_032,STORE_032,856,Marondera_Depot
RT_038,STORE_130,855,Masvingo_Branch
RT_025,STORE_015,855,Harare_Willowvale
RT_037,STORE_049,854,Harare_Willowvale
RT_027,STORE_055,852,Chitungwiza_Depot
RT_019,STORE_013,852,Masvingo_Branch
RT_034,STORE_100,851,Mutare_Branch
RT_001,STORE_063,851,Bindura_Depot
RT_016,STORE_019,850,Bindura_Depot
RT_018,STORE_003,850,Harare_Willowvale
RT_046,STORE_085,850,Bulawayo_Branch
RT_020,STORE_119,849,Gweru_Branch
RT_020,STORE_011,849,Masvingo_Branch
RT_044,STORE_120,849,Masvingo_Branch
RT_013,STORE_077,848,Kwekwe_Depot
RT_023,STORE_088,848,Mutare_Branch
RT_030,STORE_033,847,Marondera_Depot
RT_041,STORE_044,847,Chitungwiza_Depot
RT_012,STORE_125,847,Bulawayo_Branch
RT_003,STORE_050,847,Masvingo_Branch
RT_017,STORE_044,846,Masvingo_Branch
RT_038,STORE_038,846,Masvingo_Branch
RT_034,STORE_068,846,Harare_Southerton
RT_014,STORE_027,846,Bulawayo_Branch
RT_041,STORE_104,846,Bindura_Depot
RT_006,STORE_031,845,Gweru_Branch
RT_027,STORE_135,845,Marondera_Depot
RT_019,STORE_098,844,Harare_Willowvale
RT_022,STORE_123,844,Mutare_Branch
RT_045,STORE_036,842,Mutare_Branch
RT_010,STORE_052,842,Bindura_Depot
RT_038,STORE_095,841,Gweru_Branch
RT_017,STORE_064,841,Masvingo_Branch
RT_012,STORE_058,841,Harare_Willowvale
RT_005,STORE_044,840,Harare_Southerton
RT_046,STORE_117,840,Masvingo_Branch
RT_046,STORE_094,839,Chitungwiza_Depot
RT_032,STORE_133,839,Mutare_Branch
RT_019,STORE_038,839,Bulawayo_Branch
RT_007,STORE_113,839,Gweru_Branch
RT_009,STORE_044,838,Gweru_Branch
RT_022,STORE_014,838,Bindura_Depot
RT_013,STORE_100,837,Gweru_Branch
RT_018,STORE_101,837,Chitungwiza_Depot
RT_040,STORE_071,836,Gweru_Branch
RT_021,STORE_058,835,Harare_Southerton
RT_009,STORE_086,834,Bindura_Depot
RT_028,STORE_041,834,Bulawayo_Branch
RT_035,STORE_093,834,Chitungwiza_Depot
RT_043,STORE_132,833,Bindura_Depot
RT_022,STORE_041,833,Marondera_Depot
RT_042,STORE_112,833,Masvingo_Branch
RT_010,STORE_049,832,Mutare_Branch
RT_043,STORE_081,832,Harare_Willowvale
RT_046,STORE_001,831,Marondera_Depot
RT_014,STORE_082,831,Masvingo_Branch
RT_011,STORE_087,831,Harare_Southerton
RT_013,STORE_063,831,Harare_Willowvale
RT_016,STORE_133,830,Bindura_Depot
RT_017,STORE_074,830,Harare_Southerton
RT_038,STORE_133,829,Chitungwiza_Depot
RT_039,STORE_107,828,Gweru_Branch
RT_016,STORE_063,828,Marondera_Depot
RT_047,STORE_066,827,Harare_Southerton
RT_039,STORE_021,827,Chitungwiza_Depot
RT_010,STORE_124,827,Bulawayo_Branch
RT_032,STORE_033,826,Gweru_Branch
RT_026,STORE_126,826,Chitungwiza_Depot
RT_003,STORE_062,826,Masvingo_Branch
RT_045,STORE_041,825,Chitungwiza_Depot
RT_047,STORE_003,825,Harare_Willowvale
RT_006,STORE_016,825,Chitungwiza_Depot
RT_023,STORE_097,824,Mutare_Branch
RT_020,STORE_135,824,Masvingo_Branch
RT_036,STORE_083,824,Bindura_Depot
RT_035,STORE_110,823,Chitungwiza_Depot
RT_043,STORE_094,823,Marondera_Depot
RT_048,STORE_093,822,Harare_Southerton
RT_039,STORE_061,822,Mutare_Branch
RT_007,STORE_092,822,Marondera_Depot
RT_001,STORE_139,822,Harare_Southerton
RT_038,STORE_083,821,Harare_Southerton
RT_002,STORE_045,821,Marondera_Depot
RT_037,STORE_119,821,Mutare_Branch
RT_032,STORE_014,821,Gweru_Branch
RT_013,STORE_033,820,Gweru_Branch
RT_026,STORE_076,820,Marondera_Depot
RT_012,STORE_059,820,Marondera_Depot
RT_022,STORE_007,819,Chitungwiza_Depot
RT_013,STORE_096,819,Harare_Southerton
RT_012,STORE_062,819,Gweru_Branch
RT_046,STORE_021,819,Marondera_Depot
RT_020,STORE_045,818,Harare_Southerton
RT_038,STORE_128,818,Chitungwiza_Depot
RT_002,STORE_020,817,Mutare_Branch
RT_022,STORE_092,817,Chitungwiza_Depot
RT_029,STORE_085,817,Masvingo_Branch
RT_014,STORE_075,816,Bulawayo_Branch
RT_018,STORE_058,815,Marondera_Depot
RT_037,STORE_035,815,Harare_Willowvale
RT_026,STORE_065,815,Marondera_Depot
RT_031,STORE_034,815,Chitungwiza_Depot
RT_036,STORE_044,815,Harare_Southerton
RT_009,STORE_040,814,Chitungwiza_Depot
RT_032,STORE_030,813,Marondera_Depot
RT_005,STORE_029,812,Bulawayo_Branch
RT_028,STORE_007,812,Chitungwiza_Depot
RT_012,STORE_029,812,Bindura_Depot
RT_008,STORE_083,811,Marondera_Depot
RT_016,STORE_116,811,Marondera_Depot
RT_028,STORE_016,810,Kwekwe_Depot
RT_042,STORE_004,810,Mutare_Branch
RT_043,STORE_079,809,Bulawayo_Branch
RT_017,STORE_127,809,Chitungwiza_Depot
RT_025,STORE_054,809,Marondera_Depot
RT_016,STORE_107,808,Gweru_Branch
RT_045,STORE_005,808,Gweru_Branch
RT_011,STORE_101,808,Mutare_Branch
RT_015,STORE_097,807,Harare_Willowvale
RT_008,STORE_076,806,Gweru_Branch
RT_019,STORE_060,805,Harare_Southerton
RT_046,STORE_134,805,Bindura_Depot
RT_019,STORE_029,804,Chitungwiza_Depot
RT_004,STORE_132,803,Harare_Willowvale
RT_007,STORE_018,803,Harare_Willowvale
RT_034,STORE_051,802,Harare_Willowvale
RT_045,STORE_026,802,Masvingo_Branch
RT_020,STORE_059,800,Masvingo_Branch
RT_012,STORE_046,799,Gweru_Branch
RT_024,STORE_082,799,Harare_Southerton
RT_013,STORE_134,799,Masvingo_Branch
RT_028,STORE_034,799,Kwekwe_Depot
RT_041,STORE_051,799,Mutare_Branch
RT_042,STORE_116,798,Kwekwe_Depot
RT_028,STORE_032,798,Harare_Willowvale
RT_047,STORE_136,797,Chitungwiza_Depot
RT_025,STORE_085,797,Kwekwe_Depot
RT_040,STORE_017,796,Gweru_Branch
RT_025,STORE_091,795,Marondera_Depot
RT_027,STORE_083,795,Bindura_Depot
RT_028,STORE_063,795,Mutare_Branch
RT_047,STORE_057,795,Harare_Southerton
RT_001,STORE_104,794,Chitungwiza_Depot
RT_046,STORE_012,794,Masvingo_Branch
RT_022,STORE_117,794,Mutare_Branch
RT_024,STORE_105,794,Harare_Willowvale
RT_039,STORE_097,793,Bindura_Depot
RT_008,STORE_064,793,Kwekwe_Depot
RT_002,STORE_129,793,Bulawayo_Branch
RT_024,STORE_048,792,Mutare_Branch
RT_012,STORE_043,792,Chitungwiza_Depot
RT_013,STORE_057,792,Harare_Southerton
RT_001,STORE_036,791,Kwekwe_Depot
RT_031,STORE_115,791,Harare_Southerton
RT_049,STORE_030,791,Chitungwiza_Depot
RT_017,STORE_090,791,Masvingo_Branch
RT_045,STORE_128,791,Marondera_Depot
RT_006,STORE_137,790,Bulawayo_Branch
RT_023,STORE_005,790,Masvingo_Branch
RT_017,STORE_003,790,Mutare_Branch
RT_013,STORE_037,790,Harare_Southerton
RT_026,STORE_121,790,Mutare_Branch
RT_031,STORE_062,789,Kwekwe_Depot
RT_003,STORE_027,789,Gweru_Branch
RT_038,STORE_104,789,Harare_Southerton
RT_025,STORE_032,788,Harare_Southerton
RT_001,STORE_016,788,Harare_Willowvale
RT_043,STORE_103,787,Gweru_Branch
RT_048,STORE_129,787,Harare_Southerton
RT_048,STORE_068,787,Mutare_Branch
RT_015,STORE_017,786,Bulawayo_Branch
RT_043,STORE_010,786,Mutare_Branch
RT_027,STORE_114,785,Harare_Southerton
RT_047,STORE_006,785,Marondera_Depot
RT_015,STORE_055,785,Mutare_Branch
RT_035,STORE_101,784,Chitungwiza_Depot
RT_035,STORE_074,783,Bindura_Depot
RT_005,STORE_086,782,Chitungwiza_Depot
RT_009,STORE_137,782,Chitungwiza_Depot
RT_013,STORE_111,781,Harare_Southerton
RT_048,STORE_024,780,Mutare_Branch
RT_006,STORE_119,780,Harare_Willowvale
RT_008,STORE_100,780,Harare_Willowvale
RT_015,STORE_051,780,Bindura_Depot
RT_005,STORE_130,780,Chitungwiza_Depot
RT_015,STORE_094,780,Marondera_Depot
RT_026,STORE_119,779,Bindura_Depot
RT_040,STORE_038,778,Harare_Southerton
RT_042,STORE_066,777,Mutare_Branch
RT_024,STORE_017,777,Chitungwiza_Depot
RT_047,STORE_007,777,Kwekwe_Depot
RT_033,STORE_007,776,Bulawayo_Branch
RT_013,STORE_065,776,Mutare_Branch
RT_022,STORE_050,776,Kwekwe_Depot
RT_045,STORE_105,776,Harare_Willowvale
RT_029,STORE_050,776,Chitungwiza_Depot
RT_025,STORE_067,775,Masvingo_Branch
RT_048,STORE_088,775,Bulawayo_Branch
RT_019,STORE_003,775,Kwekwe_Depot
RT_027,STORE_115,775,Harare_Willowvale
